rank,player,defense_sacks,defense_ints,fumble_recovery,fumble_forced,defense_td,defense_safety,defense_spc_td,games,fantasy_points,fantasy_points_per_game,rost,team,position,week,year
1,Pittsburgh Steelers,3,3,0,0,2,0,0,1,31.0,31.0,44.6,PIT,DST,14,2010
2,San Francisco 49ers,1,4,1,1,1,0,0,1,27.0,27.0,79.5,SF,DST,14,2010
3,New England Patriots,2,2,2,2,1,0,0,1,26.0,26.0,93.2,NE,DST,14,2010
4,New Orleans Saints,3,2,1,2,1,0,0,1,25.0,25.0,79.3,NO,DST,14,2010
5,Arizona Cardinals,1,3,3,1,0,0,0,1,23.0,23.0,60.9,ARI,DST,14,2010
6,Baltimore Ravens,2,2,0,1,1,0,1,1,22.0,22.0,51.9,BAL,DST,14,2010
7,New York Jets,5,0,3,2,0,0,0,1,21.0,21.0,3.3,NYJ,DST,14,2010
8,Detroit Lions,4,2,1,1,0,0,0,1,20.0,20.0,1.1,DET,DST,14,2010
9,Miami Dolphins,6,1,1,3,0,0,0,1,20.0,20.0,60.2,MIA,DST,14,2010
10,Atlanta Falcons,5,1,1,1,0,0,0,1,19.0,19.0,5.8,ATL,DST,14,2010
11,Buffalo Bills,1,1,2,5,0,0,0,1,17.0,17.0,95.9,BUF,DST,14,2010
12,Jacksonville Jaguars,3,1,1,0,0,0,0,1,17.0,17.0,6.9,JAC,DST,14,2010
13,New York Giants,4,1,0,0,0,0,0,1,16.0,16.0,4.5,NYG,DST,14,2010
14,Dallas Cowboys,2,2,0,0,0,0,0,1,16.0,16.0,82.9,DAL,DST,14,2010
15,Green Bay Packers,2,2,0,0,0,0,0,1,16.0,16.0,60.6,GB,DST,14,2010
16,Kansas City Chiefs,2,1,1,2,0,0,0,1,16.0,16.0,45.7,KC,DST,14,2010
17,Carolina Panthers,3,1,0,0,0,0,0,1,15.0,15.0,27.8,CAR,DST,14,2010
18,Philadelphia Eagles,1,2,0,0,0,0,0,1,15.0,15.0,52.5,PHI,DST,14,2010
19,Washington Commanders,1,0,2,1,0,0,0,1,15.0,15.0,27.5,WAS,DST,14,2010
20,Minnesota Vikings,1,2,0,0,0,0,0,1,15.0,15.0,28.0,MIN,DST,14,2010
21,Cleveland Browns,2,0,1,1,0,0,0,1,14.0,14.0,40.8,CLE,DST,14,2010
22,Indianapolis Colts,0,0,2,1,0,0,0,1,14.0,14.0,66.4,IND,DST,14,2010
23,Tampa Bay Buccaneers,2,0,1,0,0,0,0,1,14.0,14.0,98.0,TB,DST,14,2010
24,Houston Texans,5,0,0,1,0,0,0,1,12.0,12.0,6.4,HOU,DST,14,2010
25,Denver Broncos,0,0,1,1,0,0,0,1,12.0,12.0,48.5,DEN,DST,14,2010
26,Cincinnati Bengals,4,0,0,0,0,0,0,1,11.0,11.0,14.7,CIN,DST,14,2010
27,Tennessee Titans,1,0,0,0,0,0,0,1,11.0,11.0,48.4,TEN,DST,14,2010
28,Chicago Bears,3,0,0,0,0,0,0,1,10.0,10.0,35.9,CHI,DST,14,2010
29,Seattle Seahawks,2,0,0,0,0,0,1,1,9.0,9.0,39.4,SEA,DST,14,2010
30,Las Vegas Raiders,0,0,0,0,0,0,0,0,0.0,0.0,7.6,LV,DST,14,2010
31,Los Angeles Chargers,0,0,0,0,0,0,0,0,0.0,0.0,44.3,LAC,DST,14,2010
32,Los Angeles Rams,0,0,0,0,0,0,0,0,0.0,0.0,74.5,LAR,DST,14,2010
