rank,player,defense_sacks,defense_ints,fumble_recovery,fumble_forced,defense_td,defense_safety,defense_spc_td,games,fantasy_points,fantasy_points_per_game,rost,team,position,week,year
1,New England Patriots,5,1,1,1,1,0,0,1,25.0,25.0,93.2,NE,DST,15,2010
2,Atlanta Falcons,2,2,1,1,1,0,0,1,24.0,24.0,5.8,ATL,DST,15,2010
3,Chicago Bears,4,3,2,3,0,0,1,1,24.0,24.0,35.9,CHI,DST,15,2010
4,Dallas Cowboys,5,2,1,1,0,0,0,1,21.0,21.0,82.9,DAL,DST,15,2010
5,New York Giants,3,1,2,1,0,0,0,1,19.0,19.0,4.5,NYG,DST,15,2010
6,Buffalo Bills,3,1,1,0,0,0,0,1,17.0,17.0,95.9,BUF,DST,15,2010
7,Carolina Panthers,3,1,1,2,0,0,0,1,17.0,17.0,27.8,CAR,DST,15,2010
8,Kansas City Chiefs,3,2,0,1,0,0,0,1,17.0,17.0,45.7,KC,DST,15,2010
9,Tennessee Titans,4,1,0,2,0,0,0,1,16.0,16.0,48.4,TEN,DST,15,2010
10,Philadelphia Eagles,2,1,1,1,0,0,1,1,16.0,16.0,52.5,PHI,DST,15,2010
11,Denver Broncos,0,2,1,1,0,0,0,1,16.0,16.0,48.5,DEN,DST,15,2010
12,Baltimore Ravens,3,1,0,2,0,0,0,1,15.0,15.0,51.9,BAL,DST,15,2010
13,New York Jets,3,0,0,2,0,1,1,1,15.0,15.0,3.3,NYJ,DST,15,2010
14,Houston Texans,3,1,0,0,0,0,0,1,15.0,15.0,6.4,HOU,DST,15,2010
15,Indianapolis Colts,1,1,1,0,0,0,1,1,15.0,15.0,66.4,IND,DST,15,2010
16,Arizona Cardinals,2,0,1,1,0,0,0,1,14.0,14.0,60.9,ARI,DST,15,2010
17,Miami Dolphins,2,1,0,0,0,0,0,1,14.0,14.0,60.2,MIA,DST,15,2010
18,Cincinnati Bengals,4,0,0,0,0,0,0,1,14.0,14.0,14.7,CIN,DST,15,2010
19,Minnesota Vikings,1,1,0,1,0,0,0,1,13.0,13.0,28.0,MIN,DST,15,2010
20,New Orleans Saints,3,0,0,0,0,0,0,1,13.0,13.0,79.3,NO,DST,15,2010
21,Detroit Lions,3,0,0,0,0,0,0,1,13.0,13.0,1.1,DET,DST,15,2010
22,Washington Commanders,2,0,0,0,0,0,0,1,12.0,12.0,27.5,WAS,DST,15,2010
23,Jacksonville Jaguars,1,0,0,0,0,0,1,1,11.0,11.0,6.9,JAC,DST,15,2010
24,Pittsburgh Steelers,1,0,0,0,0,0,0,1,11.0,11.0,44.6,PIT,DST,15,2010
25,San Francisco 49ers,1,0,0,0,0,0,0,1,11.0,11.0,79.5,SF,DST,15,2010
26,Green Bay Packers,3,0,0,1,0,0,0,1,10.0,10.0,60.6,GB,DST,15,2010
27,Cleveland Browns,0,0,0,0,0,0,0,1,10.0,10.0,40.8,CLE,DST,15,2010
28,Seattle Seahawks,1,1,0,2,0,0,0,1,10.0,10.0,39.4,SEA,DST,15,2010
29,Tampa Bay Buccaneers,0,0,0,0,0,0,0,1,10.0,10.0,98.0,TB,DST,15,2010
30,Las Vegas Raiders,0,0,0,0,0,0,0,0,0.0,0.0,7.6,LV,DST,15,2010
31,Los Angeles Chargers,0,0,0,0,0,0,0,0,0.0,0.0,44.3,LAC,DST,15,2010
32,Los Angeles Rams,0,0,0,0,0,0,0,0,0.0,0.0,74.5,LAR,DST,15,2010
