rank,player,sacks,ints,frec,ff,defense_td,sfty,spc_td,games,fantasy_points,fantasy_points_per_game,rost,team,position,week,year
1,Cleveland Browns,3,4,0,0,2,0,0,1,33.0,33.0,40.8,CLE,DST,7,2010
2,Washington Commanders,4,4,2,2,1,0,0,1,29.0,29.0,27.5,WAS,DST,7,2010
3,Tennessee Titans,1,2,2,1,1,0,0,1,25.0,25.0,48.4,TEN,DST,7,2010
4,Kansas City Chiefs,1,2,1,1,1,0,0,1,23.0,23.0,45.7,KC,DST,7,2010
5,San Francisco 49ers,1,1,2,2,1,0,0,1,23.0,23.0,79.5,SF,DST,7,2010
6,Green Bay Packers,1,3,0,0,1,0,0,1,23.0,23.0,60.6,GB,DST,7,2010
7,Seattle Seahawks,2,1,4,2,0,0,0,1,22.0,22.0,39.4,SEA,DST,7,2010
8,Chicago Bears,2,2,1,5,1,0,0,1,21.0,21.0,35.9,CHI,DST,7,2010
9,Dallas Cowboys,1,3,2,2,0,0,1,1,21.0,21.0,82.9,DAL,DST,7,2010
10,Cincinnati Bengals,0,1,1,1,1,0,0,1,20.0,20.0,14.7,CIN,DST,7,2010
11,New England Patriots,2,1,3,1,0,0,0,1,20.0,20.0,93.2,NE,DST,7,2010
12,Baltimore Ravens,1,2,2,2,0,0,0,1,19.0,19.0,51.9,BAL,DST,7,2010
13,New York Giants,3,0,2,2,0,0,0,1,17.0,17.0,4.5,NYG,DST,7,2010
14,Arizona Cardinals,5,0,1,1,0,0,0,1,17.0,17.0,60.9,ARI,DST,7,2010
15,Miami Dolphins,3,0,2,3,0,0,0,1,17.0,17.0,60.2,MIA,DST,7,2010
16,Buffalo Bills,2,0,2,0,0,0,0,1,16.0,16.0,95.9,BUF,DST,7,2010
17,Philadelphia Eagles,3,2,1,1,0,0,0,1,16.0,16.0,52.5,PHI,DST,7,2010
18,Pittsburgh Steelers,1,1,1,1,0,0,0,1,15.0,15.0,44.6,PIT,DST,7,2010
19,Tampa Bay Buccaneers,1,0,1,1,0,0,0,1,13.0,13.0,98.0,TB,DST,7,2010
20,Denver Broncos,2,0,0,1,0,0,0,1,12.0,12.0,48.5,DEN,DST,7,2010
21,Atlanta Falcons,3,0,1,2,0,0,0,1,12.0,12.0,5.8,ATL,DST,7,2010
22,Minnesota Vikings,0,2,0,1,0,0,0,1,11.0,11.0,28.0,MIN,DST,7,2010
23,Carolina Panthers,2,1,0,0,0,0,0,1,11.0,11.0,27.8,CAR,DST,7,2010
24,New Orleans Saints,1,0,0,0,0,0,0,1,8.0,8.0,79.3,NO,DST,7,2010
25,Jacksonville Jaguars,1,0,0,0,0,0,0,1,8.0,8.0,6.9,JAC,DST,7,2010
26,Houston Texans,0,0,0,0,0,0,0,0,0.0,0.0,6.4,HOU,DST,7,2010
27,Detroit Lions,0,0,0,0,0,0,0,0,0.0,0.0,1.1,DET,DST,7,2010
28,New York Jets,0,0,0,0,0,0,0,0,0.0,0.0,3.3,NYJ,DST,7,2010
29,Las Vegas Raiders,0,0,0,0,0,0,0,0,0.0,0.0,7.6,LV,DST,7,2010
30,Indianapolis Colts,0,0,0,0,0,0,0,0,0.0,0.0,66.4,IND,DST,7,2010
31,Los Angeles Chargers,0,0,0,0,0,0,0,0,0.0,0.0,44.3,LAC,DST,7,2010
32,Los Angeles Rams,0,0,0,0,0,0,0,0,0.0,0.0,74.5,LAR,DST,7,2010
