,Rank,Player,FG,FGA,PCT,LG,1-19,20-29,30-39,40-49,50+,XPT,XPA,G,FPTS,FPTS/G,ROST
0,1,Jason Sanders(MIA),36,39,92.3,56,1,8,7,12,8,36,36,16,172.0,10.8,22.6%
1,2,Younghoe Koo(ATL),37,39,94.9,54,0,10,11,8,8,33,36,15,168.0,11.2,40.9%
2,3,Tyler Bass(BUF),28,34,82.4,58,1,9,6,8,4,57,59,16,157.0,9.8,84.8%
3,4,Daniel Carlson(LV),33,35,94.3,54,0,18,8,3,4,45,47,16,155.0,9.7,74.3%
4,5,Greg Zuerlein(DAL),34,41,82.9,59,1,5,13,12,3,33,36,16,153.0,9.6,74.2%
5,6,Rodrigo Blankenship(IND),32,37,86.5,53,0,10,12,9,1,43,45,16,150.0,9.4,4.1%
6,7,Ryan Succop(TB),28,31,90.3,50,1,10,9,7,1,52,57,16,145.0,9.1,57.4%
7,8,Justin Tucker(BAL),26,29,89.7,55,0,8,6,9,3,52,53,16,145.0,9.1,98.0%
8,9,Cairo Santos(CHI),30,32,93.8,55,0,9,10,9,2,36,37,16,139.0,8.7,2.1%
9,10,Jason Myers(SEA),24,24,100.0,61,0,2,7,13,2,49,53,16,138.0,8.6,22.1%
10,11,Brandon McManus(DEN),28,34,82.4,58,0,6,4,8,10,24,27,15,136.0,9.1,44.3%
11,12,Wil Lutz(NO),23,28,82.1,53,0,5,10,7,1,57,58,16,135.0,8.4,3.3%
12,13,Harrison Butker(KC),25,27,92.6,58,2,7,9,3,4,48,54,16,134.0,8.4,76.6%
13,14,Graham Gano(NYG),31,32,96.9,55,0,4,13,9,5,21,23,16,133.0,8.3,31.4%
14,15,Ka'imi Fairbairn(HOU),27,31,87.1,54,0,8,9,6,4,37,40,16,132.0,8.3,0.8%
15,16,Joey Slye(WAS),29,36,80.6,56,0,11,10,7,1,33,36,16,129.0,8.1,1.6%
16,17,Dustin Hopkins(LAC),27,34,79.4,51,0,5,7,13,2,30,32,16,128.0,8.0,14.5%
17,18,Nick Folk(NE),26,28,92.9,51,0,6,7,11,2,30,33,16,123.0,7.7,81.8%
18,19,Mason Crosby(GB),16,16,100.0,57,1,1,5,5,4,59,63,16,120.0,7.5,40.7%
19,20,Michael Badgley(IND),24,33,72.7,53,0,8,6,8,2,36,39,16,120.0,7.5,19.9%
20,21,Stephen Gostkowski(FA),18,26,69.2,55,0,2,4,5,7,46,48,15,119.0,7.9,0.1%
21,22,Matt Prater(ARI),21,28,75.0,59,0,4,7,4,6,38,41,16,117.0,7.3,52.8%
22,23,Cody Parkey(FA),19,22,86.4,46,0,5,4,10,0,43,47,15,110.0,7.3,0.4%
23,24,Robbie Gould(SF),19,23,82.6,52,0,3,5,9,2,36,38,15,106.0,7.1,22.5%
24,25,Randy Bullock(TEN),21,26,80.8,55,0,3,8,7,3,24,25,12,100.0,8.3,10.8%
25,26,Chris Boswell(PIT),19,20,95.0,59,0,5,6,7,1,34,38,13,100.0,7.7,51.0%
26,27,Zane Gonzalez(CAR),16,22,72.7,56,0,4,2,8,2,38,39,12,98.0,8.2,2.6%
27,28,Dan Bailey(FA),15,22,68.2,53,0,6,3,4,2,37,43,16,90.0,5.6,0.0%
28,29,Jake Elliott(PHI),14,19,73.7,54,0,1,6,5,2,24,26,16,75.0,4.7,22.5%
29,30,Matt Gay(LAR),14,16,87.5,51,0,2,5,6,1,16,16,7,66.0,9.4,89.8%
30,31,Sam Sloman(PIT),10,13,76.9,47,0,2,6,2,0,23,26,8,55.0,6.9,0.0%
31,32,Sam Ficken(TEN),13,15,86.7,54,0,5,6,1,1,12,15,9,54.0,6.0,0.1%
32,33,Aldrick Rosas(FA),8,11,72.7,54,0,3,2,0,3,9,9,6,39.0,6.5,1.8%
33,34,Sergio Castillo(NYJ),8,13,61.5,55,0,1,3,2,2,6,7,6,36.0,6.0,0.0%
34,35,Mike Nugent(FA),7,8,87.5,43,0,1,4,2,0,7,7,4,30.0,7.5,1.0%
35,36,Josh Lambo(FA),5,5,100.0,59,0,0,2,1,2,8,10,4,28.0,7.0,3.2%
36,37,Austin Seibert(DET),6,9,66.7,48,0,0,5,1,0,8,9,5,27.0,5.4,0.1%
37,38,Matthew Wright(JAC),4,4,100.0,46,0,1,1,2,0,7,7,3,21.0,7.0,0.2%
38,39,Chase McLaughlin(CLE),4,5,80.0,52,0,1,1,1,1,5,6,4,20.0,5.0,7.1%
39,40,Tristan Vizcaino(FA),3,3,100.0,47,0,0,2,1,0,2,2,1,12.0,12.0,0.8%
40,41,Kai Forbath(LAR),2,3,66.7,23,0,2,0,0,0,4,5,2,10.0,5.0,3.0%
41,42,Elliott Fry(FA),1,1,100.0,23,0,1,0,0,0,1,2,1,4.0,4.0,2.4%
42,43,Jonathan Brown(FA),1,2,50.0,31,0,0,1,0,0,1,1,1,4.0,4.0,0.1%
43,44,Stephen Hauschka(FA),0,2,0.0,0,0,0,0,0,0,2,2,1,2.0,2.0,0.0%
44,45,Taylor Russolino(FA),0,1,0.0,0,0,0,0,0,0,1,3,1,1.0,1.0,0.0%
45,46,Brandon Wright(FA),0,0,0,0,0,0,0,0,0,1,2,1,1.0,1.0,0.0%
46,47,Ryan Santoso(LAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
47,48,Chris Blewitt(CLE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
48,49,Greg Joseph(MIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.1%
49,50,Eddy Pineiro(NYJ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2%
50,51,Evan McPherson(CIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.2%
51,52,Riley Patterson(DET),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2%
52,53,Alex Kessman(CAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
53,54,Jose Borregales(TB),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
54,55,Quinn Nordin(NE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
55,56,Chris Naggar(DAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
56,57,Brian Johnson(WAS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.6%
57,58,Cameron Nizialek(PIT),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
58,59,Jake Verity(IND),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
59,60,JJ Molson(GB),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
60,61,Matt Ammendola(NYJ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
61,62,Lirim Hajrullahu(CAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2%
62,63,Austin MacGinnis(LAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
63,64,Parker Douglass(NYJ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
64,65,Piotr Czech(PIT),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
65,66,Steven Weatherford(NYJ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
66,67,Zac Derr(ATL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
67,68,Ricky Schmit(SF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
68,69,Andrew Wellock(CAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
69,70,Carlos Martinez(DAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
70,71,Garrett Rivas(TB),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
71,72,Jason Reda(CLE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
72,73,MacKenzie Hoambrecker(SF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
73,74,Mark Hickok(NYG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
74,75,Brett Maher(NO),0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9%
75,76,Andrew Jacas(SF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
76,77,Michael Palardy(MIA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.3%
77,78,Giorgio Tavecchio(TEN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0%
78,79,Garrett Lindholm(ATL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
79,80,Connor Hughes(DAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
80,81,Clint Stitser(WAS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
81,82,Saverio Rocca(WAS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
82,83,Ty Long(LAC),0,0,0,0,0,0,0,0,0,0,0,16,-2.8,-0.2,0.7%
