player,fg,fg_att,XPT,fantasy_points,team,position,week,year
Ryan Succop,1.9,2.2,2.7,8.3,TB,K,4,2021
Greg Zuerlein,1.8,2.6,2.7,8.2,DAL,K,4,2021
Harrison Butker,1.7,1.9,3.0,8.2,KC,K,4,2021
Matt Gay,1.7,2.0,2.9,8.1,LAR,K,4,2021
Jason Myers,1.8,2.1,2.7,8.1,SEA,K,4,2021
Mason Crosby,1.7,2.0,2.8,8.0,GB,K,4,2021
Daniel Carlson,1.8,2.2,2.5,8.0,LV,K,4,2021
Randy Bullock,1.7,2.1,2.7,7.9,TEN,K,4,2021
Younghoe Koo,1.8,2.1,2.2,7.6,ATL,K,4,2021
Robbie Gould,1.6,1.9,2.6,7.5,SF,K,4,2021
Brandon McManus,1.7,2.0,2.3,7.4,DEN,K,4,2021
Matt Prater,1.7,2.0,2.2,7.3,ARI,K,4,2021
Zane Gonzalez,1.7,2.1,2.2,7.3,CAR,K,4,2021
Greg Joseph,1.6,1.8,2.5,7.2,MIN,K,4,2021
Chase McLaughlin,1.6,1.8,2.6,7.2,CLE,K,4,2021
Cairo Santos,1.6,1.8,2.3,7.1,CHI,K,4,2021
Dustin Hopkins,1.6,1.9,2.3,7.1,LAC,K,4,2021
Nick Folk,1.8,2.0,1.7,7.0,NE,K,4,2021
Rodrigo Blankenship,1.8,2.0,1.8,7.0,IND,K,4,2021
Evan McPherson,1.5,1.7,2.6,7.0,CIN,K,4,2021
Chris Boswell,1.6,1.9,1.9,6.9,PIT,K,4,2021
Graham Gano,1.7,1.9,1.7,6.9,NYG,K,4,2021
Jason Sanders,1.6,1.8,2.0,6.8,MIA,K,4,2021
Jake Elliott,1.5,1.8,2.2,6.7,PHI,K,4,2021
Matt Ammendola,1.7,1.9,1.6,6.6,NYJ,K,4,2021
Joey Slye,1.5,1.8,1.6,6.2,WAS,K,4,2021
Austin Seibert,1.3,1.6,2.2,6.0,DET,K,4,2021
Matthew Wright,1.4,1.6,1.4,5.6,JAC,K,4,2021
Ka'imi Fairbairn,1.3,1.5,1.3,5.3,HOU,K,4,2021
Justin Tucker,2.2,2.5,2.7,9.2,BAL,K,5,2021
Daniel Carlson,2.1,2.5,2.3,8.7,LV,K,5,2021
Greg Zuerlein,1.8,2.5,3.0,8.5,DAL,K,5,2021
Matt Prater,1.8,2.2,2.9,8.4,ARI,K,5,2021
Mason Crosby,1.8,2.1,2.9,8.3,GB,K,5,2021
Greg Joseph,1.8,2.0,2.9,8.2,MIN,K,5,2021
Younghoe Koo,2.0,2.3,2.2,8.2,ATL,K,5,2021
Harrison Butker,1.7,2.0,3.0,8.2,KC,K,5,2021
Ryan Succop,1.7,2.0,3.2,8.2,TB,K,5,2021
Nick Folk,2.0,2.4,2.0,8.1,NE,K,5,2021
Randy Bullock,1.8,2.1,2.6,8.0,TEN,K,5,2021
Tyler Bass,1.8,2.1,2.7,8.0,BUF,K,5,2021
Matt Gay,1.7,2.0,2.9,7.9,LAR,K,5,2021
Zane Gonzalez,1.7,2.1,2.4,7.5,CAR,K,5,2021
Jason Myers,1.6,1.8,2.6,7.4,SEA,K,5,2021
Graham Gano,1.8,2.1,2.0,7.4,NYG,K,5,2021
Chris Boswell,1.8,2.1,1.8,7.1,PIT,K,5,2021
Rodrigo Blankenship,1.7,2.0,1.8,7.0,IND,K,5,2021
Dustin Hopkins,1.7,2.1,1.8,7.0,LAC,K,5,2021
Chase McLaughlin,1.7,1.9,2.0,7.0,CLE,K,5,2021
Cairo Santos,1.7,1.9,2.0,7.0,CHI,K,5,2021
Brandon McManus,1.6,1.9,2.0,6.9,DEN,K,5,2021
Evan McPherson,1.5,1.8,2.4,6.9,CIN,K,5,2021
Matt Ammendola,1.7,1.9,1.7,6.7,NYJ,K,5,2021
Jason Sanders,1.5,1.7,1.8,6.4,MIA,K,5,2021
Jake Elliott,1.5,1.7,2.0,6.4,PHI,K,5,2021
Joey Slye,1.5,1.7,1.8,6.2,WAS,K,5,2021
Austin Seibert,1.4,1.4,2.0,6.2,DET,K,5,2021
