player,receiving_rec,receiving_yds,receiving_td,lst,fantasy_points,team,position,week,year
Mike Gesicki,4.9,58.5,0.3,0.1,7.3,MIA,TE,10,2021
Dan Arnold,4.1,50.2,0.4,0.0,7.0,JAC,TE,10,2021
Jared Cook,3.2,41.0,0.4,0.0,6.7,LAC,TE,10,2021
Dalton Schultz,4.4,47.8,0.3,0.0,6.6,DAL,TE,10,2021
Pat Freiermuth,3.4,38.5,0.4,0.0,6.5,PIT,TE,10,2021
Hunter Henry,3.3,35.9,0.5,0.0,6.3,NE,TE,10,2021
Dawson Knox,3.0,38.5,0.3,0.0,5.8,BUF,TE,10,2021
Tyler Higbee,4.0,42.8,0.2,0.0,5.7,LAR,TE,10,2021
Noah Fant,4.2,42.6,0.2,0.0,5.7,DEN,TE,10,2021
Zach Ertz,3.8,38.1,0.2,0.0,5.3,ARI,TE,10,2021
Tyler Conklin,3.8,39.2,0.2,0.0,5.1,MIN,TE,10,2021
Ricky Seals-Jones,3.4,35.9,0.2,0.0,4.9,WAS,TE,10,2021
O.J. Howard,2.4,29.4,0.2,0.0,4.1,TB,TE,10,2021
Austin Hooper,2.8,29.1,0.2,0.0,3.9,CLE,TE,10,2021
Adam Trautman,3.0,32.5,0.1,0.1,3.9,NO,TE,10,2021
David Njoku,2.3,29.8,0.1,0.0,3.8,CLE,TE,10,2021
Hayden Hurst,2.5,26.7,0.2,0.0,3.5,ATL,TE,10,2021
Cameron Brate,2.1,22.6,0.2,0.0,3.5,TB,TE,10,2021
Mo Alie-Cox,1.8,22.6,0.2,0.0,3.4,IND,TE,10,2021
Donald Parham Jr.,1.5,17.4,0.2,0.0,2.7,LAC,TE,10,2021
Albert Okwuegbunam,2.0,19.4,0.1,0.0,2.7,DEN,TE,10,2021
Tommy Sweeney,1.8,17.0,0.2,0.0,2.6,BUF,TE,10,2021
Jack Doyle,1.5,16.4,0.1,0.0,2.5,IND,TE,10,2021
Anthony Firkser,1.9,19.1,0.1,0.0,2.4,TEN,TE,10,2021
Geoff Swaim,1.6,15.7,0.1,0.0,2.3,TEN,TE,10,2021
Josiah Deguara,1.5,14.6,0.1,0.0,2.2,GB,TE,10,2021
Ryan Griffin,1.8,16.2,0.1,0.0,2.1,NYJ,TE,10,2021
Tommy Tremble,1.5,15.8,0.1,0.0,2.0,CAR,TE,10,2021
Dominique Dafney,1.2,14.0,0.1,0.0,2.0,GB,TE,10,2021
Will Dissly,1.3,14.6,0.1,0.0,2.0,SEA,TE,10,2021
Harrison Bryant,1.2,14.1,0.1,0.0,2.0,CLE,TE,10,2021
Marcedes Lewis,1.4,14.6,0.1,0.0,2.0,GB,TE,10,2021
Durham Smythe,1.3,13.6,0.1,0.0,1.9,MIA,TE,10,2021
MyCole Pruitt,1.1,12.8,0.1,0.0,1.8,TEN,TE,10,2021
Foster Moreau,0.9,11.6,0.1,0.0,1.8,LV,TE,10,2021
Ian Thomas,1.2,12.6,0.0,0.0,1.5,CAR,TE,10,2021
Jonnu Smith,1.0,15.0,0.0,0.0,1.5,NE,TE,10,2021
Adam Shaheen,1.1,10.9,0.1,0.0,1.5,MIA,TE,10,2021
Chris Herndon IV,0.8,6.6,0.2,0.1,1.5,MIN,TE,10,2021
Daniel Helm,0.8,8.5,0.1,0.0,1.5,ATL,TE,10,2021
Charlie Woerner,1.2,11.2,0.1,0.0,1.4,SF,TE,10,2021
Stephen Anderson,0.9,9.6,0.1,0.0,1.4,LAC,TE,10,2021
Juwan Johnson,0.9,9.3,0.1,0.0,1.4,NO,TE,10,2021
Sean McKeon,0.7,7.8,0.1,0.0,1.4,DAL,TE,10,2021
Brycen Hopkins,0.7,7.1,0.1,0.0,1.3,LAR,TE,10,2021
John Bates,1.0,8.9,0.1,0.0,1.2,WAS,TE,10,2021
Devin Asiasi,0.7,7.6,0.1,0.0,1.1,NE,TE,10,2021
Garrett Griffin,0.8,8.0,0.0,0.0,1.0,NO,TE,10,2021
Blake Bell,0.7,6.7,0.1,0.0,1.0,KC,TE,10,2021
Chris Manhertz,0.6,6.6,0.1,0.0,1.0,JAC,TE,10,2021
Zach Gentry,0.8,7.8,0.0,0.0,1.0,PIT,TE,10,2021
Josh Oliver,0.7,7.4,0.0,0.0,0.9,BAL,TE,10,2021
Kylen Granson,0.5,5.9,0.1,0.0,0.9,IND,TE,10,2021
Luke Farrell,0.7,7.5,0.0,0.0,0.9,JAC,TE,10,2021
Jack Stoll,0.7,6.9,0.0,0.0,0.9,PHI,TE,10,2021
Ross Dwelley,0.6,5.5,0.1,0.0,0.8,SF,TE,10,2021
Tre' McKitty,0.5,5.2,0.1,0.0,0.8,LAC,TE,10,2021
Brock Wright,0.6,8.0,0.0,0.0,0.8,DET,TE,10,2021
Andrew Beck,0.3,3.2,0.1,0.0,0.6,DEN,TE,10,2021
Eric Saubert,0.7,6.0,0.0,0.0,0.6,DEN,TE,10,2021
Colby Parkinson,0.6,5.2,0.0,0.0,0.5,SEA,TE,10,2021
Tyree Jackson,0.4,5.0,0.0,0.0,0.5,PHI,TE,10,2021
Trevon Wesco,0.5,4.5,0.0,0.0,0.4,NYJ,TE,10,2021
Noah Gray,0.4,3.9,0.0,0.0,0.4,KC,TE,10,2021
Darrell Daniels,0.4,3.6,0.0,0.0,0.4,ARI,TE,10,2021
Reggie Gilliam,0.4,3.3,0.0,0.0,0.3,BUF,TE,10,2021
Kendall Blanton,0.2,3.0,0.0,0.0,0.3,LAR,TE,10,2021
Sammis Reyes,0.3,3.0,0.0,0.0,0.3,WAS,TE,10,2021
David Wells,0.3,3.0,0.0,0.0,0.3,ARI,TE,10,2021
Kevin Rader,0.2,2.0,0.0,0.0,0.2,PIT,TE,10,2021
Eric Tomlinson,0.2,2.0,0.0,0.0,0.2,BAL,TE,10,2021
Demetrius Harris,0.2,2.0,0.0,0.0,0.2,ARI,TE,10,2021
Luke Stocker,0.2,2.0,0.0,0.0,0.2,MIN,TE,10,2021
Cethan Carter,0.2,1.6,0.0,0.0,0.2,MIA,TE,10,2021
Colin Thompson,0.1,1.0,0.0,0.0,0.1,CAR,TE,10,2021
Jeremy Sprinkle,0.1,1.0,0.0,0.0,0.1,DAL,TE,10,2021
Giovanni Ricci,0.1,0.5,0.0,0.0,0.1,CAR,TE,10,2021
Travis Kelce,6.4,79.4,0.6,0.1,11.4,KC,TE,11,2021
Darren Waller,6.3,75.7,0.5,0.1,10.6,LV,TE,11,2021
George Kittle,5.5,68.5,0.5,0.1,9.6,SF,TE,11,2021
Kyle Pitts,5.2,68.9,0.4,0.0,9.3,ATL,TE,11,2021
Mark Andrews,4.8,59.5,0.5,0.0,8.8,BAL,TE,11,2021
Mike Gesicki,4.7,55.4,0.5,0.0,8.2,MIA,TE,11,2021
Dalton Schultz,4.5,48.5,0.4,0.0,7.5,DAL,TE,11,2021
T.J. Hockenson,4.5,49.7,0.4,0.0,7.0,DET,TE,11,2021
Dan Arnold,4.1,49.0,0.4,0.0,7.0,JAC,TE,11,2021
Hunter Henry,3.2,36.1,0.5,0.0,6.7,NE,TE,11,2021
Dawson Knox,3.1,37.8,0.4,0.0,6.4,BUF,TE,11,2021
Dallas Goedert,4.0,49.0,0.2,0.0,6.4,PHI,TE,11,2021
Rob Gronkowski,3.1,37.6,0.3,0.0,5.8,TB,TE,11,2021
C.J. Uzomah,2.9,31.4,0.4,0.0,5.7,CIN,TE,11,2021
Zach Ertz,3.9,41.4,0.2,0.0,5.4,ARI,TE,11,2021
Pat Freiermuth,3.7,37.9,0.3,0.0,5.2,PIT,TE,11,2021
Cole Kmet,3.7,40.7,0.2,0.0,5.2,CHI,TE,11,2021
Tyler Conklin,3.7,38.8,0.2,0.0,5.2,MIN,TE,11,2021
Jared Cook,2.9,37.5,0.2,0.0,5.2,LAC,TE,11,2021
Austin Hooper,3.1,33.6,0.2,0.0,4.8,CLE,TE,11,2021
David Njoku,2.4,33.5,0.2,0.0,4.6,CLE,TE,11,2021
Evan Engram,3.7,33.9,0.2,0.0,4.3,NYG,TE,11,2021
Adam Trautman,3.2,33.5,0.2,0.1,4.2,NO,TE,11,2021
Anthony Firkser,2.5,25.6,0.1,0.0,3.4,TEN,TE,11,2021
Jonnu Smith,2.0,20.7,0.2,0.0,3.1,NE,TE,11,2021
John Bates,2.4,23.3,0.1,0.0,2.9,WAS,TE,11,2021
Pharaoh Brown,2.0,20.3,0.1,0.0,2.8,HOU,TE,11,2021
Donald Parham Jr.,1.5,18.0,0.1,0.0,2.7,LAC,TE,11,2021
Mo Alie-Cox,1.6,18.5,0.1,0.0,2.6,IND,TE,11,2021
Harrison Bryant,1.4,18.1,0.1,0.0,2.6,CLE,TE,11,2021
Jack Doyle,1.9,18.3,0.1,0.0,2.5,IND,TE,11,2021
MyCole Pruitt,1.2,13.9,0.2,0.0,2.5,TEN,TE,11,2021
O.J. Howard,1.6,19.8,0.1,0.0,2.5,TB,TE,11,2021
Cameron Brate,1.5,15.3,0.1,0.0,2.4,TB,TE,11,2021
Tommy Sweeney,1.4,13.9,0.2,0.0,2.3,BUF,TE,11,2021
Sean McKeon,1.4,15.3,0.1,0.0,2.3,DAL,TE,11,2021
Brevin Jordan,1.5,15.9,0.1,0.0,2.2,HOU,TE,11,2021
Josiah Deguara,1.6,15.5,0.1,0.0,2.2,GB,TE,11,2021
Ryan Griffin,1.6,15.4,0.1,0.0,2.1,NYJ,TE,11,2021
Tommy Tremble,1.4,14.8,0.1,0.0,2.1,CAR,TE,11,2021
Durham Smythe,1.4,14.6,0.1,0.0,2.1,MIA,TE,11,2021
Will Dissly,1.3,14.6,0.1,0.0,2.0,SEA,TE,11,2021
Parker Hesse,1.2,14.0,0.1,0.0,2.0,ATL,TE,11,2021
Kyle Rudolph,1.5,14.4,0.1,0.0,1.9,NYG,TE,11,2021
Marcedes Lewis,1.3,13.8,0.1,0.0,1.8,GB,TE,11,2021
James O'Shaughnessy,1.2,11.3,0.1,0.0,1.7,JAC,TE,11,2021
Adam Shaheen,1.2,12.1,0.1,0.0,1.7,MIA,TE,11,2021
Tyree Jackson,0.9,11.0,0.1,0.0,1.7,PHI,TE,11,2021
Jimmy Graham,1.0,11.8,0.1,0.0,1.7,CHI,TE,11,2021
Jordan Akins,1.5,16.5,0.0,0.0,1.7,HOU,TE,11,2021
Ian Thomas,1.1,12.4,0.1,0.0,1.6,CAR,TE,11,2021
Foster Moreau,0.9,9.5,0.1,0.0,1.5,LV,TE,11,2021
Jesse James,1.0,9.6,0.1,0.0,1.5,CHI,TE,11,2021
Daniel Helm,0.8,8.1,0.1,0.0,1.4,ATL,TE,11,2021
Sammis Reyes,0.9,9.6,0.1,0.0,1.4,WAS,TE,11,2021
Dominique Dafney,0.7,8.2,0.1,0.0,1.3,GB,TE,11,2021
Nick Boyle,1.0,10.0,0.1,0.0,1.3,BAL,TE,11,2021
Chris Herndon IV,0.9,8.6,0.1,0.0,1.3,MIN,TE,11,2021
Tommy Hudson,0.7,6.8,0.1,0.0,1.1,TEN,TE,11,2021
Nick Vannett,1.1,9.3,0.0,0.0,1.1,NO,TE,11,2021
Stephen Anderson,0.7,7.3,0.1,0.0,1.1,LAC,TE,11,2021
Antony Auclair,0.7,7.3,0.1,0.0,1.0,HOU,TE,11,2021
Jack Stoll,0.7,8.0,0.0,0.0,1.0,PHI,TE,11,2021
Blake Bell,0.6,6.4,0.1,0.0,0.9,KC,TE,11,2021
Noah Gray,0.6,5.8,0.1,0.0,0.9,KC,TE,11,2021
Brock Wright,0.8,7.9,0.0,0.0,0.9,DET,TE,11,2021
Tre' McKitty,0.5,5.9,0.1,0.0,0.9,LAC,TE,11,2021
Ross Dwelley,0.5,5.5,0.1,0.0,0.9,SF,TE,11,2021
Drew Sample,0.7,6.5,0.0,0.0,0.8,CIN,TE,11,2021
Chris Manhertz,0.5,4.3,0.1,0.0,0.7,JAC,TE,11,2021
Garrett Griffin,0.5,5.0,0.0,0.0,0.7,NO,TE,11,2021
Josh Oliver,0.6,5.3,0.0,0.0,0.7,BAL,TE,11,2021
Zach Gentry,0.7,6.5,0.0,0.0,0.6,PIT,TE,11,2021
Colin Thompson,0.3,3.1,0.1,0.0,0.6,CAR,TE,11,2021
Luke Farrell,0.7,5.8,0.0,0.0,0.6,JAC,TE,11,2021
Charlie Woerner,0.6,5.6,0.0,0.0,0.6,SF,TE,11,2021
Kylen Granson,0.5,4.6,0.0,0.0,0.5,IND,TE,11,2021
Colby Parkinson,0.5,4.0,0.0,0.0,0.4,SEA,TE,11,2021
Darrell Daniels,0.4,3.6,0.0,0.0,0.4,ARI,TE,11,2021
J.P. Holtz,0.3,3.4,0.0,0.0,0.3,CHI,TE,11,2021
Demetrius Harris,0.3,3.1,0.0,0.0,0.3,ARI,TE,11,2021
Trevon Wesco,0.3,3.0,0.0,0.0,0.3,NYJ,TE,11,2021
Kaden Smith,0.4,3.0,0.0,0.0,0.3,NYG,TE,11,2021
Reggie Gilliam,0.3,2.6,0.0,0.0,0.3,BUF,TE,11,2021
Quintin Morris,0.2,2.0,0.0,0.0,0.2,BUF,TE,11,2021
Kenny Yeboah,0.2,2.0,0.0,0.0,0.2,NYJ,TE,11,2021
Luke Stocker,0.2,2.0,0.0,0.0,0.2,MIN,TE,11,2021
Kahale Warring,0.2,2.0,0.0,0.0,0.2,JAC,TE,11,2021
Cethan Carter,0.2,1.4,0.0,0.0,0.1,MIA,TE,11,2021
Eric Tomlinson,0.1,1.0,0.0,0.0,0.1,BAL,TE,11,2021
Mitchell Wilcox,0.1,1.0,0.0,0.0,0.1,CIN,TE,11,2021
Jeremy Sprinkle,0.1,1.0,0.0,0.0,0.1,DAL,TE,11,2021
Giovanni Ricci,0.1,0.5,0.0,0.0,0.1,CAR,TE,11,2021
Hayden Hurst,0.0,0.0,0.0,0.0,0.0,ATL,TE,11,2021
Darren Waller,6.4,80.6,0.5,0.1,10.9,LV,TE,12,2021
Kyle Pitts,5.2,68.4,0.5,0.1,9.4,ATL,TE,12,2021
George Kittle,5.1,63.7,0.5,0.0,9.3,SF,TE,12,2021
Mark Andrews,4.8,58.7,0.6,0.0,9.1,BAL,TE,12,2021
Dalton Schultz,4.9,52.9,0.5,0.0,8.1,DAL,TE,12,2021
Rob Gronkowski,3.6,46.0,0.5,0.0,7.6,TB,TE,12,2021
T.J. Hockenson,4.7,50.7,0.4,0.0,7.3,DET,TE,12,2021
Mike Gesicki,4.5,50.1,0.4,0.0,7.2,MIA,TE,12,2021
Pat Freiermuth,4.3,44.5,0.5,0.0,7.1,PIT,TE,12,2021
Dawson Knox,3.6,43.8,0.5,0.0,7.1,BUF,TE,12,2021
Dallas Goedert,4.3,51.2,0.3,0.0,6.7,PHI,TE,12,2021
Dan Arnold,3.8,45.9,0.4,0.0,6.6,JAC,TE,12,2021
Hunter Henry,2.9,32.5,0.4,0.0,5.8,NE,TE,12,2021
Noah Fant,4.0,41.3,0.2,0.0,5.5,DEN,TE,12,2021
Tyler Higbee,4.0,41.5,0.2,0.0,5.4,LAR,TE,12,2021
Cole Kmet,3.9,41.2,0.2,0.0,5.2,CHI,TE,12,2021
Evan Engram,4.0,38.4,0.2,0.0,5.0,NYG,TE,12,2021
Tyler Conklin,3.6,37.2,0.2,0.0,4.9,MIN,TE,12,2021
Jared Cook,2.7,34.8,0.2,0.0,4.8,LAC,TE,12,2021
Austin Hooper,2.9,32.0,0.2,0.0,4.4,CLE,TE,12,2021
C.J. Uzomah,2.7,29.9,0.2,0.0,4.3,CIN,TE,12,2021
Logan Thomas,3.0,28.7,0.2,0.1,4.0,WAS,TE,12,2021
David Njoku,2.3,29.1,0.1,0.0,3.7,CLE,TE,12,2021
Pharaoh Brown,2.2,23.9,0.1,0.0,3.2,HOU,TE,12,2021
Jack Doyle,2.1,20.5,0.2,0.0,3.2,IND,TE,12,2021
John Bates,2.5,25.7,0.1,0.0,3.2,WAS,TE,12,2021
Geoff Swaim,2.4,22.4,0.1,0.0,3.0,TEN,TE,12,2021
Jonnu Smith,1.9,20.4,0.1,0.0,2.9,NE,TE,12,2021
Albert Okwuegbunam,2.1,21.4,0.1,0.0,2.8,DEN,TE,12,2021
Hayden Hurst,1.8,17.9,0.2,0.0,2.8,ATL,TE,12,2021
Juwan Johnson,1.8,18.9,0.1,0.0,2.7,NO,TE,12,2021
Anthony Firkser,2.0,21.4,0.1,0.0,2.6,TEN,TE,12,2021
Mo Alie-Cox,1.6,17.2,0.1,0.0,2.6,IND,TE,12,2021
Cameron Brate,1.7,17.5,0.1,0.0,2.6,TB,TE,12,2021
Parker Hesse,1.6,19.0,0.1,0.0,2.5,ATL,TE,12,2021
Ryan Griffin,1.7,18.4,0.1,0.0,2.5,NYJ,TE,12,2021
Donald Parham Jr.,1.4,16.5,0.1,0.0,2.5,LAC,TE,12,2021
Brevin Jordan,1.6,16.7,0.1,0.0,2.4,HOU,TE,12,2021
Durham Smythe,1.7,17.0,0.1,0.0,2.3,MIA,TE,12,2021
Will Dissly,1.5,15.9,0.1,0.0,2.3,SEA,TE,12,2021
Josiah Deguara,1.6,14.9,0.1,0.0,2.2,GB,TE,12,2021
Nick Vannett,1.7,17.4,0.1,0.0,2.2,NO,TE,12,2021
James O'Shaughnessy,1.7,17.7,0.1,0.0,2.2,JAC,TE,12,2021
Sean McKeon,1.4,13.9,0.1,0.0,2.2,DAL,TE,12,2021
Ricky Seals-Jones,1.5,15.3,0.1,0.0,2.0,WAS,TE,12,2021
Adam Shaheen,1.2,13.6,0.1,0.0,1.9,MIA,TE,12,2021
Jimmy Graham,1.3,14.5,0.1,0.0,1.9,CHI,TE,12,2021
Tommy Tremble,1.4,14.3,0.1,0.0,1.9,CAR,TE,12,2021
Harrison Bryant,1.1,13.6,0.1,0.0,1.9,CLE,TE,12,2021
O.J. Howard,1.2,14.5,0.1,0.0,1.9,TB,TE,12,2021
MyCole Pruitt,1.2,12.9,0.1,0.0,1.8,TEN,TE,12,2021
Jesse James,1.1,12.0,0.1,0.0,1.8,CHI,TE,12,2021
Foster Moreau,1.0,11.2,0.1,0.0,1.7,LV,TE,12,2021
Marcedes Lewis,1.1,12.4,0.1,0.0,1.7,GB,TE,12,2021
Kyle Rudolph,1.2,13.0,0.0,0.0,1.6,NYG,TE,12,2021
Tommy Sweeney,1.1,10.2,0.1,0.0,1.6,BUF,TE,12,2021
Ian Thomas,1.2,11.5,0.1,0.0,1.5,CAR,TE,12,2021
Sammis Reyes,0.8,8.0,0.1,0.0,1.4,WAS,TE,12,2021
Daniel Helm,0.7,8.0,0.1,0.0,1.4,ATL,TE,12,2021
Brycen Hopkins,0.7,7.6,0.1,0.0,1.4,LAR,TE,12,2021
Kaden Smith,1.1,8.5,0.1,0.0,1.3,NYG,TE,12,2021
Dominique Dafney,0.7,7.4,0.1,0.0,1.3,GB,TE,12,2021
Nick Boyle,1.0,9.2,0.1,0.0,1.2,BAL,TE,12,2021
Chris Herndon IV,0.7,7.4,0.1,0.0,1.2,MIN,TE,12,2021
Zach Gentry,0.9,9.7,0.0,0.0,1.2,PIT,TE,12,2021
Chris Myarick,0.9,8.5,0.0,0.0,1.1,NYG,TE,12,2021
Tyree Jackson,0.8,7.9,0.0,0.0,1.0,PHI,TE,12,2021
Tre' McKitty,0.7,6.7,0.1,0.0,1.0,LAC,TE,12,2021
Antony Auclair,0.7,6.5,0.1,0.0,1.0,HOU,TE,12,2021
Brock Wright,0.7,7.5,0.0,0.0,0.9,DET,TE,12,2021
Drew Sample,0.7,6.8,0.0,0.0,0.9,CIN,TE,12,2021
Tommy Hudson,0.7,7.2,0.0,0.0,0.9,TEN,TE,12,2021
Stephen Anderson,0.6,5.5,0.1,0.0,0.8,LAC,TE,12,2021
Garrett Griffin,0.6,5.5,0.1,0.0,0.8,NO,TE,12,2021
Jack Stoll,0.6,8.0,0.0,0.0,0.8,PHI,TE,12,2021
Chris Manhertz,0.5,5.0,0.1,0.0,0.8,JAC,TE,12,2021
Kylen Granson,0.6,6.5,0.0,0.0,0.8,IND,TE,12,2021
Kendall Blanton,0.4,4.6,0.1,0.0,0.8,LAR,TE,12,2021
Ross Dwelley,0.4,4.3,0.1,0.0,0.7,SF,TE,12,2021
Colby Parkinson,0.6,5.6,0.0,0.0,0.7,SEA,TE,12,2021
Andrew Beck,0.3,2.9,0.1,0.0,0.6,DEN,TE,12,2021
Hunter Long,0.7,5.8,0.0,0.0,0.6,MIA,TE,12,2021
Eric Saubert,0.6,4.6,0.0,0.0,0.5,DEN,TE,12,2021
Charlie Woerner,0.4,4.4,0.0,0.0,0.4,SF,TE,12,2021
Kevin Rader,0.4,4.0,0.0,0.0,0.4,PIT,TE,12,2021
Luke Farrell,0.4,4.0,0.0,0.0,0.4,JAC,TE,12,2021
J.P. Holtz,0.3,3.6,0.0,0.0,0.4,CHI,TE,12,2021
Trevon Wesco,0.3,3.1,0.0,0.0,0.3,NYJ,TE,12,2021
Reggie Gilliam,0.4,2.9,0.0,0.0,0.3,BUF,TE,12,2021
Kahale Warring,0.2,2.0,0.0,0.0,0.2,JAC,TE,12,2021
Mason Schreck,0.2,2.0,0.0,0.0,0.2,CIN,TE,12,2021
Luke Stocker,0.2,2.0,0.0,0.0,0.2,MIN,TE,12,2021
Kenny Yeboah,0.2,2.0,0.0,0.0,0.2,NYJ,TE,12,2021
Josh Oliver,0.2,2.0,0.0,0.0,0.2,BAL,TE,12,2021
Quintin Morris,0.2,2.0,0.0,0.0,0.2,BUF,TE,12,2021
Jeremy Sprinkle,0.1,1.0,0.0,0.0,0.1,DAL,TE,12,2021
Eric Tomlinson,0.1,1.0,0.0,0.0,0.1,BAL,TE,12,2021
Cethan Carter,0.1,0.9,0.0,0.0,0.1,MIA,TE,12,2021
Giovanni Ricci,0.1,0.5,0.0,0.0,0.1,CAR,TE,12,2021
Colin Thompson,0.0,0.0,0.0,0.0,0.0,CAR,TE,12,2021
Travis Kelce,6.3,76.2,0.6,0.1,11.0,KC,TE,13,2021
George Kittle,5.9,79.2,0.5,0.1,10.8,SF,TE,13,2021
Mark Andrews,5.2,64.6,0.5,0.0,9.6,BAL,TE,13,2021
Rob Gronkowski,4.3,52.2,0.6,0.0,8.6,TB,TE,13,2021
Kyle Pitts,5.0,61.8,0.4,0.0,8.6,ATL,TE,13,2021
Dallas Goedert,4.4,50.8,0.5,0.0,8.0,PHI,TE,13,2021
T.J. Hockenson,4.9,53.4,0.4,0.0,8.0,DET,TE,13,2021
Dalton Schultz,4.1,45.4,0.4,0.0,7.1,DAL,TE,13,2021
Mike Gesicki,4.2,46.1,0.4,0.0,7.0,MIA,TE,13,2021
Zach Ertz,3.9,41.5,0.5,0.0,6.8,ARI,TE,13,2021
Logan Thomas,4.1,41.3,0.4,0.0,6.8,WAS,TE,13,2021
Dawson Knox,3.5,41.6,0.4,0.0,6.7,BUF,TE,13,2021
Noah Fant,4.3,44.5,0.4,0.0,6.7,DEN,TE,13,2021
Pat Freiermuth,3.9,41.0,0.4,0.0,6.6,PIT,TE,13,2021
Foster Moreau,3.2,36.5,0.5,0.0,6.4,LV,TE,13,2021
Tyler Higbee,3.8,38.8,0.3,0.0,5.4,LAR,TE,13,2021
Tyler Conklin,3.6,36.8,0.2,0.0,5.0,MIN,TE,13,2021
Cole Kmet,3.9,39.4,0.2,0.0,4.9,CHI,TE,13,2021
Jared Cook,2.8,34.1,0.2,0.0,4.7,LAC,TE,13,2021
Evan Engram,4.1,38.1,0.2,0.0,4.7,NYG,TE,13,2021
Hunter Henry,3.2,33.4,0.2,0.0,4.3,NE,TE,13,2021
C.J. Uzomah,2.7,28.2,0.2,0.0,4.1,CIN,TE,13,2021
Jack Doyle,2.6,27.4,0.2,0.0,3.9,IND,TE,13,2021
James O'Shaughnessy,2.9,30.6,0.1,0.0,3.6,JAC,TE,13,2021
Jordan Akins,3.0,29.0,0.1,0.2,3.1,HOU,TE,13,2021
Albert Okwuegbunam,2.3,23.2,0.1,0.0,3.0,DEN,TE,13,2021
Jonnu Smith,2.2,22.9,0.1,0.0,3.0,NE,TE,13,2021
Brevin Jordan,2.1,21.4,0.1,0.0,2.9,HOU,TE,13,2021
Ryan Griffin,1.9,19.2,0.1,0.0,2.6,NYJ,TE,13,2021
Durham Smythe,2.1,21.1,0.1,0.0,2.5,MIA,TE,13,2021
Pharaoh Brown,1.9,19.8,0.1,0.0,2.5,HOU,TE,13,2021
Cameron Brate,1.7,16.8,0.1,0.0,2.4,TB,TE,13,2021
Donald Parham Jr.,1.4,15.8,0.1,0.0,2.4,LAC,TE,13,2021
Hayden Hurst,2.0,18.2,0.1,0.1,2.4,ATL,TE,13,2021
Mo Alie-Cox,1.4,16.6,0.1,0.0,2.3,IND,TE,13,2021
Nick Vannett,1.8,17.9,0.1,0.0,2.3,NO,TE,13,2021
Ricky Seals-Jones,1.4,15.3,0.1,0.0,2.3,WAS,TE,13,2021
Daniel Helm,1.4,15.7,0.1,0.0,2.2,ATL,TE,13,2021
John Bates,1.7,18.3,0.1,0.0,2.2,WAS,TE,13,2021
Will Dissly,1.3,14.4,0.1,0.0,2.1,SEA,TE,13,2021
Tyler Kroft,1.3,14.0,0.1,0.0,2.0,NYJ,TE,13,2021
Brock Wright,1.3,13.1,0.1,0.0,1.9,DET,TE,13,2021
Juwan Johnson,1.3,14.2,0.1,0.0,1.9,NO,TE,13,2021
Jimmy Graham,1.2,14.3,0.1,0.0,1.9,CHI,TE,13,2021
Kyle Rudolph,1.4,13.5,0.1,0.0,1.8,NYG,TE,13,2021
Parker Hesse,1.2,12.3,0.1,0.0,1.7,ATL,TE,13,2021
O.J. Howard,1.1,12.7,0.1,0.0,1.7,TB,TE,13,2021
Chris Manhertz,1.0,10.9,0.1,0.0,1.6,JAC,TE,13,2021
Richard Rodgers,0.8,8.9,0.1,0.0,1.4,PHI,TE,13,2021
Nick Boyle,0.8,7.7,0.1,0.0,1.4,BAL,TE,13,2021
Luke Farrell,1.1,10.0,0.1,0.0,1.3,JAC,TE,13,2021
David Wells,0.7,6.5,0.1,0.0,1.3,ARI,TE,13,2021
Sean McKeon,0.8,8.5,0.1,0.0,1.2,DAL,TE,13,2021
Stephen Anderson,0.7,7.7,0.1,0.0,1.2,LAC,TE,13,2021
Chris Herndon IV,0.7,7.0,0.1,0.0,1.2,MIN,TE,13,2021
Jacob Hollister,0.7,5.2,0.1,0.0,1.1,JAC,TE,13,2021
Kylen Granson,0.7,8.0,0.1,0.0,1.1,IND,TE,13,2021
Jesse James,0.8,7.6,0.1,0.0,1.1,CHI,TE,13,2021
Tommy Sweeney,0.8,9.5,0.0,0.0,1.1,BUF,TE,13,2021
Zach Gentry,0.8,8.4,0.0,0.0,1.1,PIT,TE,13,2021
Garrett Griffin,0.7,6.8,0.1,0.0,1.0,NO,TE,13,2021
Noah Gray,0.6,5.9,0.1,0.0,0.9,KC,TE,13,2021
Tre' McKitty,0.6,6.0,0.1,0.0,0.9,LAC,TE,13,2021
Blake Bell,0.6,5.5,0.1,0.0,0.8,KC,TE,13,2021
Ross Dwelley,0.4,5.3,0.1,0.0,0.8,SF,TE,13,2021
Eric Saubert,0.6,5.3,0.1,0.0,0.8,DEN,TE,13,2021
Antony Auclair,0.6,5.2,0.1,0.0,0.8,HOU,TE,13,2021
Hunter Long,0.6,6.5,0.0,0.0,0.8,MIA,TE,13,2021
Brycen Hopkins,0.5,4.7,0.1,0.0,0.8,LAR,TE,13,2021
Chris Myarick,0.8,7.0,0.0,0.0,0.7,NYG,TE,13,2021
Drew Sample,0.8,6.0,0.0,0.0,0.7,CIN,TE,13,2021
Andrew Beck,0.3,3.5,0.1,0.0,0.6,DEN,TE,13,2021
Colby Parkinson,0.5,5.0,0.0,0.0,0.6,SEA,TE,13,2021
Jesper Horsted,0.4,3.4,0.1,0.0,0.6,CHI,TE,13,2021
