rank,player,rushing_att,rushing_yds,rushing_avg,rushing_lng,rushing_20p,rushing_td,receiving_rec,receiving_tgt,receiving_yds,receiving_avg,receiving_td,lst,games,fantasy_points,fantasy_points_per_game,rost,position,week,year,team
1.0,LeSean McCoy,7.0,35.0,5.0,12.0,0.0,1.0,5.0,5.0,47.0,9.4,0.0,0.0,1.0,14.2,14.2,2.0,RB,1,2010,PHI
2.0,Adrian Peterson,19.0,87.0,4.6,14.0,0.0,0.0,3.0,3.0,14.0,4.7,0.0,0.0,1.0,10.1,10.1,4.9,RB,1,2010,MIN
3.0,Frank Gore,17.0,38.0,2.2,10.0,0.0,0.0,6.0,7.0,45.0,7.5,0.0,0.0,1.0,8.3,8.3,12.2,RB,1,2010,SF
163.0,Isaac Redman,6.0,19.0,3.2,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,RB,1,2010,PIT
164.0,Chris Gronkowski,1.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,RB,1,2010,DAL
165.0,Spencer Larsen,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,RB,1,2010,DEN
176.0,Jacob Hester,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,6.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,RB,1,2010,LAC
178.0,Heath Evans,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,RB,1,2010,NO
179.0,Greg Jones,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,-1.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,RB,1,2010,JAC
180.0,Fred Jackson,4.0,19.0,4.8,9.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,RB,1,2010,BUF
181.0,Felix Jones,8.0,38.0,4.8,11.0,0.0,0.0,2.0,2.0,26.0,13.0,0.0,0.0,1.0,0.0,0.0,0.0,RB,1,2010,DAL
182.0,Donald Brown,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,7.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,RB,1,2010,IND
183.0,Jamaal Charles,11.0,92.0,8.4,56.0,0.0,1.0,1.0,1.0,8.0,8.0,0.0,0.0,1.0,0.0,0.0,0.1,RB,1,2010,KC
185.0,Justin Forsett,7.0,43.0,6.1,32.0,0.0,0.0,3.0,3.0,17.0,5.7,0.0,0.0,1.0,0.0,0.0,0.0,RB,1,2010,SEA
186.0,Jason Snelling,2.0,4.0,2.0,3.0,0.0,0.0,1.0,1.0,4.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,RB,1,2010,ATL
187.0,Jonathan Stewart,5.0,12.0,2.4,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,RB,1,2010,CAR
188.0,John Kuhn,2.0,15.0,7.5,12.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,RB,1,2010,GB
189.0,Jerome Harrison,9.0,52.0,5.8,39.0,0.0,0.0,1.0,1.0,7.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,RB,1,2010,CLE
190.0,Jerome Felton,2.0,7.0,3.5,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,RB,1,2010,DET
191.0,DeAngelo Williams,16.0,62.0,3.9,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1,RB,1,2010,CAR
192.0,Knowshon Moreno,15.0,60.0,4.0,17.0,0.0,1.0,1.0,2.0,4.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,RB,1,2010,DEN
193.0,Brandon Jacobs,12.0,44.0,3.7,22.0,0.0,0.0,2.0,2.0,21.0,10.5,0.0,0.0,1.0,0.0,0.0,0.0,RB,1,2010,NYG
194.0,Brandon Jackson,18.0,63.0,3.5,18.0,0.0,0.0,2.0,2.0,12.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,RB,1,2010,GB
195.0,Bernard Scott,6.0,35.0,5.8,9.0,0.0,0.0,3.0,4.0,15.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,RB,1,2010,CIN
196.0,BenJarvus Green-Ellis,5.0,22.0,4.4,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,RB,1,2010,NE
197.0,Arian Foster,33.0,231.0,7.0,42.0,0.0,3.0,1.0,1.0,7.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,RB,1,2010,HOU
199.0,Ahmad Bradshaw,20.0,76.0,3.8,39.0,0.0,1.0,2.0,4.0,17.0,8.5,0.0,1.0,1.0,0.0,0.0,0.0,RB,1,2010,NYG
200.0,Darren Sproles,4.0,0.0,0.0,2.0,0.0,0.0,2.0,3.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.1,RB,1,2010,LAC
201.0,Darren McFadden,18.0,95.0,5.3,13.0,0.0,0.0,6.0,9.0,55.0,9.2,1.0,0.0,1.0,0.0,0.0,7.0,RB,1,2010,LV
205.0,Cedric Benson,15.0,43.0,2.9,10.0,0.0,1.0,1.0,2.0,11.0,11.0,0.0,1.0,1.0,0.0,0.0,0.0,RB,1,2010,CIN
207.0,Chris Johnson,27.0,142.0,5.3,76.0,0.0,2.0,4.0,4.0,8.0,2.0,0.0,0.0,1.0,0.0,0.0,0.6,RB,1,2010,TEN
