,Player,Pos,Team,Games,Snaps,Snaps/Gm,Snap %,Rush %,Tgt %,Touch %,Util %,Fantasy Pts,Pts/100 Snaps
0,Aaron Rodgers,QB,GB,1,70,70,100,6,0,66,66,24.8,35.4
1,Adrian Peterson,RB,NO,1,14,14,24,64,14,79,79,3.7,26.4
2,Alex Smith,QB,KC,1,53,53,100,4,0,43,43,15.1,28.5
3,Ben Roethlisberger,QB,PIT,1,64,64,100,2,0,63,63,12.0,18.8
4,Benjamin Watson,TE,BAL,1,40,40,69,0,8,8,8,7.2,18.0
5,Brian Hoyer,QB,SF,1,79,79,100,1,0,48,48,26.2,33.2
6,Chad Henne,QB,JAC,1,9,9,12,33,0,56,56,-0.3,-3.3
7,Danny Amendola,WR,NE,1,31,31,48,0,16,10,16,4.8,15.5
8,Darren Sproles,RB,PHI,1,5,5,7,60,0,60,60,1.1,22.0
9,DeSean Jackson,WR,TB,1,43,43,81,0,16,9,16,14.4,33.5
10,Drew Brees,QB,NO,1,58,58,100,0,0,50,50,20.8,35.9
11,Eli Manning,QB,NYG,1,70,70,100,0,0,67,67,22.6,32.3
12,Frank Gore,RB,IND,1,41,41,62,61,2,63,63,11.7,28.5
13,Jared Cook,TE,OAK,1,41,41,80,0,15,10,15,10.3,25.1
14,Jason Witten,TE,DAL,1,47,47,100,0,9,2,9,0.3,0.6
15,Joe Flacco,QB,BAL,1,35,35,60,0,0,51,51,-2.9,-8.3
16,Josh McCown,QB,NYJ,1,63,63,100,6,0,43,43,14.7,23.3
17,Larry Fitzgerald,WR,ARI,1,77,77,94,0,19,17,19,20.9,27.1
18,LeSean McCoy,RB,BUF,1,43,43,66,33,16,49,49,6.9,16.0
19,Marcedes Lewis,TE,JAC,1,39,39,53,0,13,10,13,24.2,62.1
20,Marshawn Lynch,RB,OAK,1,16,16,31,38,6,44,44,2.6,16.3
21,Matt Ryan,QB,ATL,1,68,68,100,1,0,53,53,13.7,20.1
22,Matthew Stafford,QB,DET,1,70,70,100,3,0,67,67,16.5,23.6
23,Michael Crabtree,WR,OAK,1,31,31,61,0,10,3,10,0.7,2.3
24,Philip Rivers,QB,LAC,1,73,73,100,0,0,55,55,3.5,4.8
