,Player,Pos,Team,Games,Snaps,Snaps/Gm,Snap %,Rush %,Tgt %,Touch %,Util %,Fantasy Pts,Pts/100 Snaps
0,Aaron Rodgers,QB,GB,1,82,82,100,9,0,60,60,16.5,20.1
1,Adrian Peterson,RB,NO,1,9,9,15,67,11,67,78,1.8,20.0
2,Alex Smith,QB,KC,1,68,68,100,7,0,59,59,31.0,45.6
3,Ben Roethlisberger,QB,PIT,1,60,60,100,5,0,65,65,15.7,26.2
4,Benjamin Watson,TE,BAL,1,40,40,61,0,3,0,3,0.0,0.0
5,Brian Hoyer,QB,SF,1,57,57,100,2,0,63,63,3.2,5.6
6,Danny Amendola,WR,NE,1,32,32,40,0,22,19,22,10.0,31.3
7,Darren Sproles,RB,PHI,1,34,34,49,6,24,21,29,4.5,13.2
8,Drew Brees,QB,NO,1,62,62,100,0,0,60,60,15.6,25.2
9,Eli Manning,QB,NYG,1,57,57,100,2,0,68,68,6.7,11.8
10,Frank Gore,RB,IND,1,19,19,38,53,5,58,58,5.2,27.4
11,Greg Olsen,TE,CAR,1,67,67,100,0,6,3,6,1.8,2.7
12,Jared Cook,TE,OAK,1,47,47,71,0,11,11,11,5.6,11.9
13,Jason Witten,TE,DAL,1,74,74,100,0,12,9,12,11.9,16.1
14,Joe Flacco,QB,BAL,1,66,66,100,0,0,26,26,6.8,10.3
15,Josh McCown,QB,NYJ,1,58,58,100,3,0,71,71,9.5,16.4
16,Larry Fitzgerald,WR,ARI,1,74,74,99,0,18,8,18,7.4,10.0
17,LeSean McCoy,RB,BUF,1,54,54,70,41,11,50,52,15.9,29.4
18,Marcedes Lewis,TE,JAC,1,64,64,100,0,3,0,3,0.0,0.0
19,Marshawn Lynch,RB,OAK,1,31,31,47,58,6,61,65,9.2,29.7
20,Matt Ryan,QB,ATL,1,59,59,100,5,0,56,56,17.9,30.3
21,Matthew Stafford,QB,DET,1,71,71,99,3,0,61,61,27.1,38.2
22,Michael Crabtree,WR,OAK,1,48,48,73,0,15,13,15,8.3,17.3
23,Philip Rivers,QB,LAC,1,58,58,100,0,0,57,57,17.7,30.5
24,Ted Ginn Jr.,WR,NO,1,42,42,68,2,12,12,14,5.8,13.8
25,Tom Brady,QB,NE,1,81,81,100,2,0,47,47,10.7,13.2
26,Vernon Davis,TE,WAS,1,27,27,43,0,4,0,4,0.0,0.0
27,Dez Bryant,WR,DAL,1,67,67,91,0,13,3,13,4.3,6.4
28,Golden Tate,WR,DET,1,63,63,88,3,19,19,22,11.4,18.1
29,Andre Roberts,WR,ATL,1,2,2,3,0,0,0,0,0.0,0.0
