,Rank,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
0,1,Ed Dickson(FA),5,5,175,35.0,64,3,0,0,0,0,0,1,17.5,17.5,0.0%
1,2,Darren Fells(FA),2,2,24,12.0,20,1,2,0,0,0,0,1,14.4,14.4,0.0%
2,3,George Kittle(SF),7,9,83,11.9,27,1,1,0,0,0,0,1,14.3,14.3,99.7%
3,4,Cameron Brate(TB),5,9,68,13.6,18,0,1,0,0,0,0,1,12.8,12.8,2.8%
4,5,Zach Ertz(ARI),6,12,61,10.2,14,0,1,0,0,0,0,1,12.1,12.1,85.8%
5,6,David Njoku(CLE),3,3,48,16.0,21,1,1,1,1,0,0,1,10.9,10.9,12.9%
6,7,Kyle Rudolph(NYG),6,9,45,7.5,13,0,1,0,0,0,0,1,10.5,10.5,0.3%
7,8,Hunter Henry(NE),3,8,42,14.0,25,1,1,0,0,0,0,1,10.2,10.2,65.9%
8,9,Zach Miller(FA),3,7,39,13.0,20,1,1,0,0,0,0,1,9.9,9.9,0.0%
9,10,Tyler Higbee(LAR),4,8,98,24.5,35,3,0,0,0,0,0,1,9.8,9.8,77.4%
10,11,Travis Kelce(KC),8,11,98,12.3,26,2,0,0,0,0,0,1,9.8,9.8,100.0%
11,12,Jimmy Graham(CHI),6,8,37,6.2,9,0,1,0,0,0,0,1,9.7,9.7,0.8%
12,13,Austin Seferian-Jenkins(FA),6,8,29,4.8,9,0,1,0,0,0,0,1,8.9,8.9,0.0%
13,14,Trey Burton(FA),2,2,16,8.0,15,0,1,0,0,0,0,1,7.6,7.6,0.0%
14,15,Phillip Supernaw(FA),2,2,16,8.0,11,0,1,0,0,0,0,1,7.6,7.6,0.0%
15,16,Stephen Anderson(LAC),2,2,63,31.5,42,2,0,0,0,0,0,1,6.3,6.3,0.2%
16,17,Nick O'Leary(FA),5,6,54,10.8,19,0,0,0,0,0,0,1,5.4,5.4,0.0%
17,18,Martellus Bennett(FA),3,3,53,17.7,33,1,0,0,0,0,0,1,5.3,5.3,23.0%
18,19,Jason Witten(FA),8,10,61,7.6,14,0,0,0,0,0,1,1,4.1,4.1,0.1%
19,20,Tyler Kroft(NYJ),4,5,38,9.5,15,0,0,0,0,0,0,1,3.8,3.8,0.2%
20,21,Eric Tomlinson(BAL),1,1,34,34.0,34,1,0,0,0,0,0,1,3.4,3.4,0.0%
21,22,Charles Clay(FA),2,3,31,15.5,24,1,0,0,0,0,0,1,3.1,3.1,0.0%
22,23,Ross Travis(FA),2,2,26,13.0,18,0,0,0,0,0,0,1,2.6,2.6,0.0%
23,24,Delanie Walker(FA),3,5,25,8.3,12,0,0,0,0,0,0,1,2.5,2.5,0.1%
24,25,Lance Kendricks(FA),1,1,24,24.0,24,1,0,0,0,0,0,1,2.4,2.4,0.0%
25,26,Jesse James(CHI),3,5,24,8.0,15,0,0,0,0,0,0,1,2.4,2.4,0.0%
26,27,Seth DeValve(FA),3,4,24,8.0,17,0,0,0,0,0,0,1,2.4,2.4,0.0%
27,28,Antonio Gates(FA),2,3,23,11.5,12,0,0,0,0,0,0,1,2.3,2.3,0.2%
28,29,Ryan Griffin(NYJ),2,4,22,11.0,13,0,0,0,0,0,0,1,2.2,2.2,0.6%
29,30,C.J. Uzomah(CIN),1,2,21,21.0,21,1,0,0,0,0,0,1,2.1,2.1,20.8%
30,31,Demetrius Harris(ARI),3,3,21,7.0,11,0,0,0,0,0,0,1,2.1,2.1,0.1%
31,32,Jonnu Smith(NE),5,5,21,4.2,9,0,0,0,0,0,0,1,2.1,2.1,22.7%
32,33,Brandon Williams(FA),3,3,17,5.7,6,0,0,0,0,0,0,1,1.7,1.7,0.0%
33,34,Dion Sims(FA),1,4,17,17.0,17,0,0,0,0,0,0,1,1.7,1.7,0.0%
34,35,Jermaine Gresham(FA),2,2,16,8.0,14,0,0,0,0,0,0,1,1.6,1.6,0.0%
35,36,Richard Rodgers(PHI),1,1,16,16.0,16,0,0,0,0,0,0,1,1.6,1.6,0.0%
36,37,Julius Thomas(FA),1,4,15,15.0,15,0,0,0,0,0,0,1,1.5,1.5,0.0%
37,38,Marcedes Lewis(GB),1,2,14,14.0,14,0,0,0,0,0,0,1,1.4,1.4,0.2%
38,39,Darrell Daniels(ARI),1,4,13,13.0,13,0,0,0,0,0,0,1,1.3,1.3,0.0%
39,40,Jerell Adams(FA),1,1,11,11.0,11,0,0,0,0,0,0,1,1.1,1.1,0.0%
40,41,Rhett Ellison(FA),1,2,9,9.0,9,0,0,0,0,0,0,1,0.9,0.9,0.0%
