,Rank,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
56,57,Kasen Williams(FA),4,5,33,8.3,12,0,0,0,0,0,0,1,3.3,3.3,0.0%
57,58,Tyler Lockett(SEA),3,4,26,8.7,12,0,0,1,7,0,0,1,3.3,3.3,97.5%
58,59,Donte Moncrief(FA),3,3,32,10.7,15,0,0,0,0,0,0,1,3.2,3.2,0.0%
59,60,Brandon LaFell(FA),5,8,32,6.4,16,0,0,0,0,0,0,1,3.2,3.2,0.0%
60,61,Travis Benjamin(SF),2,3,18,9.0,12,0,0,1,14,0,0,1,3.2,3.2,0.0%
61,62,Alshon Jeffery(FA),3,4,31,10.3,16,0,0,0,0,0,0,1,3.1,3.1,0.1%
62,63,Rishard Matthews(FA),3,6,34,11.3,17,0,0,1,-3,0,0,1,3.1,3.1,0.0%
63,64,Bruce Ellington(FA),2,3,30,15.0,22,1,0,0,0,0,0,1,3.0,3.0,0.0%
64,65,Randall Cobb(GB),4,5,29,7.3,13,0,0,0,0,0,0,1,2.9,2.9,7.6%
65,66,Bryce Treggs(FA),2,6,28,14.0,19,0,0,0,0,0,0,1,2.8,2.8,0.0%
66,67,Pharoh Cooper(FA),2,4,22,11.0,19,0,0,0,0,0,0,1,2.2,2.2,0.1%
67,68,Kamar Aiken(FA),2,7,22,11.0,13,0,0,0,0,0,0,1,2.2,2.2,0.0%
68,69,Tyrell Williams(FA),1,2,22,22.0,22,1,0,0,0,0,0,1,2.2,2.2,4.8%
69,70,Allen Hurns(MIA),2,3,21,10.5,18,0,0,0,0,0,0,1,2.1,2.1,0.0%
70,71,Michael Floyd(FA),1,1,19,19.0,19,0,0,0,0,0,0,1,1.9,1.9,0.0%
71,72,Chris Thompson(FA),1,1,19,19.0,19,0,0,0,0,0,0,1,1.9,1.9,0.0%
72,73,Tre McBride III(FA),1,1,18,18.0,18,0,0,0,0,0,0,1,1.8,1.8,0.0%
73,74,Albert Wilson(MIA),2,3,18,9.0,12,0,0,0,0,0,0,1,1.8,1.8,0.8%
74,75,Demarcus Robinson(KC),1,1,16,16.0,16,0,0,0,0,0,0,1,1.6,1.6,0.8%
75,76,Robby Anderson(CAR),2,5,16,8.0,10,0,0,0,0,0,0,1,1.6,1.6,42.2%
76,77,Russell Shepard(FA),2,2,15,7.5,10,0,0,0,0,0,0,1,1.5,1.5,0.0%
77,78,Brandon Marshall(FA),2,3,15,7.5,12,0,0,0,0,0,0,1,1.5,1.5,2.6%
78,79,Breshad Perriman(TB),2,3,15,7.5,13,0,0,0,0,0,0,1,1.5,1.5,2.5%
79,80,Terrance Williams(FA),2,3,14,7.0,10,0,0,0,0,0,0,1,1.4,1.4,0.0%
80,81,Kenny Stills(NO),1,2,13,13.0,13,0,0,0,0,0,0,1,1.3,1.3,0.1%
81,82,ArDarius Stewart(FA),0,0,0,0,0,0,0,2,12,0,0,1,1.2,1.2,0.0%
82,83,TJ Jones(FA),2,4,12,6.0,8,0,0,0,0,0,0,1,1.2,1.2,0.0%
83,84,Zay Jones(LV),1,6,9,9.0,9,0,0,0,0,0,0,1,0.9,0.9,6.0%
84,85,Sterling Shepard(NYG),1,2,9,9.0,9,0,0,0,0,0,0,1,0.9,0.9,23.7%
85,86,Chris Godwin(TB),1,2,8,8.0,8,0,0,0,0,0,0,1,0.8,0.8,67.1%
86,87,Amari Cooper(DAL),1,2,8,8.0,8,0,0,0,0,0,0,1,0.8,0.8,97.7%
87,88,Michael Campanaro(FA),1,1,8,8.0,8,0,0,0,0,0,0,1,0.8,0.8,0.0%
88,89,Rashard Higgins(CLE),2,4,7,3.5,5,0,0,0,0,0,0,1,0.7,0.7,0.7%
89,90,DeVante Parker(MIA),1,1,6,6.0,6,0,0,0,0,0,0,1,0.6,0.6,64.3%
90,91,Justin Hunter(FA),1,3,6,6.0,6,0,0,0,0,0,0,1,0.6,0.6,0.0%
91,92,Tyler Boyd(CIN),2,2,6,3.0,5,0,0,0,0,0,0,1,0.6,0.6,71.3%
92,93,Marcus Johnson(TEN),1,1,6,6.0,6,0,0,0,0,0,0,1,0.6,0.6,0.6%
93,94,Trent Taylor(CIN),1,2,6,6.0,6,0,0,0,0,0,0,1,0.6,0.6,0.0%
94,95,Alex Erickson(CAR),1,1,12,12.0,12,0,0,1,-6,0,0,1,0.6,0.6,0.0%
95,96,Aldrick Robinson(FA),1,1,5,5.0,5,0,0,0,0,0,0,1,0.5,0.5,0.0%
96,97,Taywan Taylor(FA),0,1,0,0,0,0,0,1,5,0,0,1,0.5,0.5,0.0%
97,98,Max McCaffrey(FA),1,1,4,4.0,4,0,0,0,0,0,0,1,0.4,0.4,0.0%
98,99,Stefon Diggs(BUF),1,4,4,4.0,4,0,0,0,0,0,0,1,0.4,0.4,100.0%
99,100,Keelan Cole Sr.(NYJ),1,1,4,4.0,4,0,0,0,0,0,0,1,0.4,0.4,1.0%
100,101,Markus Wheaton(FA),1,4,9,9.0,9,0,0,0,0,0,0,1,0.4,0.4,0.0%
101,102,Nico Collins(HOU),0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8%
102,103,Tee Higgins(CIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.2%
103,104,Gunner Olszewski(NE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
104,105,Laviska Shenault Jr.(JAC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.3%
105,106,Jalen Reagor(PHI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.3%
106,107,Shi Smith(CAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
107,108,CeeDee Lamb(DAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.7%
108,109,Jerry Jeudy(DEN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.4%
109,110,DeVonta Smith(PHI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.6%
110,111,Antonio Gandy-Golden(WAS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
111,112,Kadarius Toney(NYG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.6%
112,113,Dazz Newsome(CHI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
113,114,Gabriel Davis(BUF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.3%
114,115,Quintez Cephus(DET),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8%
115,116,Isaiah Hodgins(BUF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
116,117,James Proche II(BAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
117,118,Denzel Mims(NYJ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7%
118,119,Justin Jefferson(MIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.9%
119,120,John Hightower(PHI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
120,121,Aaron Fuller(SEA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
121,122,Donovan Peoples-Jones(CLE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.3%
122,123,Michael Pittman Jr.(IND),0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.6%
123,124,Devin Duvernay(BAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4%
124,125,Anthony Schwartz(CLE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3%
125,126,KJ Hamler(DEN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8%
126,127,Tutu Atwell(LAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2%
127,128,Brandon Aiyuk(SF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.8%
128,129,Rysen John(NYG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
129,130,Nsimba Webster(CHI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
130,131,Steven Sims Jr.(PIT),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
131,132,Jalen Guyton(LAC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.1%
132,133,Jason Moore Jr.(LAC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
133,134,Alex Bachman(NYG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
134,135,Malik Henry(NO),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
135,136,Deonte Harty(NO),0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.7%
136,137,Seth Williams(DEN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
137,138,Amari Rodgers(GB),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4%
138,139,Marquez Stevenson(BUF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
139,140,Tom Kennedy(DET),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
140,141,Thomas Ives(CHI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
141,142,D.J. Montgomery(NYJ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
142,143,Kalija Lipscomb(TEN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
