Rank,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
1,Travis Kelce(KC),8,12,108,13.5,32,0,1,0,0,0,0,1,16.8,16.8,100.0%
2,Jonnu Smith(NE),5,7,40,8.0,14,0,2,0,0,0,0,1,16.0,16.0,22.7%
3,Darren Fells(FA),2,2,57,28.5,44,0,1,0,0,0,0,1,11.7,11.7,0.0%
4,Mark Andrews(BAL),6,9,56,9.3,14,0,1,0,0,0,0,1,11.6,11.6,99.9%
5,Jared Cook(LAC),2,3,52,26.0,41,0,1,0,0,0,0,1,11.2,11.2,50.2%
6,Darren Waller(LV),5,7,48,9.6,23,0,1,0,0,0,0,1,10.8,10.8,92.6%
7,Jimmy Graham(CHI),3,5,33,11.0,13,0,1,0,0,0,0,1,9.3,9.3,0.8%
8,Mike Gesicki(MIA),5,6,91,18.2,70,0,0,0,0,0,0,1,9.1,9.1,87.6%
9,Gerald Everett(FA),4,4,90,22.5,40,0,0,0,0,0,0,1,9.0,9.0,35.7%
10,Evan Engram(NYG),1,2,16,16.0,16,0,0,2,9,1,0,1,8.5,8.5,28.5%
11,Hunter Henry(NE),4,8,23,5.8,8,0,1,0,0,0,0,1,8.3,8.3,65.9%
12,Will Dissly(SEA),1,1,19,19.0,19,0,1,0,0,0,0,1,7.9,7.9,0.2%
13,Irv Smith Jr.(MIN),4,5,64,16.0,25,0,0,0,0,0,0,1,6.4,6.4,7.3%
14,Adam Shaheen(MIA),1,1,3,3.0,3,0,1,0,0,0,0,1,6.3,6.3,0.0%
15,Austin Hooper(CLE),5,10,57,11.4,18,0,0,0,0,0,0,1,5.7,5.7,28.8%
16,Rob Gronkowski(TB),3,6,52,17.3,23,0,0,0,0,0,0,1,5.2,5.2,97.7%
17,Cameron Brate(TB),5,6,44,8.8,20,0,0,0,0,0,0,1,4.4,4.4,2.8%
18,George Kittle(SF),4,8,44,11.0,12,0,0,0,0,0,0,1,4.4,4.4,99.7%
