rank,player,receiving_rec,receiving_tgt,receiving_yds,receiving_avg,receiving_long,receiving_20p,receiving_td,rushing_att,rushing_yds,rushing_td,lst,games,fantasy_points,fantasy_points_per_game,rost,team,position,week,year
1,Darren Waller,13,17,200,15.4,38,0,2,0,0,0,0,1,32.0,32.0,92.6,LVR,TE,13,2020
2,Travis Kelce,8,12,136,17.0,28,0,1,0,0,0,0,1,19.6,19.6,100.0,KC,TE,13,2020
3,Dan Arnold,2,3,61,30.5,59,0,2,0,0,0,0,1,18.1,18.1,6.7,ARI,TE,13,2020
4,Logan Thomas,9,9,98,10.9,30,0,1,0,0,0,0,1,15.8,15.8,27.1,WAS,TE,13,2020
5,Mike Gesicki,9,11,88,9.8,20,0,1,0,0,0,0,1,14.8,14.8,87.6,MIA,TE,13,2020
6,Robert Tonyan,4,5,39,9.8,25,0,1,0,0,0,0,1,9.9,9.9,18.6,GB,TE,13,2020
7,Cole Kmet,5,7,37,7.4,13,0,1,0,0,0,0,1,9.7,9.7,33.3,CHI,TE,13,2020
8,Jordan Reed,3,4,32,10.7,17,0,1,0,0,0,0,1,9.2,9.2,19.0,SF,TE,13,2020
9,Jared Cook,3,5,28,9.3,11,0,1,0,0,0,0,1,8.8,8.8,50.2,NO,TE,13,2020
10,Dawson Knox,4,4,27,6.8,12,0,1,0,0,0,0,1,8.7,8.7,87.2,BUF,TE,13,2020
11,T.J. Hockenson,7,9,84,12.0,24,0,0,0,0,0,0,1,8.4,8.4,57.4,DET,TE,13,2020
12,Tyler Higbee,4,6,24,6.0,16,0,1,0,0,0,0,1,8.4,8.4,77.4,LAR,TE,13,2020
13,MyCole Pruitt,1,2,22,22.0,22,0,1,0,0,0,0,1,8.2,8.2,0.0,TEN,TE,13,2020
14,Jesse James,1,3,9,9.0,9,0,1,0,0,0,0,1,6.9,6.9,0.0,DET,TE,13,2020
15,Eric Ebron,7,11,68,9.7,22,0,0,0,0,0,0,1,6.8,6.8,3.0,PIT,TE,13,2020
16,Dallas Goedert,5,7,66,13.2,41,0,0,0,0,0,0,1,6.6,6.6,89.8,PHI,TE,13,2020
17,Noah Fant,4,7,57,14.3,37,0,0,0,0,0,0,1,5.7,5.7,80.3,DEN,TE,13,2020
18,Anthony Firkser,5,7,51,10.2,14,0,0,0,0,0,0,1,5.1,5.1,3.7,TEN,TE,13,2020
19,Drew Sample,7,7,49,7.0,15,0,0,0,0,0,0,1,4.9,4.9,0.1,CIN,TE,13,2020
20,Tyler Eifert,6,6,45,7.5,13,0,0,0,0,0,0,1,4.5,4.5,0.0,JAC,TE,13,2020
21,Gerald Everett,6,7,44,7.3,22,0,0,0,0,0,0,1,4.4,4.4,35.7,LAR,TE,13,2020
22,Dalton Schultz,4,4,44,11.0,19,0,0,0,0,0,0,1,4.4,4.4,89.9,DAL,TE,13,2020
23,James O'Shaughnessy,4,6,41,10.3,24,0,0,0,0,0,0,1,4.1,4.1,1.7,JAC,TE,13,2020
24,Marcedes Lewis,1,1,36,36.0,36,0,0,0,0,0,0,1,3.6,3.6,0.2,GB,TE,13,2020
