Player,Pos,Team,Games,Snaps,Snaps/Gm,Snap %,Rush %,Tgt %,Touch %,Util %,Fantasy Pts,Pts/100 Snaps
Aaron Rodgers,QB,GB,16,"1,011",63,94,4,0,63,63,312.5,30.9
Adrian Peterson,RB,WAS,16,479,30,47,52,5,57,58,169.0,35.3
Alex Smith,QB,WAS,10,651,65,96,6,0,57,57,137.9,21.2
Ben Roethlisberger,QB,PIT,16,"1,085",68,97,3,0,65,65,341.0,31.4
Benjamin Watson,TE,NO,16,507,32,48,0,9,7,9,52.0,10.3
Brian Hoyer,QB,NE,5,27,5,7,41,0,48,48,-0.5,-1.9
Chad Henne,QB,KC,1,13,13,24,8,0,31,31,1.5,11.5
Chase Daniel,QB,CHI,5,148,30,44,9,1,61,61,29.7,20.1
Danny Amendola,WR,MIA,15,683,46,79,0,12,9,12,68.4,10.0
Darren Sproles,RB,PHI,6,149,25,36,19,15,30,35,46.0,30.9
DeSean Jackson,WR,TB,12,452,38,52,1,16,10,18,110.3,24.4
Drew Brees,QB,NO,15,979,65,97,3,0,53,53,303.8,31.0
Eli Manning,QB,NYG,16,"1,010",63,97,1,0,59,59,240.0,23.8
Frank Gore,RB,MIA,14,330,24,40,47,5,51,52,90.6,27.5
Greg Olsen,TE,CAR,9,429,48,77,0,9,6,9,53.1,12.4
Jared Cook,TE,OAK,16,767,48,73,0,13,9,13,125.6,16.4
Joe Flacco,QB,BAL,9,641,71,95,3,0,62,62,137.0,21.4
Josh Johnson,QB,WAS,4,205,51,86,11,0,56,56,49.5,24.1
Josh McCown,QB,NYJ,4,191,48,79,3,0,60,60,20.7,10.8
Julian Edelman,WR,NE,12,748,62,87,1,14,11,16,133.4,17.8
Larry Fitzgerald,WR,ARI,16,871,54,91,0,13,8,13,116.7,13.4
LeSean McCoy,RB,BUF,14,490,35,53,33,9,40,42,93.2,19.0
Marcedes Lewis,TE,GB,16,190,12,18,0,2,2,2,3.9,2.1
Marshawn Lynch,RB,OAK,6,209,35,50,43,10,50,53,64.0,30.6
Matt Ryan,QB,ATL,16,"1,048",66,98,3,0,61,61,354.0,33.8
Matt Schaub,QB,ATL,3,12,4,6,8,8,75,75,0.1,0.8
Matthew Slater,WR,NE,16,19,1,2,0,0,0,0,0.0,0.0
Matthew Stafford,QB,DET,16,"1,052",66,97,2,0,55,55,212.1,20.2
Michael Crabtree,WR,BAL,16,806,50,68,0,12,7,12,78.7,9.8
Philip Rivers,QB,LAC,16,963,60,96,2,0,55,55,284.9,29.6
Ryan Fitzpatrick,QB,TB,8,427,53,77,8,0,66,66,165.8,38.8
Ted Ginn Jr.,WR,NO,5,196,39,56,2,15,10,17,35.5,18.1
Tom Brady,QB,NE,16,"1,093",68,97,2,0,54,54,280.4,25.7
Vernon Davis,TE,WAS,14,449,32,49,0,8,6,8,50.7,11.3
Golden Tate,WR,PHI,15,606,40,62,1,19,13,19,108.9,18.0
Andre Roberts,WR,NYJ,16,195,12,19,1,9,6,10,13.9,7.1
Colt McCoy,QB,WAS,3,100,33,54,10,0,64,64,27.2,27.2
Emmanuel Sanders,WR,DEN,12,659,55,84,1,15,12,16,127.2,19.3
Jimmy Graham,TE,GB,16,794,50,74,0,11,7,11,75.6,9.5
Joe Webb III,QB,HOU,16,35,2,3,0,9,6,9,1.3,3.7
Rob Gronkowski,TE,NE,13,839,65,91,0,9,6,9,84.2,10.0
Antonio Brown,WR,PIT,15,997,66,95,0,17,11,17,219.7,22.0
Logan Paulsen,TE,ATL,15,364,24,37,0,2,2,2,15.1,4.1
A.J. Green,WR,CIN,9,458,51,78,0,17,10,17,103.4,22.6
