player,position,team,games,snaps,snaps_per_game,snaps_pct,rush_pct,tgt_pct,touch_pct,util_pct,fantasy_points,points_per_100_snaps,year
Virgil Green,TE,LAC,15.0,379.0,25.0,38.0,0.0,3.0,2.0,3.0,13.8,3.6,2019
Robert Griffin III,QB,BAL,7.0,139.0,20.0,30.0,14.0,0.0,42.0,42.0,18.0,12.9,2019
Ryan Tannehill,QB,TEN,12.0,637.0,53.0,86.0,7.0,0.0,52.0,52.0,230.2,36.1,2019
Nick Foles,QB,JAC,4.0,185.0,46.0,68.0,2.0,0.0,65.0,65.0,39.7,21.5,2019
Kirk Cousins,QB,MIN,15.0,966.0,64.0,99.0,3.0,0.0,49.0,49.0,250.4,25.9,2019
Russell Wilson,QB,SEA,16.0,1107.0,69.0,99.0,7.0,0.0,53.0,53.0,333.5,30.1,2019
Alshon Jeffery,WR,PHI,10.0,493.0,49.0,68.0,0.0,15.0,9.0,15.0,79.2,16.1,2019
Mohamed Sanu Sr.,WR,NE,15.0,758.0,51.0,73.0,0.0,12.0,8.0,12.0,65.1,8.6,2019
T.Y. Hilton,WR,IND,10.0,478.0,48.0,72.0,0.0,14.0,9.0,14.0,80.1,16.8,2019
Travis Benjamin,WR,LAC,5.0,189.0,38.0,56.0,0.0,8.0,3.0,8.0,3.0,1.6,2019
Marvin Jones Jr.,WR,DET,13.0,818.0,63.0,90.0,0.0,11.0,8.0,11.0,131.9,16.1,2019
Rhett Ellison,TE,NYG,10.0,324.0,32.0,48.0,0.0,9.0,6.0,9.0,22.7,7.0,2019
Alfred Morris,RB,ARI,1.0,3.0,3.0,5.0,33.0,0.0,33.0,33.0,0.4,13.3,2019
Brandon Bolden,RB,NE,15.0,94.0,6.0,9.0,16.0,12.0,26.0,28.0,41.9,44.6,2019
Alex Tanney,QB,NYG,1.0,2.0,2.0,3.0,0.0,0.0,50.0,50.0,0.0,0.0,2019
Derek Carrier,TE,OAK,16.0,177.0,11.0,17.0,1.0,11.0,8.0,11.0,19.5,11.0,2019
Case Keenum,QB,WAS,10.0,447.0,45.0,76.0,2.0,0.0,57.0,57.0,108.4,24.3,2019
Josh Gordon,WR,SEA,11.0,462.0,42.0,59.0,0.0,10.0,6.0,11.0,47.7,10.3,2019
Cole Beasley,WR,BUF,15.0,729.0,49.0,72.0,0.0,15.0,9.0,15.0,117.8,16.2,2019
Chris Hogan,WR,CAR,7.0,154.0,22.0,32.0,0.0,10.0,5.0,10.0,6.7,4.4,2019
Garrett Celek,TE,SF,5.0,60.0,12.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,2019
Josh Bellamy,WR,NYJ,7.0,63.0,9.0,15.0,0.0,5.0,3.0,5.0,2.0,3.2,2019
Travis Kelce,TE,KC,16.0,971.0,61.0,92.0,0.0,14.0,10.0,14.0,157.3,16.2,2019
Marquise Goodwin,WR,SF,9.0,269.0,30.0,42.0,0.0,8.0,5.0,8.0,26.1,9.7,2019
Russell Shepard,WR,NYG,3.0,73.0,24.0,37.0,0.0,11.0,4.0,11.0,2.5,3.4,2019
DeAndre Hopkins,WR,HOU,15.0,971.0,65.0,97.0,0.0,15.0,11.0,16.0,165.5,17.0,2019
Robert Woods,WR,LAR,15.0,985.0,66.0,93.0,2.0,14.0,11.0,16.0,142.9,14.5,2019
Kenny Stills,WR,HOU,13.0,587.0,45.0,69.0,0.0,9.0,7.0,9.0,80.1,13.6,2019
Cordarrelle Patterson,RB,CHI,16.0,203.0,13.0,19.0,8.0,8.0,14.0,17.0,24.6,12.1,2019
Keenan Allen,WR,LAC,16.0,931.0,58.0,88.0,0.0,16.0,11.0,16.0,157.5,16.9,2019
Tavon Austin,WR,DAL,14.0,304.0,22.0,31.0,2.0,8.0,6.0,10.0,34.4,11.3,2019
Giovani Bernard,RB,CIN,16.0,443.0,28.0,40.0,12.0,10.0,19.0,22.0,38.4,8.7,2019
Le'Veon Bell,RB,NYJ,15.0,782.0,52.0,82.0,31.0,10.0,40.0,41.0,149.0,19.1,2019
Chris Thompson,RB,WAS,11.0,311.0,28.0,46.0,12.0,19.0,25.0,31.0,51.6,16.6,2019
Rex Burkhead,RB,NE,13.0,264.0,20.0,29.0,25.0,14.0,35.0,39.0,74.1,28.1,2019
Kenjon Barner,RB,ATL,14.0,65.0,5.0,6.0,6.0,12.0,17.0,20.0,9.1,14.0,2019
Mike Glennon,QB,OAK,2.0,23.0,12.0,19.0,9.0,0.0,52.0,52.0,4.2,18.3,2019
