player,position,team,games,snaps,snaps_per_game,snaps_pct,rush_pct,tgt_pct,touch_pct,util_pct,fantasy_points,points_per_100_snaps,year
Tyler Ervin,RB,GB,10.0,28.0,3.0,4.0,4.0,14.0,11.0,18.0,2.1,7.5,2019
Demarcus Robinson,WR,KC,16.0,735.0,46.0,69.0,0.0,7.0,4.0,7.0,68.9,9.4,2019
Seth DeValve,TE,JAC,12.0,324.0,27.0,40.0,0.0,6.0,4.0,6.0,14.0,4.3,2019
Wendell Smallwood,RB,WAS,15.0,134.0,9.0,15.0,16.0,10.0,23.0,26.0,14.5,10.8,2019
Jakeem Grant Sr.,WR,MIA,10.0,217.0,22.0,34.0,2.0,15.0,11.0,17.0,26.9,12.4,2019
Robby Anderson,WR,NYJ,16.0,927.0,58.0,90.0,0.0,10.0,6.0,10.0,110.3,11.9,2019
Cody Core,WR,NYG,16.0,65.0,4.0,6.0,0.0,8.0,5.0,8.0,2.8,4.3,2019
Alex Erickson,WR,CIN,16.0,615.0,38.0,56.0,1.0,13.0,8.0,14.0,53.2,8.7,2019
Josh Ferguson,RB,WAS,2.0,3.0,2.0,3.0,100.0,0.0,100.0,100.0,0.9,30.0,2019
Brandon Allen,QB,DEN,3.0,176.0,59.0,99.0,6.0,0.0,53.0,53.0,34.5,19.6,2019
Andy Janovich,RB,DEN,7.0,130.0,19.0,29.0,1.0,4.0,5.0,5.0,10.3,7.9,2019
Derek Watt,RB,LAC,16.0,122.0,8.0,12.0,6.0,4.0,8.0,10.0,10.2,8.4,2019
Tyreek Hill,WR,KC,12.0,563.0,47.0,72.0,1.0,16.0,12.0,17.0,130.3,23.1,2019
Johnny Holton,WR,PIT,16.0,266.0,17.0,27.0,0.0,6.0,2.0,6.0,3.0,1.1,2019
DeAndre Washington,RB,OAK,16.0,271.0,17.0,27.0,40.0,15.0,53.0,55.0,85.9,31.7,2019
Marcus Johnson,WR,IND,8.0,412.0,52.0,80.0,0.0,8.0,4.0,8.0,39.7,9.6,2019
Ben Braunecker,TE,CHI,11.0,144.0,13.0,20.0,0.0,8.0,4.0,8.0,11.9,8.3,2019
Dwayne Washington,RB,NO,16.0,18.0,1.0,2.0,44.0,6.0,50.0,50.0,6.6,36.7,2019
Trevor Davis,WR,MIA,14.0,206.0,15.0,22.0,2.0,5.0,6.0,7.0,20.4,9.9,2019
Geronimo Allison,WR,GB,16.0,638.0,40.0,59.0,0.0,9.0,5.0,9.0,41.4,6.5,2019
Danny Vitale,RB,GB,15.0,170.0,11.0,17.0,1.0,7.0,5.0,8.0,10.0,5.9,2019
Mike Thomas,WR,LAR,16.0,34.0,2.0,3.0,0.0,15.0,6.0,15.0,1.4,4.1,2019
Peyton Barber,RB,TB,16.0,338.0,21.0,30.0,46.0,7.0,50.0,53.0,100.5,29.7,2019
J.P. Holtz,TE,CHI,15.0,334.0,22.0,33.0,0.0,2.0,2.0,2.0,9.1,2.7,2019
Chester Rogers,WR,IND,12.0,406.0,34.0,48.0,0.0,7.0,4.0,7.0,29.7,7.3,2019
Tevin Jones,WR,PIT,5.0,145.0,29.0,46.0,0.0,7.0,3.0,7.0,6.1,4.2,2019
Alex Ellis,TE,PHI,3.0,6.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2019
Kalif Raymond,WR,TEN,8.0,96.0,12.0,20.0,1.0,13.0,10.0,14.0,20.5,21.4,2019
Marvin Hall,WR,DET,9.0,127.0,14.0,21.0,1.0,9.0,6.0,9.0,32.8,25.8,2019
Jaydon Mickens,WR,TB,1.0,26.0,26.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,2019
Jalen Richard,RB,OAK,16.0,299.0,19.0,29.0,13.0,14.0,25.0,27.0,46.8,15.7,2019
C.J. Ham,RB,MIN,16.0,354.0,22.0,35.0,2.0,7.0,7.0,9.0,20.6,5.8,2019
J.D. McKissic,RB,DET,16.0,257.0,16.0,24.0,15.0,16.0,28.0,31.0,49.8,19.4,2019
Joshua Perkins,TE,PHI,5.0,131.0,26.0,34.0,0.0,10.0,7.0,10.0,14.7,11.2,2019
Elijhaa Penny,RB,NYG,16.0,127.0,8.0,12.0,12.0,3.0,13.0,15.0,4.8,3.8,2019
Duke Williams,WR,BUF,4.0,175.0,44.0,72.0,0.0,11.0,7.0,11.0,22.6,12.9,2019
Troymaine Pope,RB,LAC,14.0,29.0,2.0,3.0,34.0,10.0,41.0,45.0,7.4,25.5,2019
Dalvin Cook,RB,MIN,14.0,604.0,43.0,66.0,41.0,10.0,50.0,52.0,239.4,39.6,2019
Mike Williams,WR,LAC,15.0,839.0,56.0,85.0,0.0,11.0,6.0,11.0,112.3,13.4,2019
Leonard Fournette,RB,JAC,15.0,901.0,60.0,88.0,29.0,11.0,38.0,41.0,183.4,20.4,2019
O.J. Howard,TE,TB,14.0,779.0,56.0,79.0,0.0,7.0,4.0,7.0,49.9,6.4,2019
Mitchell Trubisky,QB,CHI,15.0,942.0,63.0,92.0,5.0,0.0,60.0,60.0,212.8,22.6,2019
Corey Davis,WR,TEN,15.0,713.0,48.0,75.0,0.0,10.0,6.0,10.0,72.1,10.1,2019
John Ross,WR,CIN,8.0,403.0,50.0,71.0,1.0,14.0,8.0,15.0,67.0,16.6,2019
Christian McCaffrey,RB,CAR,16.0,1039.0,65.0,93.0,28.0,14.0,39.0,41.0,355.2,34.2,2019
Deshaun Watson,QB,HOU,15.0,997.0,66.0,99.0,8.0,0.0,58.0,58.0,332.0,33.3,2019
David Njoku,TE,CLE,4.0,99.0,25.0,41.0,0.0,10.0,5.0,10.0,10.1,10.2,2019
Chris Godwin,WR,TB,14.0,936.0,67.0,92.0,0.0,13.0,9.0,13.0,190.1,20.3,2019
Evan Engram,TE,NYG,8.0,444.0,56.0,80.0,1.0,15.0,11.0,16.0,65.4,14.7,2019
Patrick Mahomes II,QB,KC,14.0,880.0,63.0,93.0,5.0,0.0,60.0,60.0,291.9,33.2,2019
Joe Mixon,RB,CIN,16.0,653.0,41.0,59.0,43.0,7.0,48.0,49.0,190.4,29.2,2019
Alvin Kamara,RB,NO,14.0,626.0,45.0,68.0,27.0,15.0,40.0,43.0,167.5,26.8,2019
Wayne Gallman Jr.,RB,NYG,10.0,163.0,16.0,24.0,18.0,10.0,25.0,28.0,37.2,22.8,2019
Samaje Perine,RB,MIA,7.0,11.0,2.0,2.0,45.0,0.0,45.0,45.0,1.6,14.5,2019
Jamaal Williams,RB,GB,14.0,373.0,27.0,40.0,29.0,12.0,39.0,41.0,107.3,28.8,2019
Kareem Hunt,RB,CLE,8.0,309.0,39.0,60.0,14.0,14.0,26.0,28.0,64.4,20.8,2019
Taywan Taylor,WR,CLE,3.0,28.0,9.0,14.0,0.0,4.0,0.0,4.0,0.0,0.0,2019
JuJu Smith-Schuster,WR,PIT,12.0,573.0,48.0,76.0,0.0,12.0,7.0,12.0,71.2,12.4,2019
Zay Jones,WR,OAK,15.0,630.0,42.0,63.0,0.0,7.0,4.0,7.0,21.9,3.5,2019
Isaiah Ford,WR,MIA,8.0,224.0,28.0,39.0,0.0,16.0,11.0,16.0,25.5,11.4,2019
Cooper Kupp,WR,LAR,16.0,883.0,55.0,80.0,0.0,15.0,11.0,16.0,176.5,20.0,2019
Curtis Samuel,WR,CAR,16.0,955.0,60.0,85.0,2.0,11.0,8.0,13.0,117.7,12.3,2019
Dede Westbrook,WR,JAC,15.0,745.0,50.0,73.0,1.0,14.0,10.0,14.0,90.7,12.2,2019
Josh Reynolds,WR,LAR,16.0,480.0,30.0,43.0,1.0,9.0,5.0,10.0,40.9,8.5,2019
Marlon Mack,RB,IND,14.0,510.0,36.0,54.0,48.0,3.0,51.0,52.0,167.3,32.8,2019
Jeremy McNichols,RB,JAC,1.0,3.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2019
Corey Clement,RB,PHI,4.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,-4.0,-133.3,2019
James Conner,RB,PIT,10.0,328.0,33.0,53.0,35.0,12.0,46.0,47.0,111.5,34.0,2019
Brian Hill,RB,ATL,12.0,235.0,20.0,26.0,33.0,6.0,37.0,39.0,57.2,24.3,2019
Tarik Cohen,RB,CHI,16.0,533.0,33.0,50.0,12.0,20.0,27.0,32.0,84.9,15.9,2019
Adam Shaheen,TE,CHI,8.0,174.0,22.0,34.0,0.0,7.0,5.0,7.0,7.4,4.3,2019
Gerald Everett,TE,LAR,13.0,440.0,34.0,50.0,0.0,14.0,9.0,14.0,52.8,12.0,2019
Jonnu Smith,TE,TEN,16.0,701.0,44.0,70.0,1.0,6.0,6.0,7.0,69.7,9.9,2019
Jeremy Sprinkle,TE,WAS,16.0,600.0,38.0,64.0,0.0,7.0,4.0,7.0,30.1,5.0,2019
Cooper Rush,QB,DAL,2.0,5.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2019
T.J. Logan,RB,TB,12.0,23.0,2.0,3.0,13.0,13.0,22.0,26.0,2.3,10.0,2019
Austin Ekeler,RB,LAC,16.0,599.0,37.0,57.0,22.0,18.0,37.0,40.0,217.0,36.2,2019
Kenny Golladay,WR,DET,16.0,937.0,59.0,86.0,0.0,12.0,7.0,12.0,183.0,19.5,2019
Mack Hollins,WR,MIA,16.0,411.0,26.0,35.0,0.0,6.0,2.0,6.0,12.5,3.0,2019
Krishawn Hogan,WR,NO,8.0,83.0,10.0,16.0,0.0,1.0,1.0,1.0,0.4,0.5,2019
George Kittle,TE,SF,14.0,801.0,57.0,88.0,1.0,13.0,11.0,14.0,137.5,17.2,2019
Antony Auclair,TE,TB,8.0,172.0,22.0,30.0,0.0,2.0,1.0,2.0,1.1,0.6,2019
Robert Tonyan,TE,GB,11.0,193.0,18.0,25.0,0.0,8.0,5.0,8.0,16.0,8.3,2019
Jacob Hollister,TE,SEA,11.0,514.0,47.0,67.0,0.0,11.0,8.0,11.0,52.9,10.3,2019
Cody Hollister,WR,TEN,5.0,6.0,1.0,2.0,0.0,33.0,33.0,33.0,1.3,21.7,2019
Austin Carr,WR,NO,6.0,188.0,31.0,46.0,0.0,2.0,1.0,2.0,0.9,0.5,2019
Josh Malone,WR,NYJ,2.0,21.0,11.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,2019
Mason Schreck,TE,CIN,2.0,4.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2019
Cethan Carter,TE,CIN,15.0,96.0,6.0,9.0,0.0,3.0,2.0,3.0,7.3,7.6,2019
Tim Patrick,WR,DEN,8.0,287.0,36.0,57.0,0.0,11.0,6.0,11.0,21.8,7.6,2019
Mo Alie-Cox,TE,IND,16.0,354.0,22.0,33.0,0.0,3.0,2.0,3.0,9.3,2.6,2019
Darrell Daniels,TE,ARI,11.0,47.0,4.0,7.0,0.0,6.0,2.0,6.0,0.4,0.9,2019
Isaiah McKenzie,WR,BUF,15.0,451.0,30.0,44.0,2.0,9.0,8.0,10.0,36.3,8.0,2019
Gehrig Dieter,WR,KC,2.0,6.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2019
Ryan Switzer,WR,PIT,9.0,81.0,9.0,14.0,0.0,14.0,10.0,14.0,2.7,3.3,2019
Blake Jarwin,TE,DAL,16.0,434.0,27.0,38.0,0.0,9.0,7.0,9.0,54.5,12.6,2019
Jamal Agnew,WR,DET,13.0,16.0,1.0,2.0,6.0,13.0,13.0,19.0,0.0,0.0,2019
Aaron Jones,RB,GB,16.0,663.0,41.0,61.0,36.0,10.0,43.0,46.0,265.8,40.1,2019
Eric Saubert,TE,CHI,2.0,47.0,24.0,34.0,0.0,6.0,4.0,6.0,2.1,4.5,2019
Alex Armah Jr.,RB,CAR,16.0,134.0,8.0,12.0,4.0,1.0,6.0,6.0,7.7,5.7,2019
Nick Mullens,QB,SF,1.0,7.0,7.0,10.0,43.0,0.0,43.0,43.0,-0.3,-4.3,2019
Chad Williams,WR,IND,1.0,6.0,6.0,10.0,0.0,17.0,0.0,17.0,0.0,0.0,2019
Ricky Seals-Jones,TE,CLE,14.0,244.0,17.0,27.0,0.0,9.0,6.0,9.0,44.9,18.4,2019
Johnny Mundt,TE,LAR,13.0,211.0,16.0,24.0,0.0,3.0,2.0,3.0,2.6,1.2,2019
Chris Carson,RB,SEA,15.0,723.0,48.0,70.0,38.0,7.0,44.0,45.0,195.6,27.1,2019
David Moore,WR,SEA,14.0,312.0,22.0,32.0,1.0,11.0,6.0,12.0,42.6,13.7,2019
Anthony Firkser,TE,TEN,15.0,198.0,13.0,21.0,0.0,12.0,7.0,12.0,26.4,13.3,2019
C.J. Board,WR,JAC,4.0,36.0,9.0,13.0,0.0,11.0,6.0,11.0,3.1,8.6,2019
Keelan Cole Sr.,WR,JAC,16.0,369.0,23.0,34.0,0.0,10.0,7.0,10.0,54.7,14.8,2019
Evan Baylis,TE,GB,5.0,12.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2019
Dare Ogunbowale,RB,TB,16.0,361.0,23.0,32.0,3.0,13.0,13.0,16.0,40.3,11.2,2019
Andre Patton,WR,LAC,13.0,506.0,39.0,59.0,0.0,3.0,1.0,3.0,5.6,1.1,2019
Sean Culkin,TE,LAC,4.0,99.0,25.0,37.0,0.0,2.0,1.0,2.0,1.2,1.2,2019
Pharaoh Brown,TE,CLE,9.0,173.0,19.0,29.0,0.0,2.0,1.0,2.0,2.7,1.6,2019
Zach Pascal,WR,IND,16.0,799.0,50.0,74.0,0.0,9.0,6.0,9.0,94.3,11.8,2019
Matt Breida,RB,SF,13.0,254.0,20.0,29.0,48.0,9.0,56.0,57.0,84.3,33.2,2019
Kendrick Bourne,WR,SF,16.0,462.0,29.0,43.0,0.0,10.0,6.0,10.0,67.8,14.7,2019
Tyrone Swoopes,TE,SEA,5.0,80.0,16.0,23.0,0.0,1.0,1.0,1.0,0.5,0.6,2019
Cyril Grayson Jr.,WR,TB,2.0,7.0,4.0,6.0,0.0,14.0,14.0,14.0,0.3,4.3,2019
Taysom Hill,QB,NO,16.0,241.0,15.0,23.0,11.0,9.0,22.0,23.0,83.2,34.5,2019
Greg Ward,WR,PHI,7.0,308.0,44.0,58.0,0.0,13.0,9.0,13.0,31.9,10.4,2019
Dan Arnold,TE,ARI,5.0,104.0,21.0,30.0,0.0,13.0,8.0,13.0,24.7,23.8,2019
Patrick Ricard,RB,BAL,16.0,342.0,21.0,31.0,0.0,3.0,2.0,3.0,0.0,0.0,2019
Fred Brown,WR,DEN,13.0,100.0,8.0,12.0,0.0,3.0,2.0,3.0,2.1,2.1,2019
Trey Edmunds,RB,PIT,11.0,93.0,8.0,13.0,24.0,8.0,30.0,31.0,14.0,15.1,2019
River Cracraft,WR,DEN,1.0,5.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2019
Brandon Zylstra,WR,CAR,8.0,68.0,9.0,12.0,0.0,18.0,12.0,18.0,10.6,15.6,2019
Lamar Jackson,QB,BAL,15.0,970.0,65.0,93.0,18.0,0.0,59.0,59.0,421.7,43.5,2019
Mason Rudolph,QB,PIT,10.0,523.0,52.0,81.0,4.0,0.0,58.0,58.0,117.8,22.5,2019
Josh Rosen,QB,MIA,6.0,197.0,33.0,53.0,2.0,0.0,57.0,57.0,23.0,11.7,2019
Sam Darnold,QB,NYJ,13.0,841.0,65.0,98.0,4.0,0.0,56.0,56.0,202.1,24.0,2019
Baker Mayfield,QB,CLE,16.0,1031.0,64.0,99.0,3.0,0.0,55.0,55.0,250.3,24.3,2019
Saquon Barkley,RB,NYG,13.0,729.0,56.0,83.0,30.0,10.0,37.0,40.0,192.1,26.4,2019
Derrius Guice,RB,WAS,5.0,95.0,19.0,30.0,44.0,9.0,52.0,54.0,50.4,53.1,2019
Ronald Jones II,RB,TB,16.0,415.0,26.0,36.0,41.0,10.0,49.0,51.0,135.3,32.6,2019
Royce Freeman,RB,DEN,16.0,506.0,32.0,50.0,26.0,10.0,35.0,36.0,99.2,19.6,2019
Nick Chubb,RB,CLE,16.0,714.0,45.0,68.0,42.0,7.0,47.0,49.0,219.2,30.7,2019
Kerryon Johnson,RB,DET,8.0,274.0,34.0,52.0,41.0,5.0,45.0,47.0,75.0,27.4,2019
Josh Adams,RB,NYJ,3.0,12.0,4.0,6.0,67.0,0.0,67.0,67.0,1.2,10.0,2019
Ito Smith,RB,ATL,7.0,149.0,21.0,31.0,15.0,9.0,22.0,24.0,25.3,17.0,2019
Kalen Ballage,RB,MIA,12.0,252.0,21.0,32.0,29.0,10.0,35.0,39.0,37.8,15.0,2019
Myles Gaskin,RB,MIA,7.0,125.0,18.0,25.0,29.0,10.0,34.0,38.0,24.4,19.5,2019
Courtland Sutton,WR,DEN,16.0,933.0,58.0,92.0,0.0,13.0,8.0,14.0,150.4,16.1,2019
James Washington,WR,PIT,15.0,634.0,42.0,68.0,0.0,13.0,7.0,13.0,89.5,14.1,2019
Anthony Miller,WR,CHI,16.0,686.0,43.0,64.0,0.0,12.0,8.0,13.0,75.5,11.0,2019
Marcell Ateman,WR,OAK,11.0,142.0,13.0,20.0,0.0,7.0,4.0,7.0,9.6,6.8,2019
Deontay Burnett,WR,PHI,1.0,15.0,15.0,20.0,0.0,27.0,13.0,27.0,4.8,32.0,2019
Calvin Ridley,WR,ATL,13.0,712.0,55.0,76.0,0.0,13.0,9.0,13.0,134.0,18.8,2019
Michael Gallup,WR,DAL,14.0,846.0,60.0,85.0,0.0,13.0,8.0,13.0,146.7,17.3,2019
Jaleel Scott,WR,BAL,3.0,17.0,6.0,8.0,0.0,18.0,6.0,18.0,0.6,3.5,2019
Tre'Quan Smith,WR,NO,11.0,457.0,42.0,63.0,0.0,5.0,4.0,5.0,53.4,11.7,2019
Cedrick Wilson Jr.,WR,DAL,6.0,75.0,13.0,18.0,0.0,11.0,7.0,11.0,4.6,6.1,2019
Deon Cain,WR,PIT,13.0,298.0,23.0,34.0,0.0,7.0,3.0,7.0,12.4,4.2,2019
Dante Pettis,WR,SF,11.0,312.0,28.0,40.0,0.0,8.0,4.0,8.0,23.5,7.5,2019
DJ Moore,WR,CAR,15.0,910.0,61.0,87.0,1.0,15.0,10.0,15.0,143.5,15.8,2019
Trey Quinn,WR,WAS,12.0,424.0,35.0,61.0,0.0,11.0,6.0,11.0,25.8,6.1,2019
Christian Kirk,WR,ARI,13.0,791.0,61.0,94.0,1.0,14.0,10.0,15.0,100.2,12.7,2019
Mark Andrews,TE,BAL,15.0,457.0,30.0,44.0,0.0,21.0,14.0,21.0,143.2,31.3,2019
Dallas Goedert,TE,PHI,15.0,770.0,51.0,71.0,0.0,11.0,8.0,11.0,86.7,11.3,2019
Jaylen Samuels,RB,PIT,14.0,362.0,26.0,42.0,18.0,16.0,33.0,35.0,58.4,16.1,2019
Mike Gesicki,TE,MIA,16.0,701.0,44.0,65.0,0.0,13.0,7.0,13.0,85.0,12.1,2019
Troy Fumagalli,TE,DEN,11.0,156.0,14.0,22.0,0.0,6.0,4.0,6.0,9.8,6.3,2019
Hayden Hurst,TE,BAL,16.0,458.0,29.0,41.0,0.0,9.0,7.0,9.0,46.9,10.2,2019
Antonio Callaway,WR,CLE,4.0,151.0,38.0,60.0,0.0,10.0,5.0,10.0,8.9,5.9,2019
Braxton Berrios,WR,NYJ,16.0,85.0,5.0,8.0,0.0,15.0,7.0,15.0,9.5,11.2,2019
D.J. Chark Jr.,WR,JAC,15.0,848.0,57.0,82.0,0.0,14.0,9.0,14.0,152.8,18.0,2019
Nyheim Hines,RB,IND,16.0,339.0,21.0,31.0,15.0,17.0,28.0,32.0,73.9,21.8,2019
Josh Allen,QB,BUF,16.0,989.0,62.0,92.0,11.0,0.0,58.0,58.0,297.5,30.1,2019
Bo Scarbrough,RB,DET,6.0,167.0,28.0,42.0,53.0,2.0,54.0,56.0,42.2,25.3,2019
Justin Jackson,RB,LAC,7.0,93.0,13.0,20.0,31.0,12.0,41.0,43.0,22.2,23.9,2019
Allen Lazard,WR,GB,16.0,479.0,30.0,44.0,0.0,11.0,8.0,11.0,67.8,14.2,2019
Richie James Jr.,WR,SF,16.0,204.0,13.0,19.0,1.0,5.0,4.0,6.0,20.4,10.0,2019
John Kelly,RB,LAR,4.0,3.0,1.0,1.0,100.0,0.0,100.0,100.0,0.9,30.0,2019
Auden Tate,WR,CIN,12.0,647.0,54.0,81.0,0.0,12.0,6.0,12.0,61.5,9.5,2019
Rashaad Penny,RB,SEA,10.0,150.0,15.0,22.0,43.0,7.0,49.0,51.0,67.3,44.9,2019
Sony Michel,RB,NE,16.0,420.0,26.0,37.0,59.0,5.0,62.0,64.0,140.6,33.5,2019
Dalton Schultz,TE,DAL,16.0,117.0,7.0,10.0,0.0,2.0,1.0,2.0,0.6,0.5,2019
Ian Thomas,TE,CAR,16.0,302.0,19.0,27.0,0.0,10.0,5.0,10.0,19.6,6.5,2019
Javon Wims,WR,CHI,16.0,487.0,30.0,45.0,0.0,8.0,4.0,8.0,24.6,5.1,2019
Jordan Thomas,TE,HOU,5.0,67.0,13.0,21.0,0.0,4.0,1.0,4.0,0.8,1.2,2019
Jordan Akins,TE,HOU,16.0,656.0,41.0,61.0,0.0,8.0,5.0,8.0,53.8,8.2,2019
Robert Foster,WR,BUF,13.0,214.0,16.0,24.0,1.0,8.0,2.0,9.0,9.3,4.3,2019
DaeSean Hamilton,WR,DEN,16.0,653.0,41.0,64.0,0.0,8.0,4.0,8.0,35.7,5.5,2019
Keke Coutee,WR,HOU,9.0,338.0,38.0,55.0,1.0,11.0,7.0,11.0,30.8,9.1,2019
Chase Edmonds,RB,ARI,13.0,207.0,16.0,24.0,29.0,10.0,35.0,39.0,70.8,34.2,2019
Jordan Wilkins,RB,IND,14.0,173.0,12.0,18.0,29.0,6.0,34.0,36.0,47.0,27.2,2019
Phillip Lindsay,RB,DEN,16.0,513.0,32.0,50.0,44.0,9.0,50.0,53.0,162.7,31.7,2019
Durham Smythe,TE,MIA,16.0,482.0,30.0,45.0,0.0,3.0,1.0,3.0,6.5,1.3,2019
Darrel Williams,RB,KC,12.0,196.0,16.0,25.0,21.0,10.0,29.0,31.0,52.8,26.9,2019
Noah Fant,TE,DEN,16.0,695.0,43.0,68.0,0.0,9.0,6.0,10.0,71.0,10.2,2019
Marquez Valdes-Scantling,WR,GB,16.0,542.0,34.0,50.0,0.0,10.0,5.0,11.0,58.1,10.7,2019
Chris Herndon IV,TE,NYJ,1.0,18.0,18.0,26.0,0.0,11.0,6.0,11.0,0.7,3.9,2019
Ryan Izzo,TE,NE,6.0,268.0,45.0,61.0,0.0,3.0,2.0,3.0,17.4,6.5,2019
Damion Ratley,WR,CLE,13.0,257.0,20.0,31.0,0.0,9.0,5.0,9.0,26.0,10.1,2019
Nick Bawden,RB,DET,10.0,124.0,12.0,18.0,0.0,5.0,3.0,5.0,1.7,1.4,2019
Tyler Conklin,TE,MIN,15.0,274.0,18.0,28.0,0.0,4.0,3.0,4.0,5.8,2.1,2019
Justin Watson,WR,TB,16.0,230.0,14.0,20.0,0.0,11.0,7.0,11.0,27.9,12.1,2019
Russell Gage,WR,ATL,16.0,516.0,32.0,44.0,1.0,14.0,10.0,15.0,49.8,9.7,2019
Boston Scott,RB,PHI,11.0,186.0,17.0,23.0,33.0,14.0,46.0,47.0,72.9,39.2,2019
Buddy Howell,RB,HOU,16.0,36.0,2.0,3.0,14.0,0.0,14.0,14.0,1.0,2.8,2019
Chris Lacy,WR,DET,7.0,128.0,18.0,28.0,0.0,8.0,2.0,8.0,6.0,4.7,2019
Darvin Kidsy,WR,WAS,3.0,24.0,8.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,2019
Gus Edwards,RB,BAL,16.0,397.0,25.0,36.0,34.0,2.0,35.0,35.0,85.6,21.6,2019
Vyncint Smith,WR,NYJ,13.0,319.0,25.0,38.0,1.0,10.0,6.0,11.0,31.7,9.9,2019
Byron Pringle,WR,KC,16.0,143.0,9.0,13.0,0.0,11.0,8.0,11.0,23.0,16.1,2019
Ryan Nall,RB,CHI,8.0,8.0,1.0,1.0,25.0,0.0,25.0,25.0,0.8,10.0,2019
Tim Boyle,QB,GB,3.0,21.0,7.0,10.0,24.0,0.0,43.0,43.0,-0.1,-0.5,2019
Mike Boone,RB,MIN,16.0,82.0,5.0,8.0,60.0,5.0,63.0,65.0,47.0,57.3,2019
Tanner Hudson,TE,TB,9.0,103.0,11.0,16.0,0.0,5.0,2.0,5.0,2.6,2.5,2019
Christian Blake,WR,ATL,9.0,337.0,37.0,48.0,0.0,7.0,3.0,7.0,9.1,2.7,2019
Reggie Bonnafon,RB,CAR,16.0,68.0,4.0,6.0,24.0,15.0,32.0,38.0,23.3,34.3,2019
Kyle Allen,QB,CAR,13.0,885.0,68.0,97.0,4.0,0.0,59.0,59.0,193.4,21.9,2019
Keith Kirkwood,WR,NO,1.0,12.0,12.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,2019
Deon Yelder,TE,KC,9.0,47.0,5.0,8.0,0.0,9.0,6.0,9.0,5.0,10.6,2019
Ross Dwelley,TE,SF,16.0,359.0,22.0,34.0,0.0,6.0,4.0,6.0,21.1,5.9,2019
Trent Sherfield,WR,ARI,16.0,257.0,16.0,24.0,0.0,5.0,2.0,5.0,8.0,3.1,2019
Codey McElroy,TE,TB,1.0,3.0,3.0,4.0,0.0,33.0,33.0,33.0,3.0,100.0,2019
Steven Mitchell Jr.,WR,HOU,3.0,79.0,26.0,37.0,0.0,8.0,3.0,8.0,3.7,4.7,2019
Cam Sims,WR,WAS,7.0,56.0,8.0,13.0,0.0,5.0,4.0,5.0,2.7,4.8,2019
Jeff Wilson Jr.,RB,SF,10.0,60.0,6.0,9.0,45.0,8.0,50.0,53.0,43.9,73.2,2019
Dontrell Hilliard,RB,CLE,14.0,130.0,9.0,14.0,10.0,12.0,19.0,22.0,26.1,20.1,2019
Will Dissly,TE,SEA,6.0,249.0,42.0,58.0,0.0,11.0,10.0,11.0,50.9,20.4,2019
Chad Beebe,WR,MIN,3.0,43.0,14.0,23.0,0.0,5.0,5.0,5.0,7.0,16.3,2019
Jaeden Graham,TE,ATL,16.0,208.0,13.0,18.0,0.0,5.0,4.0,5.0,20.9,10.0,2019
Garrett Dickerson,TE,NYG,4.0,10.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2019
KhaDarel Hodge,WR,CLE,16.0,129.0,8.0,12.0,0.0,8.0,3.0,8.0,7.6,5.9,2019
Malik Turner,WR,SEA,15.0,243.0,16.0,23.0,0.0,9.0,6.0,9.0,30.5,12.6,2019
Dwayne Haskins,QB,WAS,9.0,433.0,48.0,84.0,5.0,0.0,52.0,52.0,83.7,19.3,2019
A.J. Brown,WR,TEN,16.0,678.0,42.0,68.0,0.0,12.0,8.0,13.0,165.1,24.4,2019
D.K. Metcalf,WR,SEA,16.0,927.0,58.0,83.0,0.0,11.0,6.0,11.0,129.1,13.9,2019
N'Keal Harry,WR,NE,7.0,220.0,31.0,45.0,2.0,11.0,8.0,13.0,27.4,12.5,2019
Drew Lock,QB,DEN,5.0,306.0,61.0,99.0,6.0,0.0,57.0,57.0,71.1,23.2,2019
Marquise Brown,WR,BAL,14.0,563.0,40.0,58.0,0.0,13.0,8.0,13.0,100.4,17.8,2019
Kelvin Harmon,WR,WAS,16.0,482.0,30.0,51.0,0.0,9.0,6.0,9.0,36.9,7.7,2019
Damien Harris,RB,NE,2.0,5.0,3.0,3.0,80.0,0.0,80.0,80.0,1.2,24.0,2019
Daniel Jones,QB,NYG,13.0,816.0,63.0,93.0,6.0,0.0,62.0,62.0,226.9,27.8,2019
J.J. Arcega-Whiteside,WR,PHI,16.0,486.0,30.0,42.0,0.0,5.0,2.0,5.0,22.9,4.7,2019
David Montgomery,RB,CHI,16.0,614.0,38.0,57.0,39.0,6.0,43.0,45.0,145.4,23.7,2019
