Player,Pos,Team,Games,Snaps,Snaps/Gm,Snap %,Rush %,Tgt %,Touch %,Util %,Fantasy Pts,Pts/100 Snaps
Tyler Conklin,TE,MIN,16,453,28,42,0,6,4,6,25.4,5.6
Jeff Badet,WR,WAS,3,21,7,10,0,5,0,5,0.0,0.0
Justin Watson,WR,TB,11,158,14,21,0,7,4,7,9.4,5.9
Russell Gage,WR,ATL,16,762,48,68,0,14,10,15,109.1,14.3
Boston Scott,RB,PHI,16,383,24,34,21,9,27,30,70.6,18.4
Buddy Howell,RB,HOU,14,47,3,6,34,4,36,38,6.7,14.3
Derrick Willies,WR,CLE,1,3,3,4,0,0,0,0,0.0,0.0
Gus Edwards,RB,BAL,16,347,22,34,41,4,44,45,119.2,34.4
Vyncint Smith,WR,NYJ,7,50,7,12,0,6,2,6,1.3,2.6
Byron Pringle,WR,KC,12,239,20,28,0,7,5,7,28.0,11.7
Ryan Nall,RB,CHI,15,68,5,7,4,13,16,18,12.7,18.7
Brandon Powell,WR,ATL,15,183,12,17,1,10,8,11,17.6,9.6
Tim Boyle,QB,GB,8,22,3,4,59,0,59,59,-0.9,-4.1
Kevin Rader,TE,PIT,1,12,12,18,0,8,0,8,0.0,0.0
Mike Boone,RB,MIN,16,34,2,3,32,6,38,38,12.9,37.9
Tanner Hudson,TE,TB,11,74,7,10,0,9,4,9,4.1,5.5
Christian Blake,WR,ATL,16,278,17,25,0,6,5,6,14.1,5.1
Reggie Bonnafon,RB,CAR,2,23,12,18,52,9,61,61,14.7,63.9
Kyle Allen,QB,WAS,4,177,44,71,4,0,53,53,46.1,26.0
Keith Kirkwood,WR,CAR,1,35,35,51,0,6,3,6,1.3,3.7
Deon Yelder,TE,KC,13,182,14,20,0,5,3,5,3.1,1.7
Ross Dwelley,TE,SF,16,502,31,46,0,5,4,5,30.5,6.1
Trent Sherfield,WR,ARI,15,79,5,7,0,9,6,9,5.0,6.3
Steven Mitchell Jr.,WR,HOU,6,84,14,23,0,10,6,10,6.0,7.1
Cameron Batson,WR,TEN,12,284,24,35,1,5,6,6,18.0,6.3
Cam Sims,WR,WAS,16,639,40,59,0,8,5,8,54.2,8.5
Jeff Wilson Jr.,RB,SF,12,311,26,38,41,9,45,50,129.3,41.6
Dontrell Hilliard,RB,HOU,7,22,3,5,41,5,45,45,5.0,22.7
Will Dissly,TE,SEA,16,560,35,52,0,5,4,5,37.1,6.6
Nick Keizer,TE,KC,15,283,19,27,0,3,2,3,4.3,1.5
Johnny Stanton,RB,CLE,1,12,12,18,0,0,0,0,0.0,0.0
Chad Beebe,WR,MIN,14,314,22,32,0,10,6,10,30.1,9.6
Jaeden Graham,TE,ATL,16,116,7,10,0,4,3,4,2.5,2.2
KhaDarel Hodge,WR,CLE,9,291,32,51,0,6,4,6,18.0,6.2
John Wolford,QB,LAR,1,73,73,100,8,0,60,60,13.8,18.9
Dwayne Haskins,QB,WAS,7,426,61,88,5,0,61,61,75.2,17.7
A.J. Brown,WR,TEN,14,760,54,81,0,14,9,14,177.5,23.4
D.K. Metcalf,WR,SEA,16,980,61,91,0,13,8,13,188.3,19.2
N'Keal Harry,WR,NE,13,527,41,67,0,10,6,10,32.8,6.2
Drew Lock,QB,DEN,13,835,64,93,5,0,58,58,196.4,23.5
Marquise Brown,WR,BAL,16,802,50,78,0,12,7,13,125.0,15.6
Hakeem Butler,WR,PHI,2,1,1,1,0,100,0,100,0.0,0.0
Damien Harris,RB,NE,9,228,25,41,53,3,55,56,76.3,33.5
Daniel Jones,QB,NYG,14,868,62,95,7,0,59,59,190.2,21.9
J.J. Arcega-Whiteside,WR,PHI,8,141,18,25,0,6,3,6,10.5,7.4
David Montgomery,RB,CHI,14,707,51,74,33,9,40,42,203.9,28.8
Deebo Samuel,WR,SF,7,305,44,62,3,14,13,17,47.7,15.6
Albert Okwuegbunam,TE,DEN,4,86,22,31,0,17,13,17,18.1,21.0
Ryan Finley,QB,CIN,5,90,18,28,12,0,48,48,21.2,23.6
Justice Hill,RB,BAL,12,73,6,9,16,7,23,23,8.0,11.0
Riley Ridley,WR,CHI,5,41,8,13,0,10,10,10,3.9,9.5
Josh Jacobs,RB,LV,15,619,41,61,44,7,49,51,198.3,32.0
Devin Singletary,RB,BUF,16,622,39,57,25,8,31,33,105.6,17.0
Miles Sanders,RB,PHI,12,602,50,71,27,9,32,36,142.4,23.7
Collin Johnson,WR,JAC,14,226,16,25,0,14,8,14,41.2,18.2
T.J. Hockenson,TE,DET,16,748,47,74,0,14,9,14,108.3,14.5
Kaden Smith,TE,NYG,15,453,30,48,0,5,4,5,11.2,2.5
Brett Rypien,QB,DEN,3,83,28,40,6,0,54,54,15.3,18.4
Patrick Laird,RB,MIA,16,145,9,14,9,8,16,17,12.0,8.3
Hunter Renfrow,WR,LV,16,554,35,51,0,14,10,14,75.6,13.6
Daniel Helm,TE,SF,5,28,6,8,0,0,0,0,0.0,0.0
Terry Godwin,WR,JAC,3,50,17,27,2,12,8,14,3.5,7.0
Foster Moreau,TE,LV,16,255,16,23,0,4,3,4,26.0,10.2
Brandon Dillon,TE,MIN,3,12,4,5,0,8,8,8,0.6,5.0
Ty Johnson,RB,NYJ,13,174,13,22,31,12,40,43,47.3,27.2
Andy Isabella,WR,ARI,13,306,24,34,0,11,7,12,33.8,11.0
Easton Stick,QB,LAC,1,2,2,2,50,0,100,100,0.0,0.0
Dexter Williams,RB,GB,3,7,2,4,29,0,29,29,0.8,11.4
Parris Campbell,WR,IND,2,63,32,43,3,14,13,17,8.7,13.8
Terry McLaurin,WR,WAS,15,947,63,93,0,14,9,14,136.8,14.4
Travis Fulgham,WR,PHI,13,552,42,61,0,12,7,12,77.9,14.1
Trace McSorley,QB,BAL,2,20,10,18,25,0,75,75,9.3,46.5
Qadree Ollison,RB,ATL,3,14,5,7,7,0,7,7,0.3,2.1
Keelan Doss,WR,LV,1,3,3,4,0,0,0,0,0.0,0.0
Drew Sample,TE,CIN,16,868,54,81,0,6,5,6,38.9,4.5
Gardner Minshew II,QB,JAC,9,528,59,94,5,0,68,68,164.5,31.2
Trevon Wesco,TE,NYJ,12,146,12,19,1,1,1,2,0.5,0.3
Alec Ingold,RB,LV,16,233,15,21,1,7,6,9,17.4,7.5
Mecole Hardman,WR,KC,15,474,32,45,1,12,9,13,78.4,16.5
Darrell Henderson Jr.,RB,LAR,14,307,22,31,40,7,45,47,106.7,34.8
Lil'Jordan Humphrey,WR,NO,3,66,22,34,0,8,5,8,10.6,16.1
Jakobi Meyers,WR,NE,14,666,48,76,0,12,9,13,83.6,12.6
Kyler Murray,QB,ARI,16,"1,101",69,97,12,0,63,63,390.7,35.5
