Player,Pos,Team,Games,Snaps,Snaps/Gm,Snap %,Rush %,Tgt %,Touch %,Util %,Fantasy Pts,Pts/100 Snaps
Aaron Rodgers,QB,GB,16,"1,064",67,98,6,0,64,64,380.0,35.7
Adrian Peterson,RB,MIN,3,84,28,47,44,7,48,51,6.0,7.1
Alex Smith,QB,KC,15,915,61,95,5,0,59,59,223.9,24.5
Ben Roethlisberger,QB,PIT,14,921,66,98,2,0,57,57,252.3,27.4
Brian Hoyer,QB,CHI,6,315,53,83,2,0,66,66,79.2,25.1
Chad Henne,QB,JAC,1,1,1,2,100,0,100,100,-0.2,-20.0
Chase Daniel,QB,PHI,1,6,6,11,0,0,17,17,0.6,10.0
Danny Amendola,WR,NE,12,266,22,32,0,11,9,11,46.5,17.5
Darren Sproles,RB,PHI,15,511,34,49,18,14,29,32,110.5,21.6
DeSean Jackson,WR,WAS,15,705,47,71,0,14,8,14,124.5,17.7
Drew Brees,QB,NO,16,"1,152",72,100,2,0,60,60,332.3,28.8
Drew Stanton,QB,ARI,5,106,21,30,3,0,48,48,9.4,8.9
Eli Manning,QB,NYG,16,"1,062",66,100,2,0,58,58,224.1,21.1
Frank Gore,RB,IND,16,651,41,59,40,7,46,48,176.3,27.1
Greg Olsen,TE,CAR,16,"1,030",64,93,0,13,8,13,127.3,12.4
Jared Cook,TE,GB,10,328,33,51,0,16,9,16,41.7,12.7
Jason Witten,TE,DAL,16,"1,016",64,96,0,9,7,9,83.3,8.2
Joe Flacco,QB,BAL,16,"1,111",69,98,2,0,62,62,242.0,21.8
Josh McCown,QB,CLE,5,262,52,81,3,0,66,66,52.1,19.9
Julian Edelman,WR,NE,16,874,55,78,1,18,13,20,132.3,15.1
Larry Fitzgerald,WR,ARI,16,"1,053",66,91,0,14,10,15,136.9,13.0
LeSean McCoy,RB,BUF,15,646,43,65,36,9,44,45,248.3,38.4
Marcedes Lewis,TE,JAC,10,278,28,40,0,11,7,11,22.9,8.2
Matt Moore,QB,MIA,4,190,48,81,1,0,46,46,54.7,28.8
Matt Ryan,QB,ATL,16,"1,020",64,98,3,0,56,56,347.5,34.1
Matt Schaub,QB,ATL,4,21,5,8,10,0,24,24,0.4,1.9
Matthew Slater,WR,NE,13,52,4,6,2,2,2,4,-1.5,-2.9
Matthew Stafford,QB,DET,16,"1,037",65,100,4,0,61,61,279.7,27.0
Michael Crabtree,WR,OAK,16,833,52,75,0,17,11,17,150.3,18.0
Philip Rivers,QB,SD,16,"1,060",66,100,1,0,56,56,259.0,24.4
Ryan Fitzpatrick,QB,NYJ,14,764,55,85,4,0,57,57,133.3,17.4
Ted Ginn Jr.,WR,CAR,16,689,43,62,2,14,10,16,105.0,15.2
