rank,player,field_goal,field_goal_att,pct,lg,1-19,20-29,30-39,40-49,50+,XPT,XPA,games,fantasy_points,fantasy_points_per_game,rost,team,position,week,year
1,Mason Crosby,5,5,100.0,52,0,0,0,4,1,1,1,1,22.0,22.0,40.7,GB,K,11,2015
2,Graham Gano,3,3,100.0,48,0,1,0,2,0,5,5,1,16.0,16.0,31.4,NYG,K,11,2015
3,Matt Prater,3,3,100.0,51,0,1,0,1,1,1,1,1,13.0,13.0,52.8,ARI,K,11,2015
4,Jason Myers,4,4,100.0,36,0,1,3,0,0,1,1,1,13.0,13.0,22.1,SEA,K,11,2015
5,Justin Tucker,3,5,60.0,47,0,2,0,1,0,1,1,1,11.0,11.0,98.0,BAL,K,11,2015
6,Chandler Catanzaro,2,2,100.0,32,0,1,1,0,0,4,4,1,10.0,10.0,0.0,FA,K,11,2015
7,Robbie Gould,3,3,100.0,46,0,0,2,1,0,0,0,1,10.0,10.0,22.5,SF,K,11,2015
8,Sebastian Janikowski,2,2,100.0,56,0,0,0,1,1,1,1,1,10.0,10.0,20.0,FA,K,11,2015
9,Cairo Santos,2,2,100.0,28,0,2,0,0,0,3,4,1,9.0,9.0,2.1,CHI,K,11,2015
10,Ryan Succop,2,3,66.7,49,0,0,0,2,0,1,1,1,9.0,9.0,57.4,TB,K,11,2015
11,Dan Carpenter,2,3,66.7,52,0,0,1,0,1,1,1,1,9.0,9.0,0.2,FA,K,11,2015
12,Connor Barth,1,1,100.0,28,0,1,0,0,0,6,6,1,9.0,9.0,0.0,FA,K,11,2015
13,Stephen Gostkowski,2,3,66.7,35,0,0,2,0,0,2,2,1,8.0,8.0,0.1,FA,K,11,2015
14,Mike Nugent,1,1,100.0,43,0,0,0,1,0,4,4,1,8.0,8.0,1.0,FA,K,11,2015
15,Phil Dawson,2,2,100.0,27,0,2,0,0,0,1,1,1,7.0,7.0,0.1,FA,K,11,2015
16,Adam Vinatieri,1,1,100.0,43,0,0,0,1,0,3,3,1,7.0,7.0,0.2,FA,K,11,2015
17,Randy Bullock,1,1,100.0,40,0,0,0,1,0,2,2,1,6.0,6.0,10.8,TEN,K,11,2015
18,Caleb Sturgis,1,1,100.0,43,0,0,0,1,0,2,2,1,6.0,6.0,0.0,FA,K,11,2015
19,Dan Bailey,1,1,100.0,30,0,0,1,0,0,3,3,1,6.0,6.0,0.0,FA,K,11,2015
20,Nick Novak,1,1,100.0,20,0,1,0,0,0,3,3,1,6.0,6.0,0.1,FA,K,11,2015
21,Josh Lambo,1,1,100.0,52,0,0,0,0,1,0,0,1,5.0,5.0,3.2,FA,K,11,2015
22,Stephen Hauschka,1,1,100.0,33,0,0,1,0,0,2,3,1,5.0,5.0,0.0,FA,K,11,2015
23,Brandon McManus,1,1,100.0,24,0,1,0,0,0,2,2,1,5.0,5.0,44.3,DEN,K,11,2015
24,Matt Bryant,0,1,0.0,0,0,0,0,0,0,3,3,1,3.0,3.0,1.1,FA,K,11,2015
25,Dustin Hopkins,0,0,0.0,0,0,0,0,0,0,2,2,1,2.0,2.0,14.5,LAC,K,11,2015
26,Andrew Franks,0,0,0.0,0,0,0,0,0,0,2,2,1,2.0,2.0,0.0,FA,K,11,2015
27,Greg Zuerlein,0,1,0.0,0,0,0,0,0,0,1,1,1,1.0,1.0,74.2,DAL,K,11,2015
28,Blair Walsh,0,0,0.0,0,0,0,0,0,0,1,2,1,1.0,1.0,0.1,FA,K,11,2015
29,Michael Badgley,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,19.9,IND,K,11,2015
30,Matt Gay,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,89.8,LAR,K,11,2015
31,Chris Blewitt,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,CLE,K,11,2015
32,Austin Seibert,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,DET,K,11,2015
33,Matthew Wright,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.2,JAC,K,11,2015
34,Joey Slye,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.6,WAS,K,11,2015
35,Wil Lutz,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,3.3,NO,K,11,2015
36,Sam Ficken,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,TEN,K,11,2015
37,Ka'imi Fairbairn,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.8,HOU,K,11,2015
38,Jake Elliott,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,22.5,PHI,K,11,2015
39,Zane Gonzalez,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,2.6,CAR,K,11,2015
40,Harrison Butker,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,76.6,KC,K,11,2015
41,Younghoe Koo,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,40.9,ATL,K,11,2015
42,Chase McLaughlin,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,7.1,CLE,K,11,2015
43,Jason Sanders,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,22.6,MIA,K,11,2015
44,Eddy Pineiro,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.2,NYJ,K,11,2015
45,Greg Joseph,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,69.1,MIN,K,11,2015
46,Daniel Carlson,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,74.3,LV,K,11,2015
47,Tyler Bass,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,84.8,BUF,K,11,2015
48,Cameron Nizialek,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,PIT,K,11,2015
49,Evan McPherson,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,34.2,CIN,K,11,2015
50,Riley Patterson,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.2,DET,K,11,2015
51,Jose Borregales,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,TB,K,11,2015
52,Quinn Nordin,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,NE,K,11,2015
53,Chris Naggar,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,DAL,K,11,2015
54,Brian Johnson,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,6.6,WAS,K,11,2015
55,Dominik Eberle,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,GB,K,11,2015
56,Rodrigo Blankenship,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,4.1,IND,K,11,2015
57,Jake Verity,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,IND,K,11,2015
58,JJ Molson,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,GB,K,11,2015
59,Sam Sloman,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,PIT,K,11,2015
60,Matt Ammendola,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,NYJ,K,11,2015
61,Lirim Hajrullahu,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.2,CAR,K,11,2015
62,Austin MacGinnis,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,LAR,K,11,2015
63,Ty Long,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.7,LAC,K,11,2015
64,Parker Douglass,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,NYJ,K,11,2015
65,Piotr Czech,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,PIT,K,11,2015
66,Steven Weatherford,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,NYJ,K,11,2015
67,Nick Folk,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,81.8,NE,K,11,2015
68,Zac Derr,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,ATL,K,11,2015
69,Ricky Schmit,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,SF,K,11,2015
70,Andrew Wellock,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,CAR,K,11,2015
71,Carlos Martinez,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,DAL,K,11,2015
72,Garrett Rivas,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,TB,K,11,2015
