rank,player,defense_sacks,defense_ints,fumble_recovery,fumble_forced,defense_td,defense_safety,defense_spc_td,games,fantasy_points,fantasy_points_per_game,rost,team,position,week,year
1,Detroit Lions,7,1,2,1,0,1,0,1,22.0,22.0,1.1,DET,DST,13,2013
2,Miami Dolphins,4,2,1,0,0,0,0,1,17.0,17.0,60.2,MIA,DST,13,2013
3,Carolina Panthers,5,1,1,0,0,0,0,1,16.0,16.0,27.8,CAR,DST,13,2013
4,Seattle Seahawks,1,0,1,1,1,0,0,1,13.0,13.0,39.4,SEA,DST,13,2013
5,Cincinnati Bengals,2,1,2,2,0,0,0,1,12.0,12.0,14.7,CIN,DST,13,2013
6,Philadelphia Eagles,5,2,1,1,0,0,0,1,11.0,11.0,52.5,PHI,DST,13,2013
7,Green Bay Packers,1,2,2,2,1,0,0,1,11.0,11.0,60.6,GB,DST,13,2013
8,Indianapolis Colts,1,3,1,1,0,0,0,1,10.0,10.0,66.4,IND,DST,13,2013
9,Jacksonville Jaguars,3,2,1,2,0,1,0,1,10.0,10.0,6.9,JAC,DST,13,2013
10,San Francisco 49ers,3,1,0,0,0,0,0,1,9.0,9.0,79.5,SF,DST,13,2013
11,New York Giants,5,0,1,1,0,0,0,1,8.0,8.0,4.5,NYG,DST,13,2013
12,Minnesota Vikings,4,0,1,2,0,0,0,1,7.0,7.0,28.0,MIN,DST,13,2013
13,Tennessee Titans,5,1,0,2,0,0,0,1,7.0,7.0,48.4,TEN,DST,13,2013
14,Buffalo Bills,6,0,1,0,0,0,0,1,7.0,7.0,95.9,BUF,DST,13,2013
15,Chicago Bears,5,1,0,0,0,0,0,1,7.0,7.0,35.9,CHI,DST,13,2013
16,Arizona Cardinals,5,0,0,0,0,0,0,1,5.0,5.0,60.9,ARI,DST,13,2013
17,Washington Commanders,3,1,0,1,0,0,0,1,5.0,5.0,27.5,WAS,DST,13,2013
18,Dallas Cowboys,0,1,1,0,0,0,0,1,4.0,4.0,82.9,DAL,DST,13,2013
19,Tampa Bay Buccaneers,0,2,0,0,0,0,0,1,4.0,4.0,98.0,TB,DST,13,2013
20,Atlanta Falcons,0,0,2,2,0,0,0,1,3.0,3.0,5.8,ATL,DST,13,2013
21,New York Jets,1,1,0,0,0,0,0,1,3.0,3.0,3.3,NYJ,DST,13,2013
22,Cleveland Browns,2,1,0,0,0,0,0,1,3.0,3.0,40.8,CLE,DST,13,2013
23,New England Patriots,1,1,0,0,0,0,0,1,2.0,2.0,93.2,NE,DST,13,2013
24,Houston Texans,1,1,0,0,0,0,0,1,2.0,2.0,6.4,HOU,DST,13,2013
25,Pittsburgh Steelers,2,0,0,1,0,0,0,1,2.0,2.0,44.6,PIT,DST,13,2013
26,Denver Broncos,0,1,0,1,0,0,0,1,1.0,1.0,48.5,DEN,DST,13,2013
27,Baltimore Ravens,0,0,0,0,0,0,0,1,1.0,1.0,51.9,BAL,DST,13,2013
28,Kansas City Chiefs,0,2,0,0,0,0,1,1,0.0,0.0,45.7,KC,DST,13,2013
29,New Orleans Saints,1,0,0,1,0,0,0,1,0.0,0.0,79.3,NO,DST,13,2013
30,Las Vegas Raiders,0,0,0,0,0,0,0,0,0.0,0.0,7.6,LV,DST,13,2013
31,Los Angeles Chargers,0,0,0,0,0,0,0,0,0.0,0.0,44.3,LAC,DST,13,2013
32,Los Angeles Rams,0,0,0,0,0,0,0,0,0.0,0.0,74.5,LAR,DST,13,2013
