rank,player,defense_sacks,defense_ints,fumble_recovery,fumble_forced,defense_td,defense_safety,defense_spc_td,games,fantasy_points,fantasy_points_per_game,rost,team,position,week,year
1,Pittsburgh Steelers,5,1,3,3,1,0,0,1,23.0,23.0,44.6,PIT,DST,12,2013
2,Tampa Bay Buccaneers,2,4,1,2,1,0,0,1,19.0,19.0,98.0,TB,DST,12,2013
3,Baltimore Ravens,3,2,1,0,0,0,0,1,16.0,16.0,51.9,BAL,DST,12,2013
4,San Francisco 49ers,6,1,0,1,0,0,0,1,15.0,15.0,79.5,SF,DST,12,2013
5,Denver Broncos,3,0,3,4,1,0,0,1,14.0,14.0,48.5,DEN,DST,12,2013
6,Arizona Cardinals,1,1,0,0,1,0,0,1,13.0,13.0,60.9,ARI,DST,12,2013
7,Jacksonville Jaguars,2,1,0,0,0,0,0,1,11.0,11.0,6.9,JAC,DST,12,2013
8,New Orleans Saints,5,0,1,1,0,0,0,1,11.0,11.0,79.3,NO,DST,12,2013
9,Dallas Cowboys,2,0,1,1,1,0,0,1,10.0,10.0,82.9,DAL,DST,12,2013
10,New England Patriots,2,1,3,1,0,0,0,1,10.0,10.0,93.2,NE,DST,12,2013
11,Houston Texans,4,0,0,0,0,0,0,1,9.0,9.0,6.4,HOU,DST,12,2013
12,Green Bay Packers,6,0,1,1,0,0,0,1,8.0,8.0,60.6,GB,DST,12,2013
13,New York Jets,4,1,0,0,0,0,0,1,7.0,7.0,3.3,NYJ,DST,12,2013
14,New York Giants,4,1,0,1,0,0,0,1,7.0,7.0,4.5,NYG,DST,12,2013
15,Miami Dolphins,3,1,0,0,0,0,0,1,7.0,7.0,60.2,MIA,DST,12,2013
16,Carolina Panthers,3,1,0,0,0,0,0,1,6.0,6.0,27.8,CAR,DST,12,2013
17,Detroit Lions,4,0,0,0,0,0,0,1,5.0,5.0,1.1,DET,DST,12,2013
18,Tennessee Titans,0,1,1,1,0,0,0,1,5.0,5.0,48.4,TEN,DST,12,2013
19,Washington Commanders,2,0,1,1,0,0,0,1,4.0,4.0,27.5,WAS,DST,12,2013
20,Indianapolis Colts,3,0,0,1,0,0,0,1,3.0,3.0,66.4,IND,DST,12,2013
21,Minnesota Vikings,2,0,0,0,0,0,0,1,2.0,2.0,28.0,MIN,DST,12,2013
22,Atlanta Falcons,1,0,0,0,0,0,0,1,2.0,2.0,5.8,ATL,DST,12,2013
23,Seattle Seahawks,0,0,0,0,0,0,0,0,0.0,0.0,39.4,SEA,DST,12,2013
24,Buffalo Bills,0,0,0,0,0,0,0,0,0.0,0.0,95.9,BUF,DST,12,2013
25,Los Angeles Rams,0,0,0,0,0,0,0,0,0.0,0.0,74.5,LAR,DST,12,2013
26,Philadelphia Eagles,0,0,0,0,0,0,0,0,0.0,0.0,52.5,PHI,DST,12,2013
27,Los Angeles Chargers,0,0,0,0,0,0,0,0,0.0,0.0,44.3,LAC,DST,12,2013
28,Las Vegas Raiders,0,0,0,0,0,0,0,0,0.0,0.0,7.6,LV,DST,12,2013
29,Cincinnati Bengals,0,0,0,0,0,0,0,0,0.0,0.0,14.7,CIN,DST,12,2013
30,Cleveland Browns,0,0,0,0,0,0,0,1,0.0,0.0,40.8,CLE,DST,12,2013
31,Chicago Bears,2,0,0,1,0,0,0,1,-2.0,-2.0,35.9,CHI,DST,12,2013
32,Kansas City Chiefs,1,0,0,1,0,0,0,1,-3.0,-3.0,45.7,KC,DST,12,2013
