rank,player,sacks,ints,frec,ff,defense_td,sfty,spc_td,games,fantasy_points,fantasy_points_per_game,rost,team,position,week,year
1.0,Miami Dolphins,5.0,3.0,1.0,1.0,1.0,1.0,0.0,1.0,22.0,22.0,60.2,MIA,DST,9,2013
2.0,Kansas City Chiefs,0.0,2.0,1.0,1.0,2.0,0.0,0.0,1.0,22.0,22.0,45.7,KC,DST,9,2013
3.0,Carolina Panthers,1.0,3.0,1.0,1.0,1.0,0.0,0.0,1.0,19.0,19.0,27.8,CAR,DST,9,2013
4.0,Dallas Cowboys,2.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,12.0,12.0,82.9,DAL,DST,9,2013
5.0,Cleveland Browns,5.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,10.0,10.0,40.8,CLE,DST,9,2013
6.0,New England Patriots,5.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,10.0,10.0,93.2,NE,DST,9,2013
7.0,Chicago Bears,5.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,8.0,8.0,35.9,CHI,DST,9,2013
8.0,Philadelphia Eagles,3.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,8.0,52.5,PHI,DST,9,2013
9.0,New York Jets,2.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,7.0,7.0,3.3,NYJ,DST,9,2013
10.0,Tennessee Titans,2.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,6.0,6.0,48.4,TEN,DST,9,2013
11.0,Buffalo Bills,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,6.0,6.0,95.9,BUF,DST,9,2013
12.0,Cincinnati Bengals,3.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,6.0,6.0,14.7,CIN,DST,9,2013
13.0,Tampa Bay Buccaneers,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,6.0,6.0,98.0,TB,DST,9,2013
14.0,Minnesota Vikings,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,28.0,MIN,DST,9,2013
15.0,Washington Commanders,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,27.5,WAS,DST,9,2013
16.0,Houston Texans,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,6.4,HOU,DST,9,2013
17.0,Baltimore Ravens,2.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,4.0,4.0,51.9,BAL,DST,9,2013
18.0,Atlanta Falcons,1.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,4.0,4.0,5.8,ATL,DST,9,2013
19.0,Seattle Seahawks,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,39.4,SEA,DST,9,2013
20.0,New Orleans Saints,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,79.3,NO,DST,9,2013
21.0,Green Bay Packers,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,60.6,GB,DST,9,2013
22.0,Indianapolis Colts,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,66.4,IND,DST,9,2013
23.0,Pittsburgh Steelers,3.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,44.6,PIT,DST,9,2013
24.0,Jacksonville Jaguars,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.9,JAC,DST,9,2013
25.0,Denver Broncos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.5,DEN,DST,9,2013
26.0,Los Angeles Rams,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.5,LAR,DST,9,2013
27.0,Detroit Lions,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,DET,DST,9,2013
28.0,San Francisco 49ers,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.5,SF,DST,9,2013
29.0,Los Angeles Chargers,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.3,LAC,DST,9,2013
30.0,Las Vegas Raiders,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.6,LV,DST,9,2013
31.0,New York Giants,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,NYG,DST,9,2013
32.0,Arizona Cardinals,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.9,ARI,DST,9,2013
