player,team,position,games,week_1,week_2,week_3,week_4,week_5,week_6,week_7,week_8,week_9,week_10,week_11,week_12,week_13,week_14,week_15,week_16,week_17,week_18,total_receiving_tgt,receiving_tgt_per_game,total_receiving_tgt_rank,receiving_tgt_per_game_rank
Deebo Samuel,SF,WR,16,12.0,8.0,10.0,13.0,9.0,0.0,11.0,9.0,9.0,5.0,2.0,4.0,0.0,1.0,5.0,11.0,6.0,6.0,121.0,7.5625,23.0,29.0
Ja'Marr Chase,CIN,WR,17,7.0,4.0,5.0,9.0,10.0,6.0,10.0,9.0,13.0,0.0,6.0,3.0,8.0,8.0,4.0,10.0,12.0,4.0,128.0,7.529411764705882,19.5,30.5
Hunter Renfrow,LV,WR,17,9.0,7.0,6.0,8.0,8.0,5.0,8.0,0.0,9.0,9.0,4.0,9.0,10.0,14.0,5.0,3.0,9.0,5.0,128.0,7.529411764705882,19.5,30.5
CeeDee Lamb,DAL,WR,16,15.0,9.0,3.0,5.0,6.0,11.0,0.0,8.0,9.0,7.0,4.0,0.0,13.0,10.0,9.0,5.0,4.0,2.0,120.0,7.5,24.5,32.0
Amon-Ra St. Brown,DET,WR,16,4.0,5.0,1.0,8.0,8.0,7.0,0.0,5.0,0.0,6.0,4.0,4.0,12.0,12.0,11.0,11.0,11.0,10.0,119.0,7.4375,26.0,33.0
D.J. Chark Jr.,JAC,WR,3,12.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,7.333333333333333,255.0,34.5
Rob Gronkowski,TB,TE,12,8.0,5.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0,9.0,8.0,9.0,11.0,2.0,10.0,10.0,88.0,7.333333333333333,54.0,34.5
Adam Thielen,MIN,WR,13,10.0,7.0,9.0,8.0,3.0,13.0,0.0,9.0,7.0,7.0,10.0,7.0,2.0,0.0,0.0,3.0,0.0,0.0,95.0,7.3076923076923075,43.0,36.0
DeVante Parker,MIA,WR,10,7.0,9.0,7.0,9.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,5.0,0.0,8.0,0.0,13.0,4.0,73.0,7.3,73.5,37.0
Jarvis Landry,CLE,WR,12,5.0,1.0,0.0,0.0,0.0,0.0,8.0,10.0,5.0,5.0,8.0,10.0,0.0,10.0,0.0,7.0,10.0,8.0,87.0,7.25,55.5,38.0
Russell Gage,ATL,WR,13,2.0,7.0,0.0,0.0,0.0,0.0,6.0,0.0,8.0,3.0,8.0,7.0,12.0,6.0,12.0,5.0,5.0,13.0,94.0,7.230769230769231,46.0,39.0
Mike Evans,TB,WR,16,6.0,9.0,10.0,12.0,8.0,4.0,10.0,4.0,0.0,3.0,11.0,6.0,10.0,6.0,1.0,0.0,7.0,7.0,114.0,7.125,27.0,40.0
Marvin Jones Jr.,JAC,WR,17,9.0,11.0,8.0,3.0,6.0,10.0,0.0,8.0,5.0,6.0,6.0,7.0,3.0,7.0,4.0,13.0,6.0,8.0,120.0,7.0588235294117645,24.5,41.0
T.J. Hockenson,DET,TE,12,11.0,9.0,2.0,8.0,3.0,11.0,9.0,11.0,0.0,1.0,8.0,3.0,8.0,0.0,0.0,0.0,0.0,0.0,84.0,7.0,60.5,43.5
Elijah Moore,NYJ,WR,11,4.0,8.0,6.0,0.0,2.0,0.0,6.0,6.0,8.0,6.0,11.0,8.0,12.0,0.0,0.0,0.0,0.0,0.0,77.0,7.0,69.0,43.5
Cole Beasley,BUF,WR,16,13.0,4.0,13.0,2.0,2.0,9.0,0.0,13.0,11.0,2.0,5.0,5.0,3.0,11.0,8.0,0.0,6.0,5.0,112.0,7.0,29.0,43.5
