player,team,games,week_1,week_2,week_3,week_4,week_5,week_6,week_7,week_8,week_9,week_10,week_11,week_12,week_13,week_14,week_15,week_16,week_17,week_18,total_receiving_tgt,receiving_tgt_per_game,total_receiving_tgt_rank,receiving_tgt_per_game_rank
Kenneth Gainwell,PHI,16,3.0,3.0,4.0,8.0,3.0,2.0,8.0,0.0,0.0,1.0,0.0,4.0,5.0,0.0,1.0,1.0,0.0,7.0,47.0,2.9375,23.5,29.5
David Johnson,HOU,13,4.0,2.0,0.0,4.0,6.0,2.0,6.0,1.0,5.0,0.0,4.0,3.0,0.0,0.0,1.0,0.0,0.0,4.0,38.0,2.923076923076923,35.5,31.0
Kenyan Drake,LV,12,5.0,6.0,6.0,0.0,1.0,2.0,3.0,0.0,8.0,3.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,35.0,2.9166666666666665,39.5,32.0
Nyheim Hines,IND,17,8.0,2.0,6.0,2.0,1.0,2.0,3.0,5.0,6.0,4.0,0.0,4.0,4.0,0.0,2.0,1.0,4.0,3.0,49.0,2.8823529411764706,20.5,33.0
James Robinson,JAC,14,6.0,3.0,6.0,2.0,1.0,4.0,0.0,2.0,0.0,5.0,3.0,4.0,4.0,0.0,6.0,0.0,0.0,0.0,40.0,2.857142857142857,32.0,34.0
Tony Pollard,DAL,15,4.0,3.0,1.0,0.0,4.0,3.0,0.0,1.0,2.0,7.0,2.0,4.0,4.0,0.0,3.0,3.0,5.0,0.0,42.0,2.8,30.0,35.0
Devontae Booker,NYG,16,1.0,1.0,0.0,1.0,4.0,4.0,3.0,6.0,3.0,0.0,1.0,1.0,4.0,5.0,2.0,4.0,3.0,2.0,44.0,2.75,27.0,36.5
Joe Mixon,CIN,16,4.0,2.0,1.0,2.0,1.0,6.0,0.0,5.0,5.0,0.0,0.0,4.0,1.0,2.0,1.0,6.0,8.0,0.0,44.0,2.75,27.0,36.5
Devin Singletary,BUF,17,5.0,3.0,2.0,1.0,2.0,5.0,0.0,1.0,8.0,1.0,4.0,1.0,0.0,7.0,1.0,6.0,1.0,2.0,45.0,2.6470588235294117,25.0,38.0
Devonta Freeman,BAL,16,0.0,0.0,0.0,0.0,4.0,2.0,3.0,0.0,3.0,4.0,6.0,1.0,8.0,5.0,1.0,2.0,1.0,2.0,42.0,2.625,30.0,39.0
Giovani Bernard,TB,10,3.0,2.0,10.0,0.0,2.0,2.0,3.0,1.0,0.0,3.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,26.0,2.6,49.0,40.5
James Conner,ARI,15,0.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,5.0,4.0,6.0,0.0,2.0,9.0,2.0,0.0,0.0,6.0,39.0,2.6,33.5,40.5
Jonathan Taylor,IND,17,7.0,1.0,1.0,3.0,4.0,2.0,3.0,4.0,2.0,8.0,3.0,5.0,0.0,0.0,0.0,2.0,2.0,4.0,44.0,2.588235294117647,27.0,42.0
Jerick McKinnon,KC,8,0.0,1.0,0.0,0.0,2.0,4.0,4.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,20.0,2.5,61.0,43.5
JaMycal Hasty,SF,2,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.5,106.0,43.5
Kyle Juszczyk,SF,15,1.0,3.0,4.0,4.0,4.0,0.0,0.0,2.0,2.0,1.0,2.0,2.0,3.0,2.0,1.0,5.0,2.0,0.0,37.0,2.466666666666667,37.0,45.0
Zack Moss,BUF,13,0.0,2.0,3.0,1.0,4.0,4.0,0.0,7.0,4.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,2.0,32.0,2.4615384615384617,43.5,46.0
Miles Sanders,PHI,12,5.0,2.0,4.0,3.0,5.0,4.0,1.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,2.0,3.0,0.0,0.0,29.0,2.4166666666666665,47.0,47.0
Alexander Mattison,MIN,16,1.0,1.0,8.0,0.0,7.0,0.0,0.0,2.0,1.0,1.0,1.0,3.0,3.0,1.0,0.0,4.0,5.0,1.0,38.0,2.375,35.5,48.0
James White,NE,3,7.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.3333333333333335,95.5,49.0
Melvin Gordon III,DEN,16,3.0,2.0,2.0,4.0,2.0,3.0,3.0,3.0,2.0,4.0,0.0,2.0,0.0,0.0,1.0,1.0,4.0,2.0,35.0,2.1875,39.5,50.5
Chuba Hubbard,CAR,16,2.0,1.0,5.0,2.0,6.0,3.0,5.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,4.0,2.0,35.0,2.1875,39.5,50.5
Dare Ogunbowale,JAC,10,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,2.0,4.0,2.0,6.0,21.0,2.1,57.5,52.0
D'Ernest Johnson,CLE,12,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,8.0,0.0,0.0,0.0,1.0,4.0,2.0,3.0,1.0,25.0,2.0833333333333335,51.5,53.0
AJ Dillon,GB,17,2.0,1.0,2.0,1.0,4.0,0.0,2.0,0.0,4.0,2.0,6.0,5.0,0.0,0.0,1.0,3.0,3.0,1.0,35.0,2.0588235294117645,39.5,54.0
Samaje Perine,CIN,15,1.0,1.0,1.0,1.0,5.0,0.0,1.0,2.0,3.0,0.0,3.0,1.0,2.0,5.0,2.0,2.0,1.0,0.0,30.0,2.0,45.5,58.0
Rex Burkhead,HOU,15,2.0,0.0,1.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,3.0,2.0,4.0,3.0,2.0,6.0,4.0,30.0,2.0,45.5,58.0
Clyde Edwards-Helaire,KC,10,3.0,0.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,3.0,4.0,1.0,0.0,0.0,20.0,2.0,61.0,58.0
Ryquell Armstead,JAC,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,2.0,113.0,58.0
Derrick Henry,TEN,8,4.0,6.0,3.0,2.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,2.0,71.5,58.0
Trey Ragas,LV,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,130.5,58.0
Darrynton Evans,TEN,1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,130.5,58.0
Sony Michel,LAR,17,0.0,0.0,4.0,0.0,1.0,0.0,0.0,2.0,3.0,2.0,0.0,1.0,4.0,1.0,2.0,4.0,5.0,4.0,33.0,1.9411764705882353,42.0,62.0
Chris Evans,CIN,9,0.0,1.0,2.0,0.0,2.0,3.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,5.0,17.0,1.8888888888888888,67.0,63.0
