player,field_goal,field_goal_att,XPT,fantasy_points,team,position,week,year
Ryan Succop,1.7,2.1,3.0,8.2,TB,K,16,2021
Robbie Gould,1.9,2.3,2.4,8.1,SF,K,16,2021
Matt Gay,1.8,2.2,2.6,8.1,LAR,K,16,2021
Dustin Hopkins,1.7,2.0,2.9,8.0,LAC,K,16,2021
Nick Folk,2.0,2.3,2.0,8.0,NE,K,16,2021
Mason Crosby,1.7,2.2,2.8,8.0,GB,K,16,2021
Matt Prater,1.7,2.1,2.7,7.9,ARI,K,16,2021
Greg Zuerlein,1.7,2.2,2.7,7.9,DAL,K,16,2021
Michael Badgley,1.8,2.3,2.3,7.8,IND,K,16,2021
Daniel Carlson,2.0,2.3,1.8,7.7,LV,K,16,2021
Younghoe Koo,1.7,2.0,2.5,7.7,ATL,K,16,2021
Jake Elliott,1.8,2.1,2.3,7.7,PHI,K,16,2021
Evan McPherson,1.8,2.1,2.2,7.6,CIN,K,16,2021
Randy Bullock,1.9,2.2,1.9,7.5,TEN,K,16,2021
Greg Joseph,1.7,2.0,2.1,7.1,MIN,K,16,2021
Brandon McManus,1.7,2.0,2.1,7.1,DEN,K,16,2021
Tyler Bass,1.7,2.0,1.9,6.9,BUF,K,16,2021
Jason Sanders,1.6,2.0,1.9,6.8,MIA,K,16,2021
Jason Myers,1.4,1.8,2.5,6.8,SEA,K,16,2021
Chris Boswell,1.7,1.9,1.7,6.7,PIT,K,16,2021
Eddy Pineiro,1.5,1.7,2.1,6.7,NYJ,K,16,2021
Justin Tucker,1.5,1.7,2.0,6.6,BAL,K,16,2021
Riley Patterson,1.5,1.7,1.7,6.3,DET,K,16,2021
Matthew Wright,1.5,1.9,1.7,6.3,JAC,K,16,2021
Lirim Hajrullahu,1.6,1.9,1.4,6.3,CAR,K,16,2021
Joey Slye,1.5,1.8,1.7,6.1,WAS,K,16,2021
Cairo Santos,1.4,1.6,1.6,5.8,CHI,K,16,2021
Ka'imi Fairbairn,1.4,1.6,1.6,5.8,HOU,K,16,2021
Graham Gano,1.4,1.6,1.4,5.7,NYG,K,16,2021
Dominik Eberle,1.3,1.6,1.6,5.6,GB,K,16,2021
Chris Naggar,1.2,1.3,1.4,5.0,DAL,K,16,2021
