player,fg,fg_att,XPT,fantasy_points,team,position,week,year
Harrison Butker,1.9,2.2,2.7,8.4,KC,K,14,2021
Randy Bullock,1.9,2.3,2.6,8.4,TEN,K,14,2021
Ryan Succop,1.8,2.1,2.8,8.2,TB,K,14,2021
Mason Crosby,1.7,2.1,2.9,8.2,GB,K,14,2021
Robbie Gould,1.8,2.2,2.6,8.0,SF,K,14,2021
Greg Joseph,1.9,2.2,2.2,7.9,MIN,K,14,2021
Matt Prater,1.7,2.1,2.7,7.8,ARI,K,14,2021
Dustin Hopkins,1.8,2.1,2.5,7.8,LAC,K,14,2021
Brandon McManus,1.7,2.1,2.6,7.7,DEN,K,14,2021
Greg Zuerlein,1.6,2.0,2.8,7.5,DAL,K,14,2021
Zane Gonzalez,1.7,1.9,2.3,7.3,CAR,K,14,2021
Chris Boswell,1.7,1.9,2.3,7.3,PIT,K,14,2021
Joey Slye,1.6,1.9,2.3,7.2,WAS,K,14,2021
Jason Myers,1.6,1.9,2.4,7.1,SEA,K,14,2021
Matt Gay,1.6,1.9,2.3,7.1,LAR,K,14,2021
Evan McPherson,1.6,1.9,2.2,7.0,CIN,K,14,2021
Tyler Bass,1.5,1.9,2.4,7.0,BUF,K,14,2021
Daniel Carlson,1.7,1.9,1.9,6.9,LV,K,14,2021
Chase McLaughlin,1.6,1.9,2.0,6.9,CLE,K,14,2021
Justin Tucker,1.6,1.8,2.1,6.9,BAL,K,14,2021
Brian Johnson,1.6,1.8,2.1,6.8,WAS,K,14,2021
Younghoe Koo,1.5,1.7,2.0,6.5,ATL,K,14,2021
Eddy Pineiro,1.6,1.9,1.7,6.5,NYJ,K,14,2021
Graham Gano,1.5,1.8,1.7,6.2,NYG,K,14,2021
Ka'imi Fairbairn,1.5,1.8,1.6,6.1,HOU,K,14,2021
Cairo Santos,1.4,1.6,1.6,5.7,CHI,K,14,2021
Matthew Wright,1.4,1.6,1.4,5.5,JAC,K,14,2021
Riley Patterson,1.3,1.4,1.4,5.2,DET,K,14,2021
