player,fg,fg_att,XPT,fantasy_points,team,position,week,year
Ryan Succop,2.0,2.4,3.0,8.9,TB,K,17,2021
Tyler Bass,2.0,2.4,2.9,8.8,BUF,K,17,2021
Nick Folk,1.9,2.3,2.8,8.6,NE,K,17,2021
Robbie Gould,1.8,2.2,2.9,8.4,SF,K,17,2021
Greg Zuerlein,1.8,2.2,2.7,8.2,DAL,K,17,2021
Matt Gay,1.9,2.2,2.7,8.2,LAR,K,17,2021
Mason Crosby,1.7,2.2,3.0,8.2,GB,K,17,2021
Harrison Butker,1.8,2.1,2.6,8.1,KC,K,17,2021
Chris Naggar,2.0,2.0,2.0,8.0,DAL,K,17,2021
Matt Prater,1.9,2.4,2.3,7.9,ARI,K,17,2021
Dustin Hopkins,1.8,2.2,2.3,7.8,LAC,K,17,2021
Chris Boswell,1.9,2.3,2.0,7.7,PIT,K,17,2021
Evan McPherson,1.8,2.3,2.2,7.7,CIN,K,17,2021
Jake Elliott,1.8,2.1,2.2,7.6,PHI,K,17,2021
Justin Tucker,1.8,2.0,2.0,7.4,BAL,K,17,2021
Michael Badgley,1.6,1.9,2.6,7.3,IND,K,17,2021
Randy Bullock,1.8,2.1,1.9,7.2,TEN,K,17,2021
Dominik Eberle,2.0,2.0,1.0,7.0,GB,K,17,2021
Daniel Carlson,1.7,2.0,1.8,7.0,LV,K,17,2021
Brandon McManus,1.7,2.0,1.9,6.9,DEN,K,17,2021
Jason Myers,1.5,1.7,2.5,6.9,SEA,K,17,2021
Cairo Santos,1.6,1.8,2.2,6.8,CHI,K,17,2021
Chase McLaughlin,1.5,1.9,2.1,6.7,CLE,K,17,2021
Jason Sanders,1.6,1.9,1.6,6.5,MIA,K,17,2021
Brian Johnson,1.5,1.6,1.9,6.4,WAS,K,17,2021
Joey Slye,1.5,1.9,1.7,6.3,WAS,K,17,2021
Riley Patterson,1.6,1.8,1.4,6.3,DET,K,17,2021
Graham Gano,1.6,1.8,1.4,6.3,NYG,K,17,2021
Ka'imi Fairbairn,1.6,1.9,1.5,6.2,HOU,K,17,2021
Greg Joseph,1.5,1.7,1.7,6.1,MIN,K,17,2021
Lirim Hajrullahu,1.6,1.9,1.1,6.0,CAR,K,17,2021
Eddy Pineiro,1.4,1.6,1.6,5.9,NYJ,K,17,2021
Younghoe Koo,1.4,1.6,1.6,5.9,ATL,K,17,2021
Matthew Wright,1.4,1.7,0.9,5.3,JAC,K,17,2021
