player,field_goal,field_goal_att,XPT,fantasy_points,team,position,week,year
Ryan Succop,1.8,2.2,3.0,8.3,TB,K,15,2021
Matt Prater,1.7,2.0,3.2,8.2,ARI,K,15,2021
Nick Folk,2.0,2.3,2.2,8.1,NE,K,15,2021
Robbie Gould,1.7,2.0,3.0,8.1,SF,K,15,2021
Tyler Bass,1.7,2.1,2.8,7.9,BUF,K,15,2021
Matt Gay,1.8,2.0,2.6,7.9,LAR,K,15,2021
Chris Boswell,1.8,2.0,2.3,7.8,PIT,K,15,2021
Greg Zuerlein,1.8,2.1,2.4,7.7,DAL,K,15,2021
Harrison Butker,1.7,1.9,2.6,7.7,KC,K,15,2021
Jason Sanders,1.7,2.1,2.5,7.7,MIA,K,15,2021
Mason Crosby,1.7,2.0,2.7,7.7,GB,K,15,2021
Jake Elliott,2.0,2.2,1.8,7.7,PHI,K,15,2021
Randy Bullock,1.8,2.1,2.0,7.5,TEN,K,15,2021
Greg Joseph,1.7,1.9,2.4,7.4,MIN,K,15,2021
Daniel Carlson,1.7,2.0,2.1,7.3,LV,K,15,2021
Cairo Santos,1.7,1.9,2.1,7.1,CHI,K,15,2021
Brandon McManus,1.5,1.8,2.3,6.9,DEN,K,15,2021
Dustin Hopkins,1.4,1.6,2.6,6.9,LAC,K,15,2021
Justin Tucker,1.6,1.8,2.0,6.9,BAL,K,15,2021
Evan McPherson,1.7,1.9,1.9,6.9,CIN,K,15,2021
Younghoe Koo,1.6,1.8,1.9,6.8,ATL,K,15,2021
Michael Badgley,1.4,1.7,2.4,6.7,IND,K,15,2021
Chase McLaughlin,1.5,1.8,2.0,6.6,CLE,K,15,2021
Jason Myers,1.5,1.8,1.8,6.2,SEA,K,15,2021
Ka'imi Fairbairn,1.5,1.7,1.7,6.2,HOU,K,15,2021
Eddy Pineiro,1.6,1.8,1.4,6.1,NYJ,K,15,2021
Graham Gano,1.4,1.5,1.7,5.8,NYG,K,15,2021
Matthew Wright,1.4,1.6,1.6,5.7,JAC,K,15,2021
Brian Johnson,1.3,1.4,1.5,5.4,WAS,K,15,2021
Riley Patterson,1.3,1.4,1.6,5.4,DET,K,15,2021
