player,fg,fg_att,XPT,fantasy_points,team,position,week,year
Ryan Succop,2.0,2.4,2.8,8.8,TB,K,18,2021
Harrison Butker,1.9,2.2,2.6,8.3,KC,K,18,2021
Matt Prater,1.8,2.2,2.7,8.1,ARI,K,18,2021
Randy Bullock,1.8,2.2,2.6,8.1,TEN,K,18,2021
Michael Badgley,1.8,2.2,2.8,8.1,IND,K,18,2021
Mason Crosby,1.7,2.1,2.7,7.9,GB,K,18,2021
Greg Zuerlein,1.7,2.2,2.6,7.8,DAL,K,18,2021
Robbie Gould,1.8,2.1,2.3,7.8,SF,K,18,2021
Dustin Hopkins,1.7,2.1,2.5,7.7,LAC,K,18,2021
Tyler Bass,1.5,1.8,3.1,7.7,BUF,K,18,2021
Evan McPherson,1.8,2.0,2.2,7.6,CIN,K,18,2021
Greg Joseph,1.7,2.0,2.3,7.5,MIN,K,18,2021
Matt Gay,1.7,2.0,2.5,7.5,LAR,K,18,2021
Nick Folk,1.6,1.9,2.4,7.3,NE,K,18,2021
Justin Tucker,1.7,1.9,2.3,7.3,BAL,K,18,2021
Daniel Carlson,1.6,1.9,2.3,7.2,LV,K,18,2021
Cairo Santos,1.7,2.0,1.9,7.1,CHI,K,18,2021
Jake Elliott,1.8,2.1,1.7,7.1,PHI,K,18,2021
Joey Slye,1.7,2.0,1.9,7.1,WAS,K,18,2021
Jason Myers,1.7,2.0,2.0,7.0,SEA,K,18,2021
Dominik Eberle,2.0,2.0,1.0,7.0,GB,K,18,2021
Chris Boswell,1.7,2.0,1.7,6.9,PIT,K,18,2021
Brian Johnson,1.6,1.7,2.0,6.6,WAS,K,18,2021
Jason Sanders,1.6,2.0,1.7,6.6,MIA,K,18,2021
Riley Patterson,1.6,1.9,1.8,6.5,DET,K,18,2021
Chris Naggar,1.5,1.7,2.0,6.5,DAL,K,18,2021
Younghoe Koo,1.5,1.7,1.8,6.4,ATL,K,18,2021
Ka'imi Fairbairn,1.5,1.9,1.6,6.2,HOU,K,18,2021
Brandon McManus,1.5,1.7,1.8,6.2,DEN,K,18,2021
Chase McLaughlin,1.4,1.6,1.9,6.2,CLE,K,18,2021
Matthew Wright,1.5,1.8,1.2,5.8,JAC,K,18,2021
Eddy Pineiro,1.5,1.7,1.2,5.8,NYJ,K,18,2021
Graham Gano,1.5,1.7,1.3,5.7,NYG,K,18,2021
Lirim Hajrullahu,1.4,1.6,1.5,5.6,CAR,K,18,2021
