rank,player,receiving_rec,receiving_tgt,receiving_yds,receiving_avg,receiving_lg,receiving_20p,receiving_td,rushing_att,rushing_yds,rushing_td,lst,games,fantasy_points,fantasy_points_per_game,rost,team,position,year
96.0,Seth Roberts,21.0,35.0,271.0,12.9,33.0,3.0,2.0,0.0,0.0,0.0,0.0,16.0,39.1,2.4,0.0,BAL,WR,2019
97.0,Miles Boykin,13.0,22.0,198.0,15.2,50.0,2.0,3.0,0.0,0.0,0.0,0.0,16.0,37.8,2.4,0.0,BAL,WR,2019
98.0,Kelvin Harmon,30.0,44.0,365.0,12.2,30.0,8.0,0.0,0.0,0.0,0.0,0.0,16.0,36.9,2.3,0.0,WAS,WR,2019
100.0,Isaiah McKenzie,27.0,39.0,254.0,9.4,46.0,3.0,1.0,8.0,49.0,0.0,0.0,15.0,36.3,2.4,5.5,BUF,WR,2019
101.0,Jakobi Meyers,26.0,41.0,359.0,13.8,35.0,9.0,0.0,0.0,0.0,0.0,0.0,15.0,35.9,2.4,66.5,NE,WR,2019
102.0,DaeSean Hamilton,28.0,52.0,297.0,10.6,28.0,4.0,1.0,0.0,0.0,0.0,0.0,16.0,35.7,2.2,0.0,DEN,WR,2019
103.0,Tavon Austin,13.0,24.0,177.0,13.6,59.0,2.0,1.0,6.0,47.0,1.0,0.0,14.0,34.4,2.5,0.1,DAL,WR,2019
104.0,Marvin Hall,7.0,11.0,261.0,37.3,58.0,6.0,1.0,1.0,7.0,0.0,0.0,9.0,32.8,3.6,0.0,DET,WR,2019
105.0,Jaron Brown,16.0,28.0,220.0,13.8,48.0,3.0,2.0,0.0,0.0,0.0,1.0,14.0,32.0,2.3,0.0,SEA,WR,2019
106.0,Greg Ward,28.0,40.0,254.0,9.1,38.0,1.0,1.0,1.0,5.0,0.0,0.0,7.0,31.9,4.6,0.1,PHI,WR,2019
107.0,Vyncint Smith,17.0,31.0,225.0,13.2,37.0,4.0,0.0,3.0,52.0,1.0,1.0,14.0,31.7,2.3,0.0,NYJ,WR,2019
108.0,Keke Coutee,22.0,36.0,254.0,11.5,51.0,4.0,0.0,2.0,14.0,1.0,1.0,10.0,30.8,3.1,0.0,HOU,WR,2019
109.0,Malik Turner,15.0,22.0,245.0,16.3,33.0,6.0,1.0,0.0,0.0,0.0,0.0,15.0,30.5,2.0,0.1,SEA,WR,2019
110.0,Pharoh Cooper,25.0,33.0,243.0,9.7,28.0,4.0,1.0,1.0,2.0,0.0,0.0,13.0,30.5,2.3,0.1,CIN,WR,2019
111.0,Chester Rogers,16.0,28.0,179.0,11.2,27.0,2.0,2.0,1.0,18.0,0.0,1.0,12.0,29.7,2.5,0.6,IND,WR,2019
112.0,Jarius Wright,28.0,58.0,296.0,10.6,33.0,3.0,0.0,1.0,-7.0,0.0,0.0,16.0,28.9,1.8,0.0,CAR,WR,2019
113.0,Justin Watson,15.0,26.0,159.0,10.6,17.0,0.0,2.0,0.0,0.0,0.0,0.0,16.0,27.9,1.7,0.0,TB,WR,2019
114.0,DeSean Jackson,9.0,10.0,159.0,17.7,53.0,2.0,2.0,0.0,0.0,0.0,0.0,3.0,27.9,9.3,4.4,PHI,WR,2019
115.0,Jake Kumerow,12.0,21.0,219.0,18.3,49.0,3.0,1.0,0.0,0.0,0.0,0.0,14.0,27.9,2.0,0.1,GB,WR,2019
117.0,N'Keal Harry,12.0,24.0,105.0,8.8,18.0,0.0,2.0,5.0,49.0,0.0,0.0,7.0,27.4,3.9,0.2,NE,WR,2019
119.0,Andy Isabella,9.0,13.0,189.0,21.0,88.0,2.0,1.0,4.0,15.0,0.0,0.0,15.0,26.4,1.8,0.1,ARI,WR,2019
120.0,Marquise Goodwin,12.0,21.0,186.0,15.5,38.0,3.0,1.0,1.0,15.0,0.0,0.0,9.0,26.1,2.9,0.3,SF,WR,2019
121.0,Damion Ratley,12.0,24.0,200.0,16.7,46.0,4.0,1.0,0.0,0.0,0.0,0.0,13.0,26.0,2.0,0.0,CLE,WR,2019
122.0,Trey Quinn,26.0,47.0,198.0,7.6,19.0,0.0,1.0,0.0,0.0,0.0,1.0,12.0,25.8,2.2,0.0,WAS,WR,2019
123.0,Isaiah Ford,23.0,35.0,244.0,10.6,28.0,2.0,0.0,1.0,11.0,0.0,0.0,9.0,25.5,2.8,0.0,MIA,WR,2019
124.0,KeeSean Johnson,21.0,42.0,187.0,8.9,31.0,1.0,1.0,1.0,3.0,0.0,1.0,10.0,25.0,2.5,0.0,ARI,WR,2019
125.0,Javon Wims,18.0,39.0,186.0,10.3,37.0,1.0,1.0,0.0,0.0,0.0,0.0,16.0,24.6,1.5,0.0,CHI,WR,2019
126.0,Cordarrelle Patterson,11.0,17.0,83.0,7.5,33.0,1.0,0.0,17.0,103.0,0.0,0.0,16.0,24.6,1.5,95.1,CHI,WR,2019
127.0,Laquon Treadwell,9.0,16.0,184.0,20.4,58.0,3.0,1.0,0.0,0.0,0.0,0.0,14.0,24.4,1.7,2.5,MIN,WR,2019
128.0,Dante Pettis,11.0,24.0,109.0,9.9,21.0,2.0,2.0,0.0,0.0,0.0,0.0,11.0,23.5,2.1,0.1,SF,WR,2019
130.0,Byron Pringle,12.0,16.0,170.0,14.2,28.0,3.0,1.0,0.0,0.0,0.0,0.0,16.0,23.0,1.4,2.7,KC,WR,2019
132.0,Duke Williams,12.0,19.0,166.0,13.8,41.0,3.0,1.0,0.0,0.0,0.0,0.0,4.0,22.6,5.7,0.0,BUF,WR,2019
133.0,Zay Jones,27.0,45.0,216.0,8.0,23.0,2.0,0.0,1.0,3.0,0.0,0.0,15.0,21.9,1.5,6.0,CIN,WR,2019
134.0,Tim Patrick,16.0,31.0,218.0,13.6,38.0,3.0,0.0,0.0,0.0,0.0,0.0,8.0,21.8,2.7,17.6,DEN,WR,2019
135.0,Kalif Raymond,9.0,12.0,170.0,18.9,52.0,3.0,1.0,1.0,-5.0,0.0,1.0,8.0,20.5,2.6,3.3,TEN,WR,2019
136.0,Trevor Davis,8.0,11.0,111.0,13.9,28.0,2.0,0.0,4.0,73.0,1.0,2.0,14.0,20.4,1.5,0.0,3TM,WR,2019
138.0,Parris Campbell,18.0,24.0,127.0,7.1,27.0,1.0,1.0,4.0,34.0,0.0,1.0,7.0,20.1,2.9,4.5,IND,WR,2019
139.0,Justin Hardy,19.0,26.0,195.0,10.3,23.0,2.0,0.0,0.0,0.0,0.0,0.0,16.0,19.5,1.2,0.0,ATL,WR,2019
140.0,Dontrelle Inman,12.0,21.0,181.0,15.1,28.0,4.0,0.0,0.0,0.0,0.0,0.0,7.0,18.1,2.6,0.0,CIN,WR,2019
141.0,Olamide Zaccheaus,3.0,5.0,115.0,38.3,93.0,1.0,1.0,0.0,0.0,0.0,0.0,10.0,17.5,1.8,0.8,ATL,WR,2019
142.0,Devin Smith,5.0,9.0,113.0,22.6,51.0,2.0,1.0,0.0,0.0,0.0,0.0,4.0,17.3,4.3,0.0,DAL,WR,2019
143.0,DeAndre Carter,11.0,14.0,162.0,14.7,46.0,4.0,0.0,0.0,0.0,0.0,1.0,16.0,14.2,0.9,1.8,HOU,WR,2019
144.0,Keelan Doss,11.0,14.0,133.0,12.1,31.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,13.3,1.7,0.0,OAK,WR,2019
145.0,Mack Hollins,10.0,23.0,125.0,12.5,20.0,1.0,0.0,0.0,0.0,0.0,0.0,16.0,12.5,0.8,0.2,CIN,WR,2019
146.0,Deon Cain,9.0,20.0,124.0,13.8,35.0,3.0,0.0,0.0,0.0,0.0,0.0,13.0,12.4,1.0,0.0,CIN,WR,2019
147.0,Antonio Brown,4.0,8.0,56.0,14.0,20.0,1.0,1.0,1.0,5.0,0.0,0.0,1.0,12.1,12.1,84.1,NE,WR,2019
148.0,Rashard Higgins,4.0,11.0,55.0,13.8,35.0,1.0,1.0,0.0,0.0,0.0,0.0,10.0,11.5,1.2,0.7,CLE,WR,2019
149.0,Brandon Zylstra,8.0,12.0,106.0,13.3,40.0,2.0,0.0,0.0,0.0,0.0,0.0,8.0,10.6,1.3,0.1,CAR,WR,2019
151.0,Marcell Ateman,5.0,10.0,116.0,23.2,36.0,3.0,0.0,0.0,0.0,0.0,1.0,12.0,9.6,0.8,0.0,OAK,WR,2019
153.0,Braxton Berrios,6.0,13.0,115.0,19.2,69.0,2.0,0.0,0.0,0.0,0.0,1.0,16.0,9.5,0.6,6.3,NYJ,WR,2019
155.0,Robert Foster,3.0,18.0,64.0,21.3,24.0,3.0,0.0,2.0,29.0,0.0,0.0,13.0,9.3,0.7,0.0,BUF,WR,2019
156.0,Christian Blake,11.0,24.0,91.0,8.3,13.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.1,1.0,0.0,ATL,WR,2019
157.0,Antonio Callaway,8.0,15.0,89.0,11.1,41.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,8.9,1.8,0.0,CLE,WR,2019
158.0,Damion Willis,9.0,16.0,82.0,9.1,17.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,8.2,0.8,0.0,CIN,WR,2019
159.0,Trent Sherfield,4.0,13.0,80.0,20.0,38.0,2.0,0.0,0.0,0.0,0.0,0.0,16.0,8.0,0.5,0.1,ARI,WR,2019
160.0,KhaDarel Hodge,4.0,10.0,76.0,19.0,41.0,1.0,0.0,0.0,0.0,0.0,0.0,16.0,7.6,0.5,0.1,CLE,WR,2019
161.0,Ventell Bryant,1.0,1.0,15.0,15.0,15.0,0.0,1.0,0.0,0.0,0.0,0.0,12.0,7.5,0.6,0.0,DAL,WR,2019
162.0,Chad Beebe,2.0,2.0,70.0,35.0,61.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,7.0,2.3,0.0,MIN,WR,2019
163.0,Riley Ridley,6.0,7.0,69.0,11.5,32.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,6.9,1.4,0.0,CHI,WR,2019
164.0,Chris Hogan,8.0,15.0,67.0,8.4,13.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,6.7,1.0,0.0,CAR,WR,2019
165.0,Tevin Jones,4.0,10.0,61.0,15.3,28.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,6.1,1.2,0.0,PIT,WR,2019
166.0,Chris Lacy,3.0,10.0,60.0,20.0,48.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,6.0,0.9,0.0,DET,WR,2019
167.0,Andre Patton,6.0,17.0,56.0,9.3,15.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,5.6,0.4,0.0,LAC,WR,2019
168.0,DeAndrew White,4.0,9.0,51.0,12.8,18.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,5.1,0.5,0.0,CAR,WR,2019
169.0,Deontay Burnett,2.0,4.0,48.0,24.0,41.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,4.8,2.4,0.0,PHI,WR,2019
171.0,Alexander Hollins,2.0,4.0,46.0,23.0,35.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,4.6,0.9,0.0,MIN,WR,2019
173.0,Geremy Davis,3.0,3.0,38.0,12.7,19.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,3.8,0.5,0.0,LAC,WR,2019
175.0,Ishmael Hyman,2.0,4.0,34.0,17.0,31.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,3.4,1.7,0.0,TB,WR,2019
176.0,Jordan Matthews,4.0,12.0,33.0,8.3,10.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.3,1.1,0.0,CIN,WR,2019
177.0,Devin Funchess,3.0,5.0,32.0,10.7,16.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.2,3.2,0.0,IND,WR,2019
178.0,C.J. Board,2.0,4.0,31.0,15.5,23.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,3.1,0.8,0.0,JAC,WR,2019
179.0,Travis Benjamin,6.0,16.0,30.0,5.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,0.6,0.0,LAC,WR,2019
180.0,Johnny Holton,3.0,15.0,21.0,7.0,18.0,0.0,0.0,1.0,9.0,0.0,0.0,16.0,3.0,0.2,0.0,PIT,WR,2019
181.0,Cody Core,3.0,5.0,28.0,9.3,11.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,2.8,0.2,0.0,NYG,WR,2019
182.0,Cam Sims,2.0,3.0,27.0,13.5,15.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.7,0.3,0.1,WAS,WR,2019
183.0,Da'Mari Scott,2.0,3.0,22.0,11.0,11.0,0.0,0.0,1.0,5.0,0.0,0.0,5.0,2.7,0.5,0.0,NYG,WR,2019
184.0,Andre Roberts,3.0,7.0,20.0,6.7,7.0,0.0,0.0,1.0,7.0,0.0,0.0,13.0,2.7,0.2,0.1,BUF,WR,2019
185.0,Ryan Switzer,8.0,11.0,27.0,3.4,8.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,2.7,0.3,0.0,PIT,WR,2019
186.0,Russell Shepard,3.0,8.0,25.0,8.3,12.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.5,0.8,0.0,NYG,WR,2019
187.0,Michael Crabtree,4.0,5.0,22.0,5.5,9.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.2,0.7,0.0,ARI,WR,2019
188.0,Fred Brown,2.0,3.0,21.0,10.5,16.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,2.1,0.2,0.0,DEN,WR,2019
189.0,Chris Moore,3.0,5.0,21.0,7.0,13.0,0.0,0.0,1.0,0.0,0.0,0.0,14.0,2.1,0.2,0.1,BAL,WR,2019
190.0,Josh Bellamy,2.0,3.0,20.0,10.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,0.3,0.0,NYJ,WR,2019
191.0,Marqise Lee,3.0,4.0,18.0,6.0,8.0,0.0,0.0,1.0,1.0,0.0,0.0,6.0,1.9,0.3,0.0,JAC,WR,2019
192.0,Donte Moncrief,4.0,15.0,18.0,4.5,11.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.8,0.2,0.0,CIN,WR,2019
194.0,Darius Jennings,2.0,5.0,17.0,8.5,11.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.7,0.2,0.0,TEN,WR,2019
195.0,Diontae Spencer,6.0,8.0,31.0,5.2,20.0,1.0,0.0,3.0,6.0,0.0,1.0,16.0,1.7,0.1,0.1,DEN,WR,2019
196.0,Robert Davis,2.0,5.0,17.0,8.5,11.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.7,0.3,0.0,CIN,WR,2019
197.0,Ashton Dulin,2.0,2.0,17.0,8.5,13.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,1.7,0.1,0.1,IND,WR,2019
198.0,Rashard Davis,1.0,1.0,16.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.6,1.6,0.0,TEN,WR,2019
199.0,Bobo Wilson,3.0,11.0,35.0,11.7,14.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,1.5,0.3,0.1,TB,WR,2019
200.0,Mike Thomas,2.0,5.0,14.0,7.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,1.4,0.1,0.1,LAR,WR,2019
201.0,Ryan Grant,4.0,9.0,14.0,3.5,9.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.4,0.7,0.0,OAK,WR,2019
202.0,Gunner Olszewski,2.0,4.0,34.0,17.0,29.0,1.0,0.0,0.0,0.0,0.0,1.0,8.0,1.4,0.2,0.1,NE,WR,2019
203.0,Cody Hollister,2.0,2.0,13.0,6.5,11.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.3,0.3,0.0,TEN,WR,2019
204.0,Jeff Smith,1.0,2.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.2,1.2,0.0,NYJ,WR,2019
205.0,John Ursua,1.0,1.0,11.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.1,0.4,0.0,SEA,WR,2019
206.0,De'Anthony Thomas,1.0,2.0,6.0,6.0,6.0,0.0,0.0,2.0,5.0,0.0,0.0,14.0,1.1,0.1,0.0,CIN,WR,2019
207.0,Austin Carr,1.0,4.0,9.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.9,0.1,0.0,NO,WR,2019
208.0,Dwayne Harris,1.0,1.0,7.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.7,0.2,0.0,OAK,WR,2019
209.0,Jaleel Scott,1.0,3.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.6,0.2,0.0,BAL,WR,2019
210.0,Krishawn Hogan,1.0,1.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.4,0.1,0.0,NO,WR,2019
318.0,Rico Gafford,2.0,2.0,66.0,33.0,49.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,OAK,WR,2019
486.0,Darrius Shepherd,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,-1.9,-0.3,0.0,GB,WR,2019
489.0,Quincy Enunwa,1.0,3.0,-4.0,-4.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,-2.4,-2.4,0.0,NYJ,WR,2019
490.0,Michael Walker,2.0,3.0,15.0,7.5,9.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,-2.5,-0.4,0.0,JAC,WR,2019
