Team,GP,REC,YDS,AVG,YDS/G,LNG,TD,FUM,LST
Washington,16,330,"3,393",10.3,212.1,56,21,1,0
Los Angeles Rams,16,347,"3,401",9.8,212.6,59,17,1,0
Pittsburgh Steelers,16,298,"3,494",11.7,218.4,73,22,4,3
San Francisco 49ers,16,341,"3,526",10.3,220.4,70,25,7,3
Los Angeles Chargers,16,340,"3,715",10.9,232.2,54,29,2,0
New England Patriots,16,333,"3,722",11.2,232.6,54,22,2,1
New Orleans Saints,16,333,"3,759",11.3,234.9,74,28,0,0
Green Bay Packers,16,346,"3,793",11.0,237.1,53,23,5,3
Baltimore Ravens,16,380,"3,808",10.0,238.0,50,22,11,4
Dallas Cowboys,16,328,"3,820",11.6,238.8,81,34,2,2
Chicago Bears,16,350,"3,939",11.3,246.2,72,28,4,2
Cincinnati Bengals,16,340,"3,942",11.6,246.4,55,32,6,3
Buffalo Bills,16,369,"3,946",10.7,246.6,69,23,5,4
Arizona Cardinals,16,365,"3,949",10.8,246.8,76,26,1,1
Kansas City Chiefs,16,349,"3,968",11.4,248.0,72,29,8,3
Carolina Panthers,16,398,"4,024",10.1,251.5,50,28,3,3
Denver Broncos,16,374,"4,089",10.9,255.6,84,21,4,3
Philadelphia Eagles,16,364,"4,122",11.3,257.6,69,27,3,2
Indianapolis Colts,16,369,"4,127",11.2,257.9,73,24,6,3
New York Giants,16,388,"4,129",10.6,258.1,68,22,8,4
Cleveland Browns,16,371,"4,224",11.4,264.0,47,31,4,2
Minnesota Vikings,16,358,"4,267",11.9,266.7,61,30,2,1
Tampa Bay Buccaneers,16,426,"4,311",10.1,269.4,75,29,4,3
Jacksonville Jaguars,16,370,"4,322",11.7,270.1,78,34,4,3
Houston Texans,16,377,"4,325",11.5,270.3,73,30,1,0
Las Vegas Raiders,16,370,"4,341",11.7,271.3,92,28,3,2
Miami Dolphins,16,343,"4,373",12.7,273.3,85,21,5,4
Tennessee Titans,16,423,"4,593",10.9,287.1,75,36,5,3
New York Jets,16,418,"4,595",11.0,287.2,54,34,4,2
Detroit Lions,16,383,"4,753",12.4,297.1,75,38,7,1
Seattle Seahawks,16,450,"4,811",10.7,300.7,52,23,2,1
Atlanta Falcons,16,425,"4,918",11.6,307.4,58,34,4,1
