Team,GP,TOTAL,RUSH,PASS,PEN,MADE,ATT,PCT,MADE,ATT,PCT,TOTAL,YDS
Buffalo Bills,16,397,119,240,38,93,187,49.7,8,10,80.0,102,941
Kansas City Chiefs,16,397,110,255,32,95,194,49.0,9,16,56.3,105,919
Minnesota Vikings,16,383,139,212,32,74,181,40.9,13,23,56.5,82,650
Tennessee Titans,16,381,142,203,36,84,182,46.2,10,16,62.5,86,783
Arizona Cardinals,16,381,136,211,34,80,202,39.6,17,25,68.0,113,868
Los Angeles Chargers,16,373,111,226,36,99,224,44.2,12,25,48.0,85,710
Dallas Cowboys,16,371,115,231,25,87,215,40.5,17,31,54.8,96,849
New Orleans Saints,16,367,147,199,21,93,208,44.7,11,16,68.8,98,"1,005"
Atlanta Falcons,16,366,86,243,37,97,221,43.9,15,26,57.7,83,736
Indianapolis Colts,16,364,129,201,34,78,197,39.6,16,26,61.5,94,899
Tampa Bay Buccaneers,16,364,82,238,44,83,191,43.5,8,14,57.1,84,715
Las Vegas Raiders,16,359,121,206,32,91,198,46.0,16,21,76.2,98,856
Green Bay Packers,16,358,114,216,28,89,180,49.4,13,21,61.9,84,684
Seattle Seahawks,16,356,111,216,29,76,189,40.2,8,14,57.1,84,662
Cleveland Browns,16,355,133,195,27,88,196,44.9,8,24,33.3,100,870
Los Angeles Rams,16,352,123,206,23,98,226,43.4,8,17,47.1,71,655
Detroit Lions,16,350,93,220,37,79,192,41.2,10,20,50.0,95,860
San Francisco 49ers,16,350,101,217,32,77,197,39.1,6,15,40.0,85,731
Miami Dolphins,16,345,100,207,38,78,202,38.6,8,10,80.0,74,635
Philadelphia Eagles,16,336,114,177,45,82,220,37.3,15,35,42.9,107,853
Chicago Bears,16,335,93,218,24,71,205,34.6,17,28,60.7,88,777
Carolina Panthers,16,335,110,192,33,76,195,39.0,15,27,55.6,95,752
New England Patriots,16,332,143,157,32,76,186,40.9,9,17,52.9,62,534
Baltimore Ravens,16,327,166,142,19,101,207,48.8,12,19,63.2,104,961
Houston Texans,16,326,83,222,21,83,193,43.0,9,16,56.3,80,619
Pittsburgh Steelers,16,322,81,206,35,97,230,42.2,10,19,52.6,81,691
Washington,16,322,108,184,30,88,225,39.1,11,19,57.9,87,697
Cincinnati Bengals,16,318,92,201,25,77,213,36.2,19,27,70.4,83,675
Jacksonville Jaguars,16,310,80,205,25,84,207,40.6,7,26,26.9,107,"1,071"
Denver Broncos,16,308,94,176,38,82,212,38.7,4,15,26.7,81,670
New York Giants,16,297,91,178,28,72,198,36.4,14,22,63.6,81,634
New York Jets,16,269,94,146,29,70,206,34.0,7,18,38.9,101,952
