Team,GP,ATT,YDS,AVG,YDS/G,LNG,TD,FUM,LST
Baltimore Ravens,16,555,"3,071",5.5,191.9,72,24,11,5
Tennessee Titans,16,521,"2,690",5.2,168.1,94,26,5,2
Cleveland Browns,16,495,"2,374",4.8,148.4,59,21,7,3
New England Patriots,16,502,"2,346",4.7,146.6,49,20,8,1
Minnesota Vikings,16,468,"2,283",4.9,142.7,70,20,5,3
New Orleans Saints,16,494,"2,265",4.6,141.6,49,30,9,3
Arizona Cardinals,16,479,"2,237",4.7,139.8,69,22,9,1
Green Bay Packers,16,443,"2,118",4.8,132.4,77,16,4,1
Philadelphia Eagles,16,403,"2,027",5.0,126.7,82,16,15,6
Los Angeles Rams,16,473,"2,018",4.3,126.1,61,19,4,3
Indianapolis Colts,16,459,"1,996",4.3,124.8,62,20,1,1
Seattle Seahawks,16,411,"1,971",4.8,123.2,50,15,6,2
Denver Broncos,16,442,"1,918",4.3,119.9,65,13,7,2
Las Vegas Raiders,16,457,"1,916",4.2,119.8,43,20,9,4
San Francisco 49ers,16,437,"1,889",4.3,118.1,80,19,6,3
Kansas City Chiefs,16,403,"1,799",4.5,112.4,32,13,5,1
Dallas Cowboys,16,430,"1,788",4.2,111.8,42,14,7,5
Los Angeles Chargers,16,466,"1,784",3.8,111.5,36,12,8,2
New York Giants,16,399,"1,768",4.4,110.5,80,13,5,3
Buffalo Bills,16,411,"1,723",4.2,107.7,51,16,6,5
Carolina Panthers,16,407,"1,704",4.2,106.5,45,19,7,2
Miami Dolphins,16,428,"1,688",3.9,105.5,31,15,5,4
New York Jets,16,406,"1,683",4.1,105.2,46,9,2,1
Cincinnati Bengals,16,411,"1,668",4.1,104.3,55,13,8,5
Chicago Bears,16,393,"1,647",4.2,102.9,80,12,1,0
Washington,16,400,"1,611",4.0,100.7,40,18,3,0
Atlanta Falcons,16,409,"1,532",3.7,95.8,62,13,5,3
Tampa Bay Buccaneers,16,369,"1,519",4.1,94.9,98,16,3,1
Jacksonville Jaguars,16,337,"1,519",4.5,94.9,47,9,3,1
Detroit Lions,16,367,"1,499",4.1,93.7,54,17,5,5
Houston Texans,16,344,"1,466",4.3,91.6,48,10,7,4
Pittsburgh Steelers,16,373,"1,351",3.6,84.4,59,12,7,2
