Team,GP,ATT,YDS,AVG,YDS/G,LNG,TD,FUM,LST
Tampa Bay Buccaneers,16,358,"1,289",3.6,80.6,62,10,5,3
Indianapolis Colts,16,390,"1,448",3.7,90.5,31,16,4,3
Los Angeles Rams,16,388,"1,460",3.8,91.3,27,12,7,5
New Orleans Saints,16,390,"1,502",3.9,93.9,82,11,7,2
Seattle Seahawks,16,392,"1,529",3.9,95.6,60,18,6,2
Atlanta Falcons,16,380,"1,677",4.4,104.8,45,15,8,3
San Francisco 49ers,16,430,"1,703",4.0,106.4,61,12,8,4
Baltimore Ravens,16,382,"1,740",4.6,108.8,74,12,7,5
Cleveland Browns,16,412,"1,773",4.3,110.8,44,16,12,4
New York Giants,16,432,"1,782",4.1,111.4,56,14,10,3
Pittsburgh Steelers,16,414,"1,783",4.3,111.4,74,13,6,2
New York Jets,16,445,"1,792",4.0,112.0,80,16,11,4
Green Bay Packers,16,397,"1,805",4.5,112.8,57,16,3,2
Washington,16,428,"1,805",4.2,112.8,50,14,7,4
Chicago Bears,16,438,"1,814",4.1,113.4,37,11,6,3
Miami Dolphins,16,412,"1,862",4.5,116.4,37,17,5,1
Buffalo Bills,16,414,"1,914",4.6,119.6,33,21,5,2
Los Angeles Chargers,16,427,"1,917",4.5,119.8,55,17,8,3
Tennessee Titans,16,427,"1,933",4.5,120.8,59,18,10,4
Carolina Panthers,16,408,"1,936",4.7,121.0,98,17,6,3
Kansas City Chiefs,16,433,"1,954",4.5,122.1,65,14,1,1
Arizona Cardinals,16,436,"2,008",4.6,125.5,38,13,5,2
Philadelphia Eagles,16,481,"2,012",4.2,125.8,80,20,5,1
Las Vegas Raiders,16,438,"2,013",4.6,125.8,62,24,2,0
Denver Broncos,16,434,"2,080",4.8,130.0,59,22,6,2
New England Patriots,16,464,"2,103",4.5,131.4,35,17,2,1
Minnesota Vikings,16,472,"2,151",4.6,134.4,42,19,5,2
Detroit Lions,16,487,"2,158",4.4,134.9,75,27,5,1
Cincinnati Bengals,16,463,"2,368",5.1,148.0,72,13,4,2
Jacksonville Jaguars,16,517,"2,452",4.7,153.3,56,23,4,2
Dallas Cowboys,16,510,"2,541",5.0,158.8,69,20,9,5
Houston Texans,16,493,"2,564",5.2,160.3,94,24,4,3
