team,games,passing_cmp,passing_att,passing_cmp_percent,passing_yds,passing_ya,passing_yds_per_game,passing_longest_pass,passing_td,passing_int,passing_sack,sack_yards_lost,passer_rating,year
KC,16,420,630,66.7,4854,7.9,303.4,75,40,7,24,151,107.3,2020
TB,16,410,626,65.5,4626,7.6,289.1,50,42,12,22,150,102.8,2020
BUF,16,410,596,68.8,4620,8.0,288.8,56,40,11,27,166,107.5,2020
HOU,16,383,546,70.1,4538,8.9,283.6,77,33,7,50,305,112.3,2020
ATL,16,408,628,65.0,4363,7.4,272.7,63,27,11,41,257,93.9,2020
LAC,16,413,627,65.9,4329,7.3,270.6,72,31,10,34,219,97.0,2020
LV,16,369,551,67.0,4217,8.0,263.6,85,28,10,28,166,100.4,2020
DAL,16,413,639,64.6,4161,7.1,260.1,69,25,13,44,349,89.9,2020
GB,16,372,526,70.7,4106,8.2,256.6,78,48,5,21,193,121.5,2020
DET,16,374,582,64.3,4104,7.6,256.5,73,27,13,42,293,93.3,2020
IND,16,371,552,67.2,4053,7.6,253.3,55,24,11,21,133,95.9,2020
SF,16,371,570,65.1,4033,7.6,252.1,76,25,17,39,287,90.1,2020
LAR,16,392,590,66.4,4014,7.1,250.9,56,20,14,25,169,88.4,2020
MIN,16,349,516,67.6,4009,8.3,250.6,71,35,13,39,256,105.0,2020
PIT,16,428,656,65.2,4003,6.3,250.2,84,35,11,14,126,93.5,2020
SEA,16,388,563,68.9,3941,7.5,246.3,62,40,13,48,304,105.0,2020
ARI,16,387,575,67.3,3916,7.1,244.8,80,27,13,29,186,94.1,2020
CAR,16,373,550,67.8,3888,7.5,243.0,75,16,16,36,241,87.5,2020
NO,16,370,522,70.9,3758,7.6,234.9,52,28,8,29,187,104.1,2020
MIA,16,370,559,66.2,3736,7.0,233.5,70,24,13,34,201,91.2,2020
JAC,16,387,616,62.8,3699,6.4,231.2,73,25,16,44,256,83.9,2020
CHI,16,402,614,65.5,3655,6.4,228.4,53,26,16,36,270,86.5,2020
TEN,16,316,485,65.2,3653,7.9,228.3,75,33,7,25,173,105.9,2020
CLE,16,315,501,62.9,3539,7.4,221.2,75,27,8,26,162,96.6,2020
WAS,16,389,601,64.7,3465,6.3,216.6,68,16,16,50,331,80.1,2020
DEN,16,317,556,57.0,3451,6.6,215.7,92,21,23,32,222,72.5,2020
CIN,16,372,581,64.0,3448,6.5,215.5,72,19,11,48,345,85.7,2020
PHI,16,334,598,55.9,3327,6.2,207.9,81,22,20,65,401,72.9,2020
NYG,16,321,517,62.1,3026,6.5,189.1,53,12,11,50,310,79.6,2020
NE,16,283,440,64.3,2890,7.1,180.6,50,12,14,37,234,81.1,2020
NYJ,16,292,499,58.5,2796,6.2,174.8,69,16,14,43,319,75.9,2020
BAL,16,257,406,63.3,2739,7.2,171.2,70,27,11,32,180,95.7,2020
