Team,GP,REC,YDS,AVG,YDS/G,LNG,TD,FUM,LST
Kansas City Chiefs,16,420,"5,005",11.9,312.8,75,40,7,5
Houston Texans,16,383,"4,843",12.6,302.7,77,33,7,3
Buffalo Bills,16,410,"4,786",11.7,299.1,56,40,3,2
Tampa Bay Buccaneers,16,410,"4,776",11.6,298.5,50,42,5,3
Atlanta Falcons,16,408,"4,620",11.3,288.8,63,27,5,2
Los Angeles Chargers,16,413,"4,548",11.0,284.3,72,31,3,2
Dallas Cowboys,16,413,"4,510",10.9,281.9,69,25,3,3
Detroit Lions,16,374,"4,397",11.8,274.8,73,27,1,0
Las Vegas Raiders,16,369,"4,383",11.9,273.9,85,28,4,4
San Francisco 49ers,16,371,"4,320",11.6,270.0,76,25,1,0
Green Bay Packers,16,372,"4,299",11.6,268.7,78,48,3,2
Minnesota Vikings,16,349,"4,265",12.2,266.6,71,35,4,2
Seattle Seahawks,16,388,"4,245",10.9,265.3,62,40,3,1
Indianapolis Colts,16,371,"4,186",11.3,261.6,55,24,3,2
Los Angeles Rams,16,392,"4,183",10.7,261.4,56,20,4,2
Pittsburgh Steelers,16,428,"4,129",9.6,258.1,84,35,8,3
Carolina Panthers,16,373,"4,129",11.1,258.1,75,16,3,1
Arizona Cardinals,16,387,"4,102",10.6,256.4,80,27,6,3
Jacksonville Jaguars,16,387,"3,955",10.2,247.2,73,25,2,1
New Orleans Saints,16,370,"3,945",10.7,246.6,52,28,4,1
Miami Dolphins,16,370,"3,937",10.6,246.1,70,24,3,1
Chicago Bears,16,402,"3,925",9.8,245.3,53,26,5,3
Tennessee Titans,16,316,"3,826",12.1,239.1,75,33,3,2
Washington,16,389,"3,796",9.8,237.3,68,16,7,4
Cincinnati Bengals,16,372,"3,793",10.2,237.1,72,19,4,3
Philadelphia Eagles,16,334,"3,728",11.2,233.0,81,22,1,0
Cleveland Browns,16,315,"3,701",11.7,231.3,75,27,6,2
Denver Broncos,16,317,"3,673",11.6,229.6,92,21,6,3
New York Giants,16,321,"3,336",10.4,208.5,53,12,3,2
New England Patriots,16,283,"3,124",11.0,195.3,50,12,6,3
New York Jets,16,292,"3,115",10.7,194.7,69,16,2,2
Baltimore Ravens,16,257,"2,919",11.4,182.4,70,27,3,0
