rank,player,receiving_rec,receiving_tgt,receiving_yds,receiving_avg,receiving_lg,receiving_20p,receiving_td,rushing_att,rushing_yds,rushing_td,lst,games,fantasy_points,fantasy_points_per_game,rost,position,year,team
1.0,DeAndre Hopkins,96.0,174.0,1378.0,14.4,72.0,24.0,13.0,0.0,0.0,0.0,1.0,15.0,213.8,14.3,69.3,WR,2017,team
2.0,Antonio Brown,101.0,163.0,1533.0,15.2,57.0,27.0,9.0,0.0,0.0,0.0,0.0,14.0,209.3,15.0,84.1,WR,2017,team
3.0,Keenan Allen,102.0,159.0,1393.0,13.7,51.0,18.0,6.0,2.0,9.0,0.0,0.0,16.0,182.2,11.4,99.3,WR,2017,team
4.0,Tyreek Hill,75.0,105.0,1183.0,15.8,79.0,15.0,7.0,17.0,59.0,0.0,0.0,15.0,164.2,10.9,100.0,WR,2017,team
6.0,Julio Jones,88.0,148.0,1444.0,16.4,53.0,23.0,3.0,1.0,15.0,0.0,0.0,16.0,163.9,10.2,60.7,WR,2017,team
7.0,Brandin Cooks,65.0,114.0,1082.0,16.6,64.0,18.0,7.0,9.0,40.0,0.0,0.0,16.0,156.2,9.8,92.7,WR,2017,team
8.0,Michael Thomas,104.0,149.0,1245.0,12.0,43.0,22.0,5.0,0.0,0.0,0.0,0.0,16.0,154.5,9.7,20.6,WR,2017,team
9.0,Larry Fitzgerald,109.0,161.0,1156.0,10.6,37.0,16.0,6.0,0.0,0.0,0.0,1.0,16.0,152.4,9.5,0.3,WR,2017,team
10.0,A.J. Green,75.0,143.0,1078.0,14.4,77.0,9.0,8.0,0.0,0.0,0.0,2.0,16.0,151.8,9.5,51.8,WR,2017,team
11.0,Doug Baldwin,75.0,116.0,991.0,13.2,54.0,18.0,8.0,2.0,-8.0,0.0,0.0,16.0,150.3,9.4,0.0,WR,2017,team
12.0,Adam Thielen,91.0,142.0,1276.0,14.0,65.0,20.0,4.0,1.0,11.0,0.0,2.0,16.0,148.8,9.3,82.7,WR,2017,team
13.0,Davante Adams,74.0,117.0,885.0,12.0,55.0,8.0,10.0,0.0,0.0,0.0,0.0,14.0,148.5,10.6,100.0,WR,2017,team
14.0,Jarvis Landry,112.0,161.0,987.0,8.8,49.0,6.0,9.0,1.0,-7.0,0.0,2.0,16.0,148.0,9.3,72.5,WR,2017,team
15.0,Alshon Jeffery,57.0,120.0,789.0,13.8,53.0,8.0,9.0,0.0,0.0,0.0,0.0,16.0,138.9,8.7,0.1,WR,2017,team
16.0,Robby Anderson,63.0,114.0,941.0,14.9,69.0,17.0,7.0,3.0,9.0,0.0,0.0,16.0,137.0,8.6,42.2,WR,2017,team
17.0,Stefon Diggs,64.0,95.0,849.0,13.3,59.0,14.0,8.0,8.0,13.0,0.0,0.0,14.0,134.2,9.6,100.0,WR,2017,team
18.0,JuJu Smith-Schuster,58.0,79.0,917.0,15.8,97.0,12.0,7.0,0.0,0.0,0.0,0.0,14.0,133.7,9.6,18.5,WR,2017,team
19.0,Golden Tate,92.0,120.0,1003.0,10.9,71.0,10.0,5.0,5.0,22.0,0.0,1.0,16.0,132.5,8.3,0.1,WR,2017,team
20.0,Mike Evans,71.0,136.0,1001.0,14.1,42.0,9.0,5.0,0.0,0.0,0.0,0.0,15.0,132.1,8.8,97.8,WR,2017,team
21.0,Devin Funchess,63.0,111.0,840.0,13.3,44.0,15.0,8.0,0.0,0.0,0.0,0.0,16.0,132.0,8.3,0.0,WR,2017,team
22.0,Nelson Agholor,62.0,95.0,768.0,12.4,72.0,9.0,8.0,1.0,7.0,0.0,0.0,16.0,131.5,8.2,13.6,WR,2017,team
23.0,Demaryius Thomas,83.0,140.0,949.0,11.4,40.0,15.0,5.0,0.0,0.0,0.0,1.0,16.0,122.9,7.7,0.1,WR,2017,team
24.0,T.Y. Hilton,57.0,109.0,966.0,16.9,80.0,14.0,4.0,0.0,0.0,0.0,1.0,16.0,118.6,7.4,16.8,WR,2017,team
25.0,Dez Bryant,69.0,132.0,838.0,12.1,50.0,8.0,6.0,1.0,-4.0,0.0,1.0,16.0,117.5,7.3,2.6,WR,2017,team
26.0,Kenny Stills,58.0,105.0,847.0,14.6,61.0,14.0,6.0,0.0,0.0,0.0,2.0,16.0,116.7,7.3,0.1,WR,2017,team
27.0,Cooper Kupp,62.0,94.0,869.0,14.0,64.0,12.0,5.0,0.0,0.0,0.0,1.0,15.0,114.9,7.7,100.0,WR,2017,team
28.0,Michael Crabtree,58.0,101.0,618.0,10.7,41.0,8.0,8.0,0.0,0.0,0.0,0.0,14.0,113.8,8.1,0.0,WR,2017,team
29.0,Marquise Goodwin,56.0,105.0,962.0,17.2,83.0,13.0,2.0,4.0,44.0,0.0,0.0,16.0,112.6,7.0,0.3,WR,2017,team
30.0,Jermaine Kearse,65.0,102.0,810.0,12.5,51.0,9.0,5.0,0.0,0.0,0.0,0.0,16.0,111.0,6.9,0.0,WR,2017,team
31.0,Amari Cooper,48.0,96.0,680.0,14.2,87.0,9.0,7.0,1.0,4.0,0.0,0.0,14.0,110.4,7.9,97.7,WR,2017,team
33.0,Robert Woods,56.0,85.0,781.0,13.9,94.0,12.0,5.0,2.0,12.0,0.0,1.0,12.0,107.3,8.9,29.9,WR,2017,team
34.0,Sammy Watkins,39.0,70.0,593.0,15.2,67.0,9.0,8.0,0.0,0.0,0.0,0.0,15.0,107.3,7.2,7.0,WR,2017,team
37.0,Rishard Matthews,53.0,87.0,795.0,15.0,75.0,13.0,4.0,1.0,-3.0,0.0,0.0,14.0,103.2,7.4,0.0,WR,2017,team
38.0,Mike Wallace,52.0,92.0,748.0,14.4,66.0,11.0,4.0,1.0,4.0,0.0,0.0,15.0,99.2,6.6,0.0,WR,2017,team
39.0,Tyrell Williams,43.0,69.0,728.0,16.9,75.0,12.0,4.0,0.0,0.0,0.0,1.0,16.0,94.8,5.9,4.8,WR,2017,team
40.0,Jamison Crowder,66.0,103.0,789.0,12.0,41.0,12.0,3.0,7.0,34.0,0.0,3.0,15.0,94.3,6.3,23.6,WR,2017,team
41.0,Randall Cobb,66.0,92.0,653.0,9.9,46.0,7.0,4.0,9.0,17.0,0.0,0.0,15.0,93.4,6.2,7.6,WR,2017,team
42.0,Marqise Lee,56.0,96.0,702.0,12.5,45.0,6.0,3.0,1.0,17.0,0.0,0.0,14.0,91.9,6.6,0.0,WR,2017,team
44.0,Travis Benjamin,34.0,65.0,567.0,16.7,62.0,10.0,4.0,13.0,96.0,0.0,0.0,16.0,90.3,5.6,0.0,WR,2017,team
45.0,DeSean Jackson,50.0,90.0,668.0,13.4,41.0,10.0,3.0,3.0,38.0,0.0,0.0,14.0,88.6,6.3,4.4,WR,2017,team
46.0,Kelvin Benjamin,48.0,78.0,692.0,14.4,43.0,10.0,3.0,0.0,0.0,0.0,0.0,14.0,87.2,6.2,0.1,WR,2017,team
47.0,Sterling Shepard,59.0,84.0,731.0,12.4,77.0,7.0,2.0,4.0,4.0,0.0,0.0,11.0,85.5,7.8,23.7,WR,2017,team
49.0,Josh Doctson,35.0,78.0,502.0,14.3,52.0,6.0,6.0,1.0,-14.0,0.0,0.0,16.0,84.8,5.3,0.0,WR,2017,team
50.0,Jordy Nelson,53.0,88.0,482.0,9.1,58.0,4.0,6.0,0.0,0.0,0.0,0.0,15.0,84.2,5.6,0.1,WR,2017,team
51.0,Martavis Bryant,50.0,84.0,603.0,12.1,51.0,7.0,3.0,6.0,22.0,0.0,0.0,15.0,82.5,5.5,0.0,WR,2017,team
52.0,Ryan Grant,45.0,65.0,573.0,12.7,40.0,10.0,4.0,0.0,0.0,0.0,0.0,16.0,81.3,5.1,0.0,WR,2017,team
53.0,Danny Amendola,61.0,86.0,659.0,10.8,27.0,7.0,2.0,0.0,0.0,0.0,0.0,15.0,77.9,5.2,0.1,WR,2017,team
54.0,Chris Hogan,34.0,59.0,439.0,12.9,47.0,6.0,5.0,3.0,17.0,0.0,0.0,9.0,75.6,8.4,0.0,WR,2017,team
55.0,Albert Wilson,42.0,62.0,554.0,13.2,63.0,4.0,3.0,3.0,6.0,0.0,0.0,13.0,74.0,5.7,0.8,WR,2017,team
56.0,Tyler Lockett,45.0,71.0,555.0,12.3,74.0,5.0,2.0,10.0,58.0,0.0,0.0,16.0,73.3,4.6,97.5,WR,2017,team
57.0,DeVante Parker,57.0,96.0,670.0,11.8,36.0,9.0,1.0,0.0,0.0,0.0,0.0,13.0,73.0,5.6,64.3,WR,2017,team
58.0,Brandon LaFell,52.0,89.0,548.0,10.5,45.0,6.0,3.0,0.0,0.0,0.0,0.0,16.0,72.8,4.6,0.0,WR,2017,team
59.0,Jaron Brown,31.0,69.0,477.0,15.4,52.0,12.0,4.0,0.0,0.0,0.0,0.0,16.0,71.7,4.5,0.0,WR,2017,team
60.0,Adam Humphries,61.0,83.0,631.0,10.3,43.0,5.0,1.0,1.0,6.0,0.0,1.0,16.0,67.7,4.2,0.8,WR,2017,team
61.0,Emmanuel Sanders,47.0,92.0,555.0,11.8,38.0,11.0,2.0,0.0,0.0,0.0,0.0,12.0,67.5,5.6,46.6,WR,2017,team
62.0,Kendall Wright,59.0,91.0,614.0,10.4,22.0,1.0,1.0,0.0,0.0,0.0,0.0,16.0,67.4,4.2,0.0,WR,2017,team
63.0,Deonte Thompson,38.0,69.0,555.0,14.6,46.0,8.0,2.0,2.0,-5.0,0.0,0.0,16.0,67.0,4.2,0.0,WR,2017,team
64.0,Kenny Golladay,28.0,48.0,477.0,17.0,54.0,8.0,3.0,1.0,9.0,0.0,0.0,11.0,66.6,6.1,51.8,WR,2017,team
66.0,Eric Decker,54.0,83.0,563.0,10.4,29.0,5.0,1.0,0.0,0.0,0.0,0.0,16.0,62.3,3.9,0.6,WR,2017,team
67.0,Jeremy Maclin,40.0,72.0,440.0,11.0,48.0,3.0,3.0,0.0,0.0,0.0,0.0,12.0,62.0,5.2,0.0,WR,2017,team
68.0,Allen Hurns,39.0,56.0,484.0,12.4,50.0,4.0,2.0,0.0,0.0,0.0,0.0,10.0,60.4,6.0,0.0,WR,2017,team
69.0,Chris Godwin,34.0,55.0,525.0,15.4,70.0,4.0,1.0,0.0,0.0,0.0,0.0,16.0,58.5,3.7,67.1,WR,2017,team
70.0,Terrance Williams,53.0,78.0,568.0,10.7,56.0,6.0,0.0,2.0,15.0,0.0,0.0,16.0,58.3,3.6,0.0,WR,2017,team
