Rank,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
58,Ricky Seals-Jones(WAS),12,28,201,16.8,29,5,3,0,0,0,0,10,20.7,2.1,10.8%
59,Troy Niklas(FA),11,23,132,12.0,21,1,1,0,0,0,0,15,19.2,1.3,0.0%
60,Brent Celek(FA),13,24,130,10.0,28,1,1,0,0,0,0,16,19.0,1.2,0.0%
61,Nick Vannett(NO),12,15,124,10.3,21,1,1,0,0,0,0,15,18.4,1.2,0.1%
62,Eric Tomlinson(BAL),8,11,121,15.1,34,4,1,0,0,0,0,14,18.1,1.3,0.0%
63,Anthony Fasano(FA),12,16,107,8.9,29,2,1,0,0,0,0,16,16.7,1.0,0.1%
64,David Morgan II(FA),10,12,95,9.5,23,1,1,0,0,0,0,15,15.5,1.0,0.0%
65,C.J. Uzomah(CIN),10,15,92,9.2,21,2,1,0,0,0,0,14,15.2,1.1,20.8%
66,James Hanna(FA),4,9,88,22.0,31,2,1,0,0,0,0,16,14.8,0.9,0.0%
67,Dwayne Allen(FA),10,22,86,8.6,22,1,1,0,0,0,0,16,14.6,0.9,0.0%
68,Josh Hill(FA),16,22,125,7.8,22,1,1,1,-8,0,2,16,13.7,0.9,0.0%
69,Maxx Williams(ARI),15,18,86,5.7,17,0,1,2,6,0,1,11,13.2,1.2,0.4%
70,Daniel Brown(NYJ),13,20,129,9.9,17,0,0,0,0,0,0,14,12.9,0.9,0.0%
71,Logan Thomas(WAS),7,9,67,9.6,22,2,1,0,0,0,0,12,12.7,1.1,27.1%
72,C.J. Fiedorowicz(FA),14,22,127,9.1,15,0,0,0,0,0,0,5,12.7,2.5,0.0%
73,Brandon Williams(FA),13,17,121,9.3,32,2,0,0,0,0,0,14,12.1,0.9,0.0%
74,Michael Hoomanawanui(FA),6,10,52,8.7,25,1,1,0,0,0,0,14,11.2,0.8,0.1%
75,Austin Traylor(FA),8,13,100,12.5,34,1,0,0,0,0,0,7,10.0,1.4,0.0%
76,Phillip Supernaw(FA),4,6,39,9.8,20,1,1,0,0,0,0,16,9.9,0.6,0.0%
77,Niles Paul(FA),13,19,94,7.2,32,1,0,2,4,0,0,14,9.8,0.7,0.0%
78,Xavier Grimble(BAL),5,9,32,6.4,12,0,1,0,0,0,0,15,9.2,0.6,0.0%
79,Jerell Adams(FA),8,11,92,11.5,38,1,0,0,0,0,0,16,9.2,0.6,0.0%
80,Luke Stocker(MIN),4,5,30,7.5,12,0,1,0,0,0,0,12,9.0,0.8,0.0%
81,Clive Walford(FA),9,13,80,8.9,26,1,0,0,0,0,0,13,8.0,0.6,0.0%
82,Ross Travis(FA),7,17,76,10.9,20,1,0,0,0,0,0,15,7.6,0.5,0.0%
83,Lee Smith(FA),8,11,76,9.5,21,1,0,0,0,0,0,16,7.6,0.5,0.0%
84,Neal Sterling(FA),6,11,82,13.7,35,1,0,0,0,0,0,11,7.4,0.7,0.0%
85,Jeremy Sprinkle(DAL),2,3,13,6.5,7,0,1,0,0,0,0,11,7.3,0.7,0.0%
86,Derek Carrier(LV),8,11,71,8.9,17,0,0,0,0,0,0,14,7.1,0.5,0.0%
87,Ben Koyack(FA),5,7,38,7.6,21,1,0,0,0,0,0,16,5.8,0.4,0.0%
88,Orson Charles(FA),2,2,53,26.5,35,1,0,0,0,0,0,5,5.3,1.1,0.0%
89,Jacob Hollister(JAC),4,11,42,10.5,19,0,0,1,5,0,0,15,4.7,0.3,0.0%
90,Alan Cross(FA),5,6,58,11.6,23,1,0,0,0,0,0,8,4.7,0.6,0.0%
91,Tyler Eifert(FA),4,5,46,11.5,22,1,0,0,0,0,0,2,4.6,2.3,0.0%
92,Ifeanyi Momah(FA),1,2,46,46.0,46,1,0,0,0,0,0,9,4.6,0.5,0.0%
93,Michael Roberts(FA),4,7,46,11.5,23,1,0,0,0,0,0,15,4.6,0.3,0.0%
94,Sean McGrath(FA),4,4,46,11.5,23,1,0,0,0,0,0,15,4.6,0.3,0.0%
95,Blake Bell(KC),3,4,19,6.3,12,0,0,0,0,0,0,13,3.9,0.3,0.2%
96,Will Tye(FA),4,6,38,9.5,21,1,0,0,0,0,0,3,3.8,1.3,0.0%
97,Randall Telfer(FA),3,4,36,12.0,20,1,0,0,0,0,0,16,3.6,0.2,0.0%
98,Emanuel Byrd(FA),2,2,31,15.5,29,1,0,0,0,0,0,1,3.1,3.1,0.0%
99,Darrell Daniels(ARI),3,13,26,8.7,13,0,0,0,0,0,0,12,2.6,0.2,0.0%
