rank,player,rushing_att,rushing_yds,rushing_ya,rushing_lg,rushing_20p,rushing_td,receiving_rec,receiving_tgt,receiving_yds,receiving_yr,receiving_td,fumbles_lost,games,fantasy_points,fantasy_points_per_game,rost,team,year,position
43,Matt Forte,103,381,3.7,20,1,2,37,45,293,7.9,1,1,12,83.4,7.0,19.1,FA,2017,RB
44,Matt Breida,105,465,4.4,33,2,2,21,36,180,8.6,1,0,16,82.5,5.2,8.2,BUF,2017,RB
45,Corey Clement,74,321,4.3,28,2,4,10,15,123,12.3,2,0,16,82.4,5.2,0.8,DAL,2017,RB
46,Marlon Mack,93,358,3.8,35,6,3,21,33,225,10.7,1,0,14,82.3,5.9,1.6,IND,2017,RB
47,Austin Ekeler,47,260,5.5,35,3,2,27,35,279,10.3,3,2,16,79.9,5.0,99.9,LAC,2017,RB
48,James White,43,171,4.0,10,0,0,56,72,429,7.7,3,0,14,78.0,5.6,7.9,NE,2017,RB
49,Rod Smith,55,232,4.2,45,1,4,19,23,202,10.6,1,0,15,73.4,4.9,0.0,FA,2017,RB
50,Aaron Jones,81,448,5.5,46,6,4,9,18,22,2.4,0,0,12,71.0,5.9,98.9,GB,2017,RB
51,Wayne Gallman Jr.,111,476,4.3,24,2,0,34,48,193,5.7,1,1,13,70.9,5.5,1.0,MIN,2017,RB
52,Peyton Barber,108,423,3.9,34,1,3,16,19,114,7.1,0,1,16,69.7,4.4,1.2,LV,2017,RB
53,Ty Montgomery,71,273,3.8,37,1,3,23,31,173,7.5,1,0,8,68.6,8.6,0.6,NO,2017,RB
54,Adrian Peterson,156,529,3.4,27,2,2,11,19,70,6.4,0,2,10,67.9,6.8,4.9,SEA,2017,RB
55,Mike Gillislee,104,383,3.7,16,0,5,1,1,15,15.0,0,1,9,67.8,7.5,0.0,FA,2017,RB
56,Doug Martin,138,406,2.9,27,1,3,9,18,84,9.3,0,1,11,67.0,6.1,0.0,FA,2017,RB
57,Alfred Morris,115,547,4.8,70,4,1,7,9,45,6.4,0,0,14,65.2,4.7,0.0,NYG,2017,RB
58,Chris Ivory,112,382,3.4,34,1,1,21,28,175,8.3,1,2,14,63.7,4.6,0.0,FA,2017,RB
59,J.D. McKissic,46,187,4.1,30,1,1,34,46,266,7.8,2,0,13,63.3,4.9,32.9,WAS,2017,RB
60,Devontae Booker,79,299,3.8,26,1,1,30,38,275,9.2,0,1,13,61.4,4.7,23.3,NYG,2017,RB
61,Elijah McGuire,88,315,3.6,69,1,1,17,26,177,10.4,1,2,16,59.2,3.7,0.0,FA,2017,RB
62,Jalen Richard,56,275,4.9,52,2,1,27,36,256,9.5,1,3,16,59.1,3.7,0.7,FA,2017,RB
63,Kerwynn Williams,120,426,3.6,25,2,1,10,15,93,9.3,0,0,16,57.9,3.6,0.0,FA,2017,RB
64,T.J. Yeldon,49,253,5.2,58,2,2,30,41,224,7.5,0,1,10,57.7,5.8,0.0,FA,2017,RB
65,Dalvin Cook,74,354,4.8,33,4,2,11,16,90,8.2,0,1,4,54.4,13.6,100.0,MIN,2017,RB
