,Rank,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
0,1,Davante Adams(GB),115,149,"1,374",11.9,56,0,18,0,0,0,1,14,243.4,17.4,100.0%
1,2,Tyreek Hill(KC),87,135,"1,276",14.7,75,0,15,13,123,2,0,15,241.9,16.1,100.0%
2,3,Stefon Diggs(BUF),127,166,"1,535",12.1,55,0,8,1,1,0,0,16,201.6,12.6,100.0%
3,4,Calvin Ridley(ATL),90,143,"1,374",15.3,63,0,9,5,1,0,1,15,191.5,12.8,56.8%
4,5,D.K. Metcalf(SEA),83,129,"1,303",15.7,62,0,10,0,0,0,1,16,188.3,11.8,98.9%
5,6,Justin Jefferson(MIN),88,125,"1,400",15.9,71,0,7,1,2,0,0,16,186.2,11.6,99.9%
6,7,Adam Thielen(MIN),74,108,925,12.5,51,0,14,3,15,0,0,15,180.0,12.0,82.7%
7,8,Mike Evans(TB),70,109,"1,006",14.4,50,0,13,0,0,0,0,16,178.6,11.2,97.8%
8,9,A.J. Brown(TEN),70,106,"1,075",15.4,73,0,11,0,0,0,1,14,177.5,12.7,97.8%
9,10,DeAndre Hopkins(ARI),115,160,"1,407",12.2,60,0,6,1,1,0,2,16,172.8,10.8,69.3%
10,11,Tyler Lockett(SEA),100,132,"1,054",10.5,47,0,10,0,0,0,0,16,165.4,10.3,97.5%
11,12,Allen Robinson II(CHI),102,151,"1,250",12.3,42,0,6,1,-1,0,0,16,160.9,10.1,53.7%
12,13,Robert Woods(LAR),90,129,936,10.4,56,0,6,24,155,2,1,16,155.1,9.7,29.9%
13,14,Chase Claypool(PIT),62,109,873,14.1,84,0,9,10,16,2,1,16,152.9,9.6,85.4%
14,15,Marvin Jones Jr.(JAC),76,115,978,12.9,43,0,9,0,0,0,0,16,151.8,9.5,55.4%
15,16,Brandin Cooks(HOU),81,119,"1,150",14.2,57,0,6,0,0,0,0,15,151.0,10.1,92.7%
16,17,DJ Moore(CAR),66,118,"1,193",18.1,74,0,4,2,22,0,0,15,145.5,9.7,95.7%
