player,position,team,games,snaps,snaps_per_game,snaps_percent,rush_percent,tgt_percent,touch_percent,util_percent,fantasy_points,points_per_100_snaps,week,year
Adrian Peterson,RB,SEA,1,18,18,26,61,0,61,61,7.6,42.2,13,2010
Ben Roethlisberger,QB,PIT,1,60,60,100,2,0,53,53,19.3,32.2,13,2010
DeSean Jackson,WR,LV,1,24,24,41,0,4,4,4,1.4,5.8,13,2010
Jared Cook,TE,LAC,1,35,35,55,0,11,9,11,2.9,8.3,13,2010
Matt Ryan,QB,ATL,1,71,71,100,4,0,62,62,12.1,17.0,13,2010
Matthew Slater,WR,NE,1,2,2,4,0,0,0,0,0.0,0.0,13,2010
Matthew Stafford,QB,LAR,1,63,63,93,2,0,62,62,24.0,38.1,13,2010
Tom Brady,QB,TB,1,70,70,100,1,0,74,74,29.6,42.3,13,2010
Emmanuel Sanders,WR,BUF,1,46,46,79,0,13,7,13,2.2,4.8,13,2010
Jimmy Graham,TE,CHI,1,21,21,28,0,5,5,5,8.1,38.6,13,2010
Rob Gronkowski,TE,TB,1,58,58,83,0,14,7,14,17.8,30.7,13,2010
A.J. Green,WR,ARI,1,36,36,68,0,3,3,3,1.4,3.9,13,2010
Mark Ingram II,RB,NO,1,30,30,43,33,7,37,40,2.6,8.7,13,2010
Kyle Rudolph,TE,NYG,1,27,27,42,0,15,7,15,1.8,6.7,13,2010
Andy Dalton,QB,CHI,1,76,76,100,3,0,57,57,15.8,20.8,13,2010
Luke Stocker,TE,MIN,1,13,13,17,0,0,0,0,0.0,0.0,13,2010
Lee Smith,TE,ATL,1,16,16,23,0,0,0,0,0.0,0.0,13,2010
Tyrod Taylor,QB,HOU,1,29,29,56,10,0,55,55,2.3,7.9,13,2010
Kirk Cousins,QB,MIN,1,76,76,100,3,0,55,55,20.2,26.6,13,2010
Russell Wilson,QB,SEA,1,70,70,100,4,0,57,57,17.7,25.3,13,2010
T.Y. Hilton,WR,IND,1,32,32,44,0,6,6,6,2.2,6.9,13,2010
Travis Benjamin,WR,SF,1,3,3,5,0,0,0,0,-2.0,-66.7,13,2010
Marvin Jones Jr.,WR,JAC,1,49,49,84,0,6,4,6,1.1,2.2,13,2010
Brandon Bolden,RB,NE,1,6,6,12,67,17,83,83,5.5,91.7,13,2010
Cole Beasley,WR,BUF,1,40,40,69,0,8,3,8,1.1,2.8,13,2010
Travis Kelce,TE,KC,1,44,44,77,0,18,7,18,2.7,6.1,13,2010
DeAndre Hopkins,WR,ARI,1,39,39,74,0,5,5,5,9.2,23.6,13,2010
Kenny Stills,WR,NO,1,11,11,16,0,45,0,45,0.0,0.0,13,2010
Cordarrelle Patterson,RB,ATL,1,34,34,48,38,15,47,53,9.6,28.2,13,2010
Keenan Allen,WR,LAC,1,53,53,83,0,15,9,15,17.4,32.8,13,2010
Tavon Austin,WR,JAC,1,16,16,28,0,13,6,13,0.9,5.6,13,2010
Giovani Bernard,RB,TB,1,7,7,10,14,29,29,43,1.0,14.3,13,2010
Rex Burkhead,RB,HOU,1,24,24,46,33,8,38,42,4.5,18.8,13,2010
Mike Glennon,QB,NYG,1,65,65,100,0,0,68,68,6.5,10.0,13,2010
Zach Ertz,TE,ARI,1,41,41,77,0,5,2,5,1.0,2.4,13,2010
Kyle Juszczyk,RB,SF,1,32,32,55,0,9,6,9,2.1,6.6,13,2010
Latavius Murray,RB,BAL,1,14,14,19,14,14,29,29,3.5,25.0,13,2010
Ryan Griffin,TE,NYJ,1,32,32,54,0,6,6,6,7.5,23.4,13,2010
Demetrius Harris,TE,ARI,1,17,17,32,0,12,12,12,0.7,4.1,13,2010
Jack Doyle,TE,IND,1,42,42,58,0,2,2,2,1.3,3.1,13,2010
Teddy Bridgewater,QB,DEN,1,77,77,100,5,0,57,57,14.0,18.2,13,2010
Derek Carr,QB,LV,1,59,59,100,3,0,68,68,12.4,21.0,13,2010
Logan Thomas,TE,WAS,1,43,43,64,0,12,7,12,10.8,25.1,13,2010
Carlos Hyde,RB,JAC,1,29,29,50,31,3,34,34,6.3,21.7,13,2010
Devonta Freeman,RB,BAL,1,51,51,69,27,16,37,43,15.7,30.8,13,2010
Sammy Watkins,WR,BAL,1,34,34,46,0,18,12,18,9.9,29.1,13,2010
Mike Evans,WR,TB,1,65,65,93,0,15,11,15,9.9,15.2,13,2010
Brandin Cooks,WR,HOU,1,43,43,83,2,14,9,16,5.4,12.6,13,2010
Odell Beckham Jr.,WR,LAR,1,36,36,53,0,14,6,14,8.8,24.4,13,2010
Jimmy Garoppolo,QB,SF,1,58,58,100,3,0,55,55,18.0,31.0,13,2010
Albert Wilson,WR,MIA,1,40,40,58,0,20,10,20,2.6,6.5,13,2010
Keith Smith,RB,ATL,1,21,21,30,0,5,5,5,0.2,1.0,13,2010
Adam Thielen,WR,MIN,1,6,6,8,0,33,17,33,0.0,0.0,13,2010
Cameron Brate,TE,TB,1,13,13,19,0,8,8,8,6.3,48.5,13,2010
Diontae Spencer,WR,DEN,1,4,4,5,0,0,0,0,-2.0,-50.0,13,2010
Amari Cooper,WR,DAL,1,24,24,34,0,8,8,8,4.1,17.1,13,2010
DeVante Parker,WR,MIA,1,49,49,71,0,10,10,10,6.2,12.7,13,2010
Tevin Coleman,RB,NYJ,1,23,23,39,48,17,61,65,7.7,33.5,13,2010
Taylor Heinicke,QB,WAS,1,67,67,100,4,0,49,49,15.8,23.6,13,2010
Mike Davis,RB,ATL,1,38,38,54,11,11,21,21,12.9,33.9,13,2010
Nelson Agholor,WR,NE,1,25,25,49,4,4,4,8,0.6,2.4,13,2010
Tyler Lockett,WR,SEA,1,59,59,84,0,14,12,14,12.8,21.7,13,2010
Breshad Perriman,WR,TB,1,59,59,84,0,5,2,5,0.5,0.8,13,2010
Jamison Crowder,WR,NYJ,1,46,46,78,0,13,9,13,6.2,13.5,13,2010
Ty Montgomery,RB,NO,1,36,36,51,11,19,22,31,3.0,8.3,13,2010
Stefon Diggs,WR,BUF,1,55,55,95,0,13,7,13,5.1,9.3,13,2010
C.J. Uzomah,TE,CIN,1,66,66,87,0,9,5,9,2.0,3.0,13,2010
DeAndre Carter,WR,WAS,1,49,49,73,0,2,2,2,0.6,1.2,13,2010
James O'Shaughnessy,TE,JAC,1,39,39,67,0,15,5,15,1.3,3.3,13,2010
Chris Conley,WR,HOU,1,30,30,58,0,13,0,13,0.0,0.0,13,2010
Michael Burton,RB,KC,1,7,7,12,14,0,14,14,0.3,4.3,13,2010
Damiere Byrd,WR,CHI,1,65,65,86,0,11,5,11,3.6,5.5,13,2010
Eric Tomlinson,TE,BAL,1,25,25,34,0,0,0,0,0.0,0.0,13,2010
Adam Humphries,WR,WAS,1,34,34,51,0,15,12,15,3.8,11.2,13,2010
Laquon Treadwell,WR,JAC,1,55,55,95,0,9,7,9,6.2,11.3,13,2010
Ezekiel Elliott,RB,DAL,1,45,45,64,29,7,33,36,4.7,10.4,13,2010
Jared Goff,QB,DET,1,72,72,100,3,0,60,60,20.9,29.0,13,2010
Carson Wentz,QB,IND,1,62,62,86,5,0,40,40,11.1,17.9,13,2010
Tyler Boyd,WR,CIN,1,57,57,75,0,12,9,12,8.5,14.9,13,2010
Devontae Booker,RB,NYG,1,23,23,35,26,17,43,43,5.4,23.5,13,2010
Pharoh Cooper,WR,NYG,1,27,27,42,0,11,7,11,2.1,7.8,13,2010
Tajae Sharpe,WR,ATL,1,54,54,76,0,9,6,9,1.0,1.9,13,2010
Dak Prescott,QB,DAL,1,70,70,100,4,0,61,61,12.2,17.4,13,2010
Tyler Higbee,TE,LAR,1,63,63,93,0,10,8,10,4.8,7.6,13,2010
Kenyan Drake,RB,LV,1,7,7,12,14,29,29,43,0.8,11.4,13,2010
Nick Vannett,TE,NO,1,42,42,60,0,10,7,10,4.8,11.4,13,2010
Demarcus Robinson,WR,KC,1,31,31,54,0,6,6,6,2.1,6.8,13,2010
Wendell Smallwood,RB,WAS,1,5,5,7,20,40,60,60,2.5,50.0,13,2010
Jakeem Grant Sr.,WR,CHI,1,48,48,63,0,15,10,15,12.2,25.4,13,2010
Stephen Anderson,TE,LAC,1,22,22,34,0,0,0,0,0.0,0.0,13,2010
Derek Watt,RB,PIT,1,6,6,10,0,0,0,0,0.0,0.0,13,2010
Tyreek Hill,WR,KC,1,50,50,88,0,10,4,10,2.2,4.4,13,2010
Peyton Barber,RB,LV,1,5,5,8,0,20,20,20,0.2,4.0,13,2010
Kalif Raymond,WR,DET,1,35,35,49,0,6,6,6,3.3,9.4,13,2010
Jaydon Mickens,WR,JAC,1,3,3,5,0,67,67,67,1.0,33.3,13,2010
C.J. Ham,RB,MIN,1,25,25,33,0,4,4,4,1.9,7.6,13,2010
Garrett Griffin,TE,NO,1,32,32,46,0,3,3,3,0.9,2.8,13,2010
Mike Williams,WR,LAC,1,56,56,88,0,13,9,13,11.0,19.6,13,2010
Leonard Fournette,RB,TB,1,61,61,87,21,13,33,34,15.2,24.9,13,2010
Corey Davis,WR,NYJ,1,25,25,42,0,12,8,12,1.5,6.0,13,2010
John Ross,WR,NYG,1,21,21,32,0,5,0,5,0.0,0.0,13,2010
Chris Godwin,WR,TB,1,64,64,91,2,27,25,28,15.2,23.8,13,2010
Evan Engram,TE,NYG,1,53,53,82,0,9,8,9,6.1,11.5,13,2010
Patrick Mahomes II,QB,KC,1,57,57,100,7,0,58,58,13.6,23.9,13,2010
C.J. Beathard,QB,JAC,1,1,1,2,100,0,100,100,0.2,20.0,13,2010
Joe Mixon,RB,CIN,1,50,50,66,38,2,38,40,9.4,18.8,13,2010
Samaje Perine,RB,CIN,1,26,26,34,19,8,27,27,4.1,15.8,13,2010
Jamaal Williams,RB,DET,1,34,34,47,50,3,53,53,8.0,23.5,13,2010
Zay Jones,WR,LV,1,51,51,86,0,10,6,10,2.1,4.1,13,2010
Isaiah Ford,WR,MIA,1,14,14,20,0,7,7,7,6.2,44.3,13,2010
Cooper Kupp,WR,LAR,1,64,64,94,0,16,13,16,18.9,29.5,13,2010
Curtis Samuel,WR,WAS,1,20,20,30,10,5,15,15,-0.2,-1.0,13,2010
Dede Westbrook,WR,MIN,1,32,32,42,0,6,3,6,-0.2,-0.6,13,2010
Josh Reynolds,WR,DET,1,60,60,83,0,12,7,12,6.9,11.5,13,2010
Noah Brown,WR,DAL,1,12,12,17,0,25,17,25,1.4,11.7,13,2010
James Conner,RB,ARI,1,48,48,91,42,4,46,46,17.1,35.6,13,2010
Gerald Everett,TE,SEA,1,54,54,77,0,11,7,11,-3.3,-6.1,13,2010
Jonnu Smith,TE,NE,1,39,39,76,3,3,5,5,1.1,2.8,13,2010
Austin Ekeler,RB,LAC,1,47,47,73,30,11,40,40,12.4,26.4,13,2010
Kenny Golladay,WR,NYG,1,38,38,58,0,13,8,13,3.7,9.7,13,2010
Mack Hollins,WR,MIA,1,9,9,13,0,11,11,11,6.5,72.2,13,2010
Rodney Adams,WR,CHI,1,10,10,13,0,10,0,10,0.0,0.0,13,2010
George Kittle,TE,SF,1,54,54,93,2,22,19,24,30.6,56.7,13,2010
Tim Patrick,WR,DEN,1,67,67,87,0,7,1,7,0.9,1.3,13,2010
Mo Alie-Cox,TE,IND,1,31,31,43,0,3,3,3,0.0,0.0,13,2010
Marcus Kemp,WR,KC,1,4,4,7,0,25,0,25,0.0,0.0,13,2010
Pharaoh Brown,TE,HOU,1,32,32,62,0,16,13,16,0.3,0.9,13,2010
Zach Pascal,WR,IND,1,54,54,75,2,6,4,7,1.8,3.3,13,2010
Matt Breida,RB,BUF,1,7,7,12,14,14,29,29,0.8,11.4,13,2010
Kendrick Bourne,WR,NE,1,15,15,29,7,0,7,7,0.3,2.0,13,2010
Taysom Hill,QB,NO,1,70,70,100,16,0,74,74,24.7,35.3,13,2010
Patrick Ricard,RB,BAL,1,38,38,51,0,3,3,3,0.9,2.4,13,2010
Lamar Jackson,QB,BAL,1,74,74,100,11,0,61,61,18.6,25.1,13,2010
Saquon Barkley,RB,NYG,1,49,49,75,22,18,35,41,7.4,15.1,13,2010
Ronald Jones II,RB,TB,1,2,2,3,50,50,100,100,0.2,10.0,13,2010
Royce Freeman,RB,HOU,1,22,22,42,14,5,18,18,2.1,9.5,13,2010
Myles Gaskin,RB,MIA,1,44,44,64,34,5,39,39,4.9,11.1,13,2010
Courtland Sutton,WR,DEN,1,68,68,88,0,9,3,9,1.5,2.2,13,2010
James Washington,WR,PIT,1,22,22,37,0,5,0,5,0.0,0.0,13,2010
Michael Gallup,WR,DAL,1,64,64,91,0,14,8,14,9.6,15.0,13,2010
Tre'Quan Smith,WR,NO,1,47,47,67,0,15,4,15,1.5,3.2,13,2010
Christian Kirk,WR,ARI,1,32,32,60,0,9,3,9,0.4,1.3,13,2010
Mark Andrews,TE,BAL,1,50,50,68,0,18,8,18,5.0,10.0,13,2010
Dallas Goedert,TE,PHI,1,68,68,96,0,9,9,9,22.5,33.1,13,2010
Jaylen Samuels,RB,HOU,1,8,8,15,25,13,25,38,0.2,2.5,13,2010
Mike Gesicki,TE,MIA,1,46,46,67,0,24,15,24,4.6,10.0,13,2010
Braxton Berrios,WR,NYJ,1,19,19,32,0,5,5,5,1.1,5.8,13,2010
Nyheim Hines,RB,IND,1,14,14,19,21,29,43,50,5.6,40.0,13,2010
Josh Allen,QB,BUF,1,58,58,100,10,0,62,62,11.7,20.2,13,2010
Justin Jackson,RB,LAC,1,16,16,25,38,13,50,50,2.1,13.1,13,2010
Rashaad Penny,RB,SEA,1,29,29,41,34,3,38,38,6.2,21.4,13,2010
Sony Michel,RB,LAR,1,66,66,97,36,6,41,42,18.9,28.6,13,2010
Dalton Schultz,TE,DAL,1,67,67,96,0,7,7,7,4.3,6.4,13,2010
Godwin Igwebuike,RB,DET,1,28,28,39,7,7,11,14,2.1,7.5,13,2010
Durham Smythe,TE,MIA,1,42,42,61,0,2,0,2,0.0,0.0,13,2010
Darrel Williams,RB,KC,1,26,26,46,19,12,31,31,8.0,30.8,13,2010
Noah Fant,TE,DEN,1,58,58,75,0,7,7,7,3.3,5.7,13,2010
Ray-Ray McCloud,WR,PIT,1,40,40,67,0,10,3,10,0.7,1.8,13,2010
Tyler Conklin,TE,MIN,1,72,72,95,0,13,10,13,5.6,7.8,13,2010
Russell Gage,WR,ATL,1,53,53,75,0,23,21,23,11.0,20.8,13,2010
Boston Scott,RB,PHI,1,3,3,4,0,0,0,0,0.0,0.0,13,2010
Byron Pringle,WR,KC,1,41,41,72,0,10,2,10,1.4,3.4,13,2010
Mike Boone,RB,DEN,1,17,17,22,24,6,29,29,5.4,31.8,13,2010
Trent Sherfield,WR,SF,1,57,57,98,0,9,4,9,1.6,2.8,13,2010
Jeff Wilson Jr.,RB,SF,1,2,2,3,0,0,0,0,0.0,0.0,13,2010
Will Dissly,TE,SEA,1,33,33,47,0,6,6,6,0.7,2.1,13,2010
KhaDarel Hodge,WR,DET,1,7,7,10,0,14,14,14,0.9,12.9,13,2010
Malik Turner,WR,DAL,1,18,18,26,0,6,6,6,1.0,5.6,13,2010
D.K. Metcalf,WR,SEA,1,62,62,89,0,13,8,13,6.0,9.7,13,2010
N'Keal Harry,WR,NE,1,25,25,49,0,0,0,0,-2.0,-8.0,13,2010
Marquise Brown,WR,BAL,1,64,64,86,0,11,8,11,5.5,8.6,13,2010
Damien Harris,RB,NE,1,13,13,25,77,0,77,77,17.1,131.5,13,2010
David Montgomery,RB,CHI,1,53,53,70,40,17,55,57,20.1,37.9,13,2010
Albert Okwuegbunam,TE,DEN,1,33,33,43,0,12,9,12,2.1,6.4,13,2010
Josh Jacobs,RB,LV,1,50,50,85,26,18,44,44,15.0,30.0,13,2010
Devin Singletary,RB,BUF,1,28,28,48,36,0,36,36,3.6,12.9,13,2010
Miles Sanders,RB,PHI,1,41,41,58,59,7,66,66,14.2,34.6,13,2010
T.J. Hockenson,TE,DET,1,61,61,85,0,13,7,13,10.9,17.9,13,2010
Hunter Renfrow,WR,LV,1,54,54,92,0,19,17,19,10.2,18.9,13,2010
Foster Moreau,TE,LV,1,50,50,85,0,6,2,6,3.4,6.8,13,2010
Ty Johnson,RB,NYJ,1,28,28,47,4,14,11,18,1.5,5.4,13,2010
Kendall Blanton,TE,LAR,1,10,10,15,0,20,10,20,0.6,6.0,13,2010
Terry McLaurin,WR,WAS,1,62,62,93,0,8,5,8,2.2,3.5,13,2010
Qadree Ollison,RB,ATL,1,13,13,18,15,8,23,23,1.5,11.5,13,2010
Davion Davis,WR,HOU,1,20,20,38,0,10,0,10,0.0,0.0,13,2010
Josh Oliver,TE,BAL,1,8,8,11,0,0,0,0,0.0,0.0,13,2010
Gardner Minshew II,QB,PHI,1,71,71,100,6,0,41,41,18.8,26.5,13,2010
Mecole Hardman,WR,KC,1,9,9,16,0,11,11,11,1.2,13.3,13,2010
Lil'Jordan Humphrey,WR,NO,1,30,30,43,0,7,7,7,10.9,36.3,13,2010
Kyler Murray,QB,ARI,1,53,53,100,19,0,47,47,30.8,58.1,13,2010
Benny Snell Jr.,RB,PIT,1,2,2,3,100,0,100,100,1.3,65.0,13,2010
Diontae Johnson,WR,PIT,1,57,57,95,0,19,14,19,22.5,39.5,13,2010
Travis Homer,RB,SEA,1,21,21,30,14,24,33,38,15.0,71.4,13,2010
Alexander Mattison,RB,MIN,1,65,65,86,34,5,38,38,18.4,28.3,13,2010
Stanley Morgan Jr.,WR,CIN,1,5,5,7,0,0,0,0,0.0,0.0,13,2010
Chase Claypool,WR,PIT,1,38,38,63,3,8,8,11,5.4,14.2,13,2010
Dawson Knox,TE,BUF,1,56,56,97,0,11,4,11,1.4,2.5,13,2010
Tyler Johnson,WR,TB,1,9,9,13,0,11,11,11,0.5,5.6,13,2010
Bryan Edwards,WR,LV,1,40,40,68,0,13,8,13,3.0,7.5,13,2010
Justin Herbert,QB,LAC,1,64,64,100,2,0,56,56,26.3,41.1,13,2010
Ashton Dulin,WR,IND,1,22,22,31,0,5,5,5,6.2,28.2,13,2010
Zach Gentry,TE,PIT,1,30,30,50,0,7,7,7,1.0,3.3,13,2010
Tony Pollard,RB,DAL,1,28,28,40,25,14,32,39,13.4,47.9,13,2010
Darius Slayton,WR,NYG,1,52,52,80,0,13,4,13,1.3,2.5,13,2010
Trenton Irwin,WR,CIN,1,5,5,7,0,0,0,0,0.0,0.0,13,2010
