player,position,team,games,snaps,snaps_per_game,snaps_percent,rush_percent,tgt_percent,touch_percent,util_percent,fantasy_points,points_per_100_snaps,week,year
Aaron Rodgers,QB,GB,1,59,59,100,12,0,51,51,23.7,40.2,6,2010
Ben Roethlisberger,QB,PIT,1,75,75,100,3,0,56,56,10.9,14.5,6,2010
DeSean Jackson,WR,LAR,1,16,16,24,0,6,6,6,0.6,3.8,6,2010
Jared Cook,TE,LAC,1,36,36,64,0,19,11,19,8.5,23.6,6,2010
Marcedes Lewis,TE,GB,1,40,40,68,0,5,5,5,1.7,4.3,6,2010
Matthew Stafford,QB,LAR,1,56,56,85,4,0,54,54,26.2,46.8,6,2010
Tom Brady,QB,TB,1,75,75,100,5,0,61,61,19.0,25.3,6,2010
Andre Roberts,WR,HOU,1,2,2,3,0,0,0,0,0.0,0.0,6,2010
Colt McCoy,QB,ARI,1,7,7,9,43,0,43,43,-0.3,-4.3,6,2010
Emmanuel Sanders,WR,BUF,1,71,71,92,0,11,7,11,9.1,12.8,6,2010
Antonio Brown,WR,TB,1,37,37,49,0,35,24,35,15.3,41.4,6,2010
A.J. Green,WR,ARI,1,68,68,91,0,9,7,9,13.9,20.4,6,2010
Julio Jones,WR,TEN,1,35,35,66,0,14,9,14,5.9,16.9,6,2010
Mark Ingram II,RB,HOU,1,33,33,44,55,6,61,61,8.1,24.5,6,2010
Kyle Rudolph,TE,NYG,1,34,34,45,0,6,3,6,2.8,8.2,6,2010
Ryan Tannehill,QB,TEN,1,53,53,100,4,0,58,58,13.9,26.2,6,2010
Kirk Cousins,QB,MIN,1,89,89,100,2,0,56,56,28.5,32.0,6,2010
T.Y. Hilton,WR,IND,1,24,24,50,0,17,17,17,8.0,33.3,6,2010
Marvin Jones Jr.,WR,JAC,1,57,57,86,0,18,12,18,16.0,28.1,6,2010
Brandon Bolden,RB,NE,1,11,11,20,9,9,18,18,0.2,1.8,6,2010
Case Keenum,QB,CLE,1,4,4,7,0,0,75,75,0.2,5.0,6,2010
Cole Beasley,WR,BUF,1,67,67,87,0,13,10,13,14.8,22.1,6,2010
Travis Kelce,TE,KC,1,67,67,82,0,16,12,16,9.9,14.8,6,2010
Marquise Goodwin,WR,CHI,1,29,29,48,0,3,3,3,1.2,4.1,6,2010
DeAndre Hopkins,WR,ARI,1,67,67,89,0,6,4,6,17.5,26.1,6,2010
Robert Woods,WR,LAR,1,58,58,88,0,9,3,9,9.1,15.7,6,2010
Keenan Allen,WR,LAC,1,51,51,91,0,10,10,10,5.0,9.8,6,2010
Tavon Austin,WR,JAC,1,17,17,26,0,6,0,6,0.0,0.0,6,2010
Giovani Bernard,RB,TB,1,12,12,16,0,17,17,17,0.4,3.3,6,2010
Le'Veon Bell,RB,BAL,1,22,22,32,36,0,36,36,7.8,35.5,6,2010
Rex Burkhead,RB,HOU,1,5,5,7,0,20,0,20,0.0,0.0,6,2010
Geno Smith,QB,SEA,1,65,65,100,2,0,51,51,10.3,15.8,6,2010
Zach Ertz,TE,PHI,1,46,46,88,0,13,9,13,8.9,19.3,6,2010
Latavius Murray,RB,BAL,1,26,26,38,35,8,42,42,11.6,44.6,6,2010
Demetrius Harris,TE,ARI,1,20,20,27,0,0,0,0,0.0,0.0,6,2010
Jack Doyle,TE,IND,1,31,31,65,0,3,0,3,0.0,0.0,6,2010
Teddy Bridgewater,QB,DEN,1,81,81,100,2,0,63,63,21.3,26.3,6,2010
Derek Carr,QB,LV,1,56,56,100,4,0,52,52,21.5,38.4,6,2010
Carlos Hyde,RB,JAC,1,9,9,14,0,11,0,11,0.0,0.0,6,2010
Devonta Freeman,RB,BAL,1,21,21,30,43,10,43,52,11.3,53.8,6,2010
Mike Evans,WR,TB,1,70,70,93,0,6,3,6,2.7,3.9,6,2010
Brandin Cooks,WR,HOU,1,68,68,91,0,19,13,19,8.9,13.1,6,2010
Davante Adams,WR,GB,1,50,50,85,0,10,8,10,8.9,17.8,6,2010
Allen Robinson II,WR,CHI,1,56,56,92,0,13,7,13,5.3,9.5,6,2010
Odell Beckham Jr.,WR,CLE,1,32,32,54,0,25,16,25,7.9,24.7,6,2010
Eric Ebron,TE,PIT,1,34,34,45,3,6,9,9,7.1,20.9,6,2010
Jerick McKinnon,RB,KC,1,23,23,28,13,17,17,30,1.5,6.5,6,2010
Albert Wilson,WR,MIA,1,23,23,33,0,9,9,9,1.4,6.1,6,2010
Willie Snead IV,WR,LV,1,6,6,11,0,17,0,17,0.0,0.0,6,2010
Adam Thielen,WR,MIN,1,87,87,98,1,15,14,16,18.8,21.6,6,2010
Cameron Brate,TE,TB,1,44,44,59,0,9,7,9,2.6,5.9,6,2010
Diontae Spencer,WR,DEN,1,2,2,2,0,0,0,0,0.0,0.0,6,2010
Amari Cooper,WR,DAL,1,78,78,88,0,10,6,10,5.5,7.1,6,2010
Melvin Gordon III,RB,DEN,1,43,43,53,23,7,30,30,7.3,17.0,6,2010
