,Rank,Player,SACK,INT,FR,FF,DEF TD,SFTY,SPC TD,G,FPTS,FPTS/G,ROST
0,1,New Orleans Saints(NO),3,3,0,0,0,0,0,1,16.0,16.0,79.3%
1,2,Baltimore Ravens(BAL),0,1,1,1,1,0,0,1,14.0,14.0,51.9%
2,3,Tennessee Titans(TEN),3,0,2,2,1,0,0,1,14.0,14.0,48.4%
3,4,New York Giants(NYG),2,3,2,1,0,0,0,1,13.0,13.0,4.5%
4,5,Buffalo Bills(BUF),5,2,2,2,0,0,0,1,12.0,12.0,95.9%
5,6,Minnesota Vikings(MIN),2,3,0,1,0,0,0,1,9.0,9.0,28.0%
6,7,Miami Dolphins(MIA),1,0,1,1,1,0,0,1,8.0,8.0,60.2%
7,8,Pittsburgh Steelers(PIT),2,1,1,1,0,0,0,1,7.0,7.0,44.6%
8,9,Green Bay Packers(GB),1,1,1,1,0,0,0,1,6.0,6.0,60.6%
9,10,Indianapolis Colts(IND),2,0,1,1,0,0,0,1,5.0,5.0,66.4%
10,11,Washington Commanders(WAS),5,0,0,1,0,0,0,1,5.0,5.0,27.5%
11,12,Houston Texans(HOU),2,1,0,1,0,0,0,1,4.0,4.0,6.4%
12,13,Jacksonville Jaguars(JAC),2,0,1,1,0,0,0,1,4.0,4.0,6.9%
13,14,Las Vegas Raiders(LV),2,0,1,1,0,0,0,1,4.0,4.0,7.6%
14,15,Chicago Bears(CHI),3,0,0,0,0,0,0,1,4.0,4.0,35.9%
15,16,Seattle Seahawks(SEA),7,0,0,0,0,0,0,1,3.0,3.0,39.4%
16,17,Denver Broncos(DEN),2,1,0,0,0,0,0,1,3.0,3.0,48.5%
17,18,Atlanta Falcons(ATL),1,1,0,1,0,0,0,1,3.0,3.0,5.8%
18,19,Carolina Panthers(CAR),2,0,1,1,0,0,0,1,3.0,3.0,27.8%
19,20,New England Patriots(NE),1,1,0,0,0,0,0,1,3.0,3.0,93.2%
20,21,Arizona Cardinals(ARI),3,0,0,0,0,0,0,1,2.0,2.0,60.9%
21,22,Los Angeles Chargers(LAC),1,0,1,1,0,0,0,1,2.0,2.0,44.3%
22,23,Kansas City Chiefs(KC),2,0,0,1,0,0,0,1,1.0,1.0,45.7%
23,24,Tampa Bay Buccaneers(TB),1,0,2,2,0,0,0,1,1.0,1.0,98.0%
24,25,Los Angeles Rams(LAR),0,0,0,0,0,0,0,0,0,0,74.5%
25,26,San Francisco 49ers(SF),1,0,0,0,0,0,0,1,0.0,0.0,79.5%
26,27,Detroit Lions(DET),1,0,0,0,0,0,0,1,0.0,0.0,1.1%
27,28,Philadelphia Eagles(PHI),0,0,0,0,0,0,0,0,0,0,52.5%
28,29,Cincinnati Bengals(CIN),0,0,0,0,0,0,0,0,0,0,14.7%
29,30,Cleveland Browns(CLE),0,0,0,0,0,0,0,0,0,0,40.8%
30,31,Dallas Cowboys(DAL),0,0,0,0,0,0,0,1,0.0,0.0,82.9%
31,32,New York Jets(NYJ),0,0,0,1,0,0,0,1,-1.0,-1.0,3.3%
