,Rank,Player,SACK,INT,FR,FF,DEF TD,SFTY,SPC TD,G,FPTS,FPTS/G,ROST
0,1,Miami Dolphins(MIA),2,2,2,2,1,0,1,1,23.0,23.0,60.2%
1,2,Philadelphia Eagles(PHI),4,0,2,2,1,1,0,1,20.0,20.0,52.5%
2,3,Pittsburgh Steelers(PIT),4,2,2,3,1,0,0,1,18.0,18.0,44.6%
3,4,Indianapolis Colts(IND),5,1,1,1,1,0,0,1,15.0,15.0,66.4%
4,5,Dallas Cowboys(DAL),4,2,2,3,0,0,0,1,13.0,13.0,82.9%
5,6,Las Vegas Raiders(LV),0,0,1,1,0,0,0,1,9.0,9.0,7.6%
6,7,Kansas City Chiefs(KC),1,0,1,1,0,0,0,1,7.0,7.0,45.7%
7,8,Tampa Bay Buccaneers(TB),3,2,0,0,0,0,0,1,7.0,7.0,98.0%
8,9,Seattle Seahawks(SEA),3,1,1,1,0,0,0,1,7.0,7.0,39.4%
9,10,New Orleans Saints(NO),5,1,0,0,0,0,0,1,7.0,7.0,79.3%
10,11,Atlanta Falcons(ATL),3,1,0,0,0,0,0,1,6.0,6.0,5.8%
11,12,Los Angeles Rams(LAR),1,0,2,2,0,0,0,1,5.0,5.0,74.5%
12,13,Denver Broncos(DEN),2,2,0,0,0,0,0,1,5.0,5.0,48.5%
13,14,Baltimore Ravens(BAL),2,0,1,2,0,0,0,1,4.0,4.0,51.9%
14,15,New York Giants(NYG),2,0,1,1,0,0,0,1,4.0,4.0,4.5%
15,16,Cincinnati Bengals(CIN),1,1,0,0,0,0,0,1,4.0,4.0,14.7%
16,17,Buffalo Bills(BUF),2,0,1,1,0,0,0,1,4.0,4.0,95.9%
17,18,Carolina Panthers(CAR),2,1,0,0,0,0,0,1,4.0,4.0,27.8%
18,19,Cleveland Browns(CLE),2,0,0,1,0,0,0,1,3.0,3.0,40.8%
19,20,Minnesota Vikings(MIN),1,0,1,1,0,0,0,1,3.0,3.0,28.0%
20,21,New England Patriots(NE),1,1,0,0,0,0,0,1,3.0,3.0,93.2%
21,22,Los Angeles Chargers(LAC),2,1,0,0,0,0,0,1,3.0,3.0,44.3%
22,23,Chicago Bears(CHI),1,0,0,3,0,0,0,1,1.0,1.0,35.9%
23,24,Arizona Cardinals(ARI),0,0,0,0,0,0,0,0,0,0,60.9%
24,25,Jacksonville Jaguars(JAC),0,0,0,0,0,0,0,0,0,0,6.9%
25,26,Houston Texans(HOU),0,0,0,0,0,0,0,0,0,0,6.4%
26,27,Green Bay Packers(GB),1,0,0,0,0,0,0,1,0.0,0.0,60.6%
27,28,Washington Commanders(WAS),0,0,0,0,0,0,0,0,0,0,27.5%
28,29,Tennessee Titans(TEN),0,0,0,0,0,0,0,1,-1.0,-1.0,48.4%
29,30,San Francisco 49ers(SF),2,0,0,0,0,0,0,1,-2.0,-2.0,79.5%
30,31,Detroit Lions(DET),2,0,0,1,0,0,0,1,-2.0,-2.0,1.1%
31,32,New York Jets(NYJ),0,0,0,1,0,0,0,1,-4.0,-4.0,3.3%
