,Rank,Player,SACK,INT,FR,FF,DEF TD,SFTY,SPC TD,G,FPTS,FPTS/G,ROST
0,1,Kansas City Chiefs(KC),2,3,1,1,1,0,0,1,20.0,20.0,45.7%
1,2,Philadelphia Eagles(PHI),5,2,1,1,1,0,0,1,18.0,18.0,52.5%
2,3,Los Angeles Rams(LAR),5,1,0,1,0,0,0,1,11.0,11.0,74.5%
3,4,New York Jets(NYJ),0,3,0,0,1,0,0,1,8.0,8.0,3.3%
4,5,Indianapolis Colts(IND),1,1,0,0,0,0,0,1,7.0,7.0,66.4%
5,6,Denver Broncos(DEN),6,0,0,0,0,0,0,1,6.0,6.0,48.5%
6,7,San Francisco 49ers(SF),3,1,0,0,0,0,0,1,6.0,6.0,79.5%
7,8,Tampa Bay Buccaneers(TB),2,1,1,1,0,0,0,1,6.0,6.0,98.0%
8,9,Buffalo Bills(BUF),2,0,2,2,0,0,0,1,6.0,6.0,95.9%
9,10,Baltimore Ravens(BAL),3,0,1,1,0,0,0,1,6.0,6.0,51.9%
10,11,Cleveland Browns(CLE),3,1,2,2,0,0,0,1,5.0,5.0,40.8%
11,12,Minnesota Vikings(MIN),3,0,1,0,0,0,0,1,5.0,5.0,28.0%
12,13,Cincinnati Bengals(CIN),3,1,0,0,0,0,0,1,5.0,5.0,14.7%
13,14,New York Giants(NYG),2,0,1,2,0,0,0,1,5.0,5.0,4.5%
14,15,Green Bay Packers(GB),4,0,0,0,0,0,0,1,5.0,5.0,60.6%
15,16,Seattle Seahawks(SEA),1,2,0,1,0,0,0,1,5.0,5.0,39.4%
16,17,New England Patriots(NE),1,0,1,1,0,0,0,1,4.0,4.0,93.2%
17,18,Washington Commanders(WAS),1,2,0,0,0,0,0,1,4.0,4.0,27.5%
18,19,Los Angeles Chargers(LAC),0,1,0,0,1,0,0,1,4.0,4.0,44.3%
19,20,New Orleans Saints(NO),3,1,0,0,0,0,0,1,4.0,4.0,79.3%
20,21,Miami Dolphins(MIA),2,1,0,1,0,0,0,1,3.0,3.0,60.2%
21,22,Carolina Panthers(CAR),1,0,1,1,0,0,0,1,3.0,3.0,27.8%
22,23,Jacksonville Jaguars(JAC),1,1,0,0,0,0,0,1,2.0,2.0,6.9%
23,24,Houston Texans(HOU),3,0,0,0,0,0,0,1,2.0,2.0,6.4%
24,25,Chicago Bears(CHI),1,0,0,0,0,0,0,1,2.0,2.0,35.9%
25,26,Arizona Cardinals(ARI),0,1,0,0,0,0,0,1,1.0,1.0,60.9%
26,27,Atlanta Falcons(ATL),1,0,0,0,0,0,0,1,0.0,0.0,5.8%
27,28,Las Vegas Raiders(LV),1,0,0,0,0,0,0,1,0.0,0.0,7.6%
28,29,Pittsburgh Steelers(PIT),0,0,0,0,0,0,0,1,0.0,0.0,44.6%
29,30,Detroit Lions(DET),2,1,0,1,0,0,0,1,0.0,0.0,1.1%
30,31,Tennessee Titans(TEN),0,0,0,0,0,0,0,1,0.0,0.0,48.4%
31,32,Dallas Cowboys(DAL),2,0,0,0,0,0,0,1,-2.0,-2.0,82.9%
