,Rank,Player,SACK,INT,FR,FF,DEF TD,SFTY,SPC TD,G,FPTS,FPTS/G,ROST
0,1,Baltimore Ravens(BAL),7,1,2,3,1,0,0,1,26.0,26.0,51.9%
1,2,Cleveland Browns(CLE),1,2,0,0,1,1,0,1,13.0,13.0,40.8%
2,3,Miami Dolphins(MIA),5,2,1,2,0,0,0,1,12.0,12.0,60.2%
3,4,Los Angeles Rams(LAR),8,0,0,1,0,0,0,1,12.0,12.0,74.5%
4,5,Indianapolis Colts(IND),1,2,0,1,0,0,1,1,12.0,12.0,66.4%
5,6,New York Giants(NYG),2,1,1,0,1,0,0,1,11.0,11.0,4.5%
6,7,Houston Texans(HOU),4,0,2,1,0,0,0,1,9.0,9.0,6.4%
7,8,Dallas Cowboys(DAL),2,0,1,1,1,0,0,1,9.0,9.0,82.9%
8,9,Tennessee Titans(TEN),1,2,1,1,0,0,0,1,8.0,8.0,48.4%
9,10,Pittsburgh Steelers(PIT),5,2,0,0,0,0,0,1,8.0,8.0,44.6%
10,11,Seattle Seahawks(SEA),3,1,1,2,0,0,0,1,7.0,7.0,39.4%
11,12,Arizona Cardinals(ARI),3,0,0,0,0,0,0,1,7.0,7.0,60.9%
12,13,Tampa Bay Buccaneers(TB),3,1,0,1,0,0,0,1,6.0,6.0,98.0%
13,14,Minnesota Vikings(MIN),4,1,0,0,0,0,0,1,6.0,6.0,28.0%
14,15,Chicago Bears(CHI),3,0,1,1,0,0,0,1,6.0,6.0,35.9%
15,16,Carolina Panthers(CAR),2,1,0,1,0,0,0,1,5.0,5.0,27.8%
16,17,Las Vegas Raiders(LV),3,1,0,0,0,0,0,1,4.0,4.0,7.6%
17,18,Jacksonville Jaguars(JAC),1,2,0,0,0,0,0,1,4.0,4.0,6.9%
18,19,Cincinnati Bengals(CIN),1,1,0,0,0,0,0,1,3.0,3.0,14.7%
19,20,New Orleans Saints(NO),3,0,0,0,0,0,0,1,3.0,3.0,79.3%
20,21,Los Angeles Chargers(LAC),2,1,0,1,0,0,0,1,3.0,3.0,44.3%
21,22,Washington Commanders(WAS),1,1,0,1,0,0,0,1,2.0,2.0,27.5%
22,23,New York Jets(NYJ),1,1,0,0,0,0,0,1,2.0,2.0,3.3%
23,24,Detroit Lions(DET),0,0,0,0,0,0,0,0,0,0,1.1%
24,25,Denver Broncos(DEN),0,0,0,0,0,0,0,0,0,0,48.5%
25,26,New England Patriots(NE),0,0,0,0,0,0,0,0,0,0,93.2%
26,27,Atlanta Falcons(ATL),0,0,0,0,0,0,0,1,0.0,0.0,5.8%
27,28,Green Bay Packers(GB),0,0,0,0,0,0,0,0,0,0,60.6%
28,29,Philadelphia Eagles(PHI),1,0,1,1,0,0,0,1,-1.0,-1.0,52.5%
29,30,Kansas City Chiefs(KC),1,1,0,0,0,0,0,1,-1.0,-1.0,45.7%
30,31,San Francisco 49ers(SF),2,0,0,0,0,0,0,1,-2.0,-2.0,79.5%
31,32,Buffalo Bills(BUF),0,0,0,0,0,0,0,1,-4.0,-4.0,95.9%
