,Rank,Player,SACK,INT,FR,FF,DEF TD,SFTY,SPC TD,G,FPTS,FPTS/G,ROST
0,1,Tampa Bay Buccaneers(TB),5,2,0,1,1,0,0,1,19.0,19.0,98.0%
1,2,Pittsburgh Steelers(PIT),4,2,0,1,1,0,0,1,18.0,18.0,44.6%
2,3,Arizona Cardinals(ARI),3,2,2,2,0,0,0,1,15.0,15.0,60.9%
3,4,Miami Dolphins(MIA),3,1,0,0,0,0,0,1,15.0,15.0,60.2%
4,5,New York Giants(NYG),3,1,1,1,1,0,0,1,14.0,14.0,4.5%
5,6,Denver Broncos(DEN),4,2,1,3,0,0,0,1,14.0,14.0,48.5%
6,7,Chicago Bears(CHI),4,2,1,1,0,0,0,1,11.0,11.0,35.9%
7,8,New England Patriots(NE),2,2,0,0,0,0,0,1,7.0,7.0,93.2%
8,9,Atlanta Falcons(ATL),1,3,0,0,0,0,0,1,7.0,7.0,5.8%
9,10,Baltimore Ravens(BAL),6,0,1,3,0,0,0,1,7.0,7.0,51.9%
10,11,New York Jets(NYJ),2,2,0,0,0,0,0,1,6.0,6.0,3.3%
11,12,Detroit Lions(DET),1,1,1,2,0,0,0,1,6.0,6.0,1.1%
12,13,Washington Commanders(WAS),1,1,0,0,0,0,0,1,4.0,4.0,27.5%
13,14,Indianapolis Colts(IND),2,1,0,1,0,0,0,1,4.0,4.0,66.4%
14,15,Cincinnati Bengals(CIN),1,1,1,0,0,0,0,1,4.0,4.0,14.7%
15,16,Kansas City Chiefs(KC),0,1,0,0,0,0,0,1,3.0,3.0,45.7%
16,17,San Francisco 49ers(SF),0,1,0,0,0,0,0,1,3.0,3.0,79.5%
17,18,Buffalo Bills(BUF),1,0,1,1,0,0,0,1,3.0,3.0,95.9%
18,19,Philadelphia Eagles(PHI),3,0,0,1,0,0,0,1,2.0,2.0,52.5%
19,20,Carolina Panthers(CAR),0,1,0,0,0,0,0,1,2.0,2.0,27.8%
20,21,Houston Texans(HOU),2,1,1,1,0,0,0,1,2.0,2.0,6.4%
21,22,Cleveland Browns(CLE),2,0,0,0,0,0,0,1,1.0,1.0,40.8%
22,23,Jacksonville Jaguars(JAC),0,1,0,0,0,0,0,1,1.0,1.0,6.9%
23,24,New Orleans Saints(NO),0,0,0,0,0,0,0,0,0,0,79.3%
24,25,Los Angeles Chargers(LAC),0,0,0,0,0,0,0,0,0,0,44.3%
25,26,Seattle Seahawks(SEA),0,0,0,0,0,0,0,0,0,0,39.4%
26,27,Minnesota Vikings(MIN),2,0,1,1,0,0,0,1,0.0,0.0,28.0%
27,28,Los Angeles Rams(LAR),0,0,0,0,0,0,0,1,0.0,0.0,74.5%
28,29,Las Vegas Raiders(LV),0,0,0,0,0,0,0,0,0,0,7.6%
29,30,Green Bay Packers(GB),0,0,0,0,0,0,0,1,-1.0,-1.0,60.6%
30,31,Tennessee Titans(TEN),2,0,0,0,0,0,0,1,-2.0,-2.0,48.4%
31,32,Dallas Cowboys(DAL),1,0,0,0,0,0,0,1,-3.0,-3.0,82.9%
