,Rank,Player,SACK,INT,FR,FF,DEF TD,SFTY,SPC TD,G,FPTS,FPTS/G,ROST
0,1,New England Patriots(NE),3,2,0,0,0,0,2,1,31.0,31.0,93.2%
1,2,Miami Dolphins(MIA),6,2,0,0,0,0,0,1,14.0,14.0,60.2%
2,3,Jacksonville Jaguars(JAC),4,1,1,0,1,0,0,1,14.0,14.0,6.9%
3,4,Minnesota Vikings(MIN),2,2,2,2,0,1,0,1,13.0,13.0,28.0%
4,5,New York Giants(NYG),5,1,1,2,0,0,0,1,13.0,13.0,4.5%
5,6,Indianapolis Colts(IND),5,1,1,1,0,1,0,1,12.0,12.0,66.4%
6,7,Los Angeles Rams(LAR),2,1,1,1,1,0,0,1,11.0,11.0,74.5%
7,8,Green Bay Packers(GB),7,1,0,0,0,0,0,1,10.0,10.0,60.6%
8,9,Seattle Seahawks(SEA),2,1,0,0,0,1,0,1,9.0,9.0,39.4%
9,10,Las Vegas Raiders(LV),3,1,2,2,0,0,0,1,8.0,8.0,7.6%
10,11,Philadelphia Eagles(PHI),2,0,0,0,0,0,1,1,7.0,7.0,52.5%
11,12,New Orleans Saints(NO),3,0,1,1,0,0,0,1,6.0,6.0,79.3%
12,13,New York Jets(NYJ),2,1,1,2,0,0,0,1,5.0,5.0,3.3%
13,14,Cleveland Browns(CLE),3,1,2,3,0,0,0,1,5.0,5.0,40.8%
14,15,Kansas City Chiefs(KC),0,2,0,0,0,0,0,1,5.0,5.0,45.7%
15,16,Detroit Lions(DET),2,0,1,1,0,0,0,1,5.0,5.0,1.1%
16,17,Atlanta Falcons(ATL),2,0,1,2,0,0,0,1,4.0,4.0,5.8%
17,18,Buffalo Bills(BUF),0,2,0,0,0,0,0,1,4.0,4.0,95.9%
18,19,Baltimore Ravens(BAL),1,1,0,0,0,0,0,1,4.0,4.0,51.9%
19,20,Pittsburgh Steelers(PIT),3,0,0,1,0,0,0,1,3.0,3.0,44.6%
20,21,Washington Commanders(WAS),0,1,0,0,0,0,0,1,3.0,3.0,27.5%
21,22,Houston Texans(HOU),3,0,0,0,0,0,0,1,3.0,3.0,6.4%
22,23,Cincinnati Bengals(CIN),0,0,1,1,0,0,0,1,3.0,3.0,14.7%
23,24,Chicago Bears(CHI),2,1,0,0,0,0,0,1,3.0,3.0,35.9%
24,25,San Francisco 49ers(SF),1,0,1,1,0,0,0,1,2.0,2.0,79.5%
25,26,Arizona Cardinals(ARI),1,0,1,0,0,0,0,1,2.0,2.0,60.9%
26,27,Denver Broncos(DEN),1,0,0,0,0,0,0,1,1.0,1.0,48.5%
27,28,Dallas Cowboys(DAL),0,1,0,0,0,0,0,1,1.0,1.0,82.9%
28,29,Carolina Panthers(CAR),0,0,0,0,0,0,0,0,0,0,27.8%
29,30,Tampa Bay Buccaneers(TB),0,0,0,0,0,0,0,0,0,0,98.0%
30,31,Tennessee Titans(TEN),0,0,1,1,0,0,0,1,-2.0,-2.0,48.4%
31,32,Los Angeles Chargers(LAC),1,0,0,1,0,0,0,1,-3.0,-3.0,44.3%
