,Player,REC,YDS,TDS,FL,FPTS
0,Travis KelceKC,6.3,76.7,0.6,0.1,11.1
1,George KittleSF,5.6,72.4,0.5,0.1,10.3
2,Mark AndrewsBAL,5.3,64.8,0.5,0.0,9.4
3,Rob GronkowskiTB,4.4,53.0,0.6,0.0,8.6
4,Dawson KnoxBUF,3.9,44.5,0.5,0.0,7.3
5,Dalton SchultzDAL,4.2,45.5,0.4,0.0,7.1
6,Kyle PittsATL,4.6,56.9,0.2,0.0,6.9
7,Pat FreiermuthPIT,3.9,41.3,0.4,0.0,6.6
8,Tyler ConklinMIN,3.9,41.1,0.4,0.0,6.4
9,Jared CookLAC,3.3,39.2,0.4,0.0,6.4
10,Foster MoreauLV,3.2,37.3,0.4,0.0,6.3
11,Austin HooperCLE,3.8,42.2,0.3,0.0,5.7
12,Zach ErtzARI,3.8,40.4,0.3,0.0,5.7
13,Noah FantDEN,3.9,42.1,0.2,0.0,5.5
14,Tyler HigbeeLAR,3.8,38.0,0.2,0.0,5.0
15,Evan EngramNYG,3.5,35.3,0.2,0.0,4.4
16,Cole KmetCHI,3.4,35.0,0.1,0.0,4.3
17,Gerald EverettSEA,3.2,32.0,0.2,0.1,4.1
18,C.J. UzomahCIN,2.8,27.3,0.2,0.0,4.0
19,Brock WrightDET,2.4,25.1,0.1,0.0,3.2
20,Albert OkwuegbunamDEN,2.2,22.5,0.1,0.0,3.0
21,Geoff SwaimTEN,1.9,19.5,0.2,0.0,2.9
22,Brevin JordanHOU,2.2,21.6,0.1,0.0,2.8
23,Josiah DeguaraGB,1.8,18.2,0.2,0.0,2.7
24,Pharaoh BrownHOU,2.1,21.9,0.1,0.0,2.7
25,Nick VannettNO,1.7,19.7,0.1,0.0,2.6
26,Miller ForristallCLE,1.5,18.0,0.1,0.0,2.4
27,Hayden HurstATL,1.9,18.3,0.1,0.0,2.4
28,Tommy TrembleCAR,1.6,16.3,0.1,0.0,2.3
29,Jordan AkinsHOU,2.1,20.0,0.1,0.1,2.3
30,Cameron BrateTB,1.6,14.9,0.1,0.0,2.2
31,MyCole PruittTEN,1.1,11.6,0.2,0.0,2.1
32,Juwan JohnsonNO,1.4,16.3,0.1,0.0,2.1
33,Anthony FirkserTEN,1.6,16.1,0.1,0.0,2.1
34,Will DisslySEA,1.4,14.9,0.1,0.0,2.1
35,Kyle RudolphNYG,1.6,15.3,0.1,0.0,2.1
36,John BatesWAS,1.5,15.0,0.1,0.0,1.9
37,Ian ThomasCAR,1.4,13.4,0.1,0.0,1.9
38,Daniel HelmATL,1.2,13.2,0.1,0.0,1.8
39,Marcedes LewisGB,1.1,11.9,0.1,0.0,1.7
40,Jimmy GrahamCHI,0.9,11.2,0.1,0.0,1.5
41,O.J. HowardTB,1.0,11.4,0.0,0.0,1.4
42,Jesse JamesCHI,0.8,7.3,0.1,0.0,1.3
43,Tommy HudsonTEN,0.8,7.8,0.1,0.0,1.3
44,Chris ManhertzJAC,0.9,9.8,0.0,0.0,1.3
45,Chris Herndon IVMIN,0.7,7.1,0.1,0.0,1.2
46,Zach GentryPIT,0.9,8.5,0.0,0.0,1.1
47,Luke FarrellJAC,0.8,7.7,0.0,0.0,1.1
48,Ian BuntingDAL,0.6,6.5,0.1,0.0,1.0
49,Garrett GriffinNO,0.7,6.4,0.1,0.0,0.9
50,Dominique DafneyGB,0.6,6.2,0.1,0.0,0.9
51,Stephen AndersonLAC,0.6,6.1,0.1,0.0,0.9
52,Kenny YeboahNYJ,0.7,7.0,0.0,0.0,0.9
53,Tre' McKittyLAC,0.6,5.5,0.1,0.0,0.9
54,Sean McKeonDAL,0.7,5.5,0.1,0.0,0.8
55,Blake BellKC,0.6,5.5,0.1,0.0,0.8
56,Antony AuclairHOU,0.6,5.2,0.1,0.0,0.8
57,Noah GrayKC,0.5,4.7,0.1,0.0,0.8
58,Brycen HopkinsLAR,0.5,4.7,0.1,0.0,0.8
59,Eric SaubertDEN,0.5,4.3,0.1,0.0,0.7
60,Ross DwelleySF,0.4,4.3,0.1,0.0,0.7
61,Josh OliverBAL,0.6,5.9,0.0,0.0,0.7
62,Andrew BeckDEN,0.3,3.5,0.1,0.0,0.6
63,Jeremy SprinkleDAL,0.4,4.1,0.0,0.0,0.6
64,Colin ThompsonCAR,0.4,3.1,0.1,0.0,0.6
65,Drew SampleCIN,0.6,5.1,0.0,0.0,0.6
66,Ben EllefsonMIN,0.5,5.6,0.0,0.0,0.6
67,Kendall BlantonLAR,0.5,4.2,0.0,0.0,0.5
68,Chris MyarickCIN,0.5,5.0,0.0,0.0,0.5
69,Charlie WoernerSF,0.4,4.3,0.0,0.0,0.4
70,Colby ParkinsonSEA,0.4,3.5,0.0,0.0,0.4
71,Demetrius HarrisARI,0.4,3.4,0.0,0.0,0.3
72,Kevin RaderPIT,0.2,3.0,0.0,0.0,0.3
73,Eric TomlinsonBAL,0.3,3.0,0.0,0.0,0.3
74,Reggie GilliamBUF,0.4,2.7,0.0,0.0,0.3
75,Darrell DanielsARI,0.3,2.7,0.0,0.0,0.3
76,J.P. HoltzCHI,0.2,2.2,0.0,0.0,0.2
77,Sammis ReyesWAS,0.2,2.0,0.0,0.0,0.2
78,Jesper HorstedCHI,0.1,1.0,0.0,0.0,0.1
79,Daniel BrownNYJ,0.1,1.0,0.0,0.0,0.1
80,Luke StockerMIN,0.1,1.0,0.0,0.0,0.1
81,Mitchell WilcoxCIN,0.1,1.0,0.0,0.0,0.1
82,Giovanni RicciCAR,0.1,0.4,0.0,0.0,0.0
