,Player,REC,YDS,TDS,FL,FPTS
0,Darren WallerLV,6.4,80.6,0.5,0.1,10.9
1,Kyle PittsATL,5.2,68.4,0.5,0.1,9.4
2,George KittleSF,5.1,63.7,0.5,0.0,9.3
3,Mark AndrewsBAL,4.8,58.7,0.6,0.0,9.1
4,Dalton SchultzDAL,4.9,52.9,0.5,0.0,8.1
5,Rob GronkowskiTB,3.6,46.0,0.5,0.0,7.6
6,Mike GesickiMIA,4.5,50.1,0.4,0.0,7.2
7,Pat FreiermuthPIT,4.3,44.5,0.5,0.0,7.1
8,Dawson KnoxBUF,3.6,43.8,0.5,0.0,7.1
9,Dan ArnoldJAC,3.8,45.9,0.4,0.0,6.6
10,Hunter HenryNE,2.9,32.5,0.4,0.0,5.8
11,Noah FantDEN,4.0,41.3,0.2,0.0,5.5
12,Tyler HigbeeLAR,4.0,41.5,0.2,0.0,5.4
13,Cole KmetCHI,3.9,41.2,0.2,0.0,5.2
14,Evan EngramNYG,4.0,38.4,0.2,0.0,5.0
15,Tyler ConklinMIN,3.6,37.2,0.2,0.0,4.9
16,Jared CookLAC,2.7,34.8,0.2,0.0,4.8
17,Austin HooperCLE,2.9,32.0,0.2,0.0,4.4
18,C.J. UzomahCIN,2.7,29.9,0.2,0.0,4.3
19,Gerald EverettSEA,3.2,32.2,0.1,0.0,4.1
20,David NjokuCLE,2.3,29.1,0.1,0.0,3.7
21,Pharaoh BrownHOU,2.2,23.9,0.1,0.0,3.2
22,Jack DoyleIND,2.1,20.5,0.2,0.0,3.2
23,John BatesWAS,2.5,25.7,0.1,0.0,3.2
24,Geoff SwaimTEN,2.4,22.4,0.1,0.0,3.0
25,Jonnu SmithNE,1.9,20.4,0.1,0.0,2.9
26,Albert OkwuegbunamDEN,2.1,21.4,0.1,0.0,2.8
27,Hayden HurstATL,1.8,17.9,0.2,0.0,2.8
28,Juwan JohnsonNO,1.8,18.9,0.1,0.0,2.7
29,Anthony FirkserTEN,2.0,21.4,0.1,0.0,2.6
30,Mo Alie-CoxIND,1.6,17.2,0.1,0.0,2.6
31,Cameron BrateTB,1.7,17.5,0.1,0.0,2.6
32,Parker HesseATL,1.6,19.0,0.1,0.0,2.5
33,Brevin JordanHOU,1.6,16.7,0.1,0.0,2.4
34,Durham SmytheMIA,1.7,17.0,0.1,0.0,2.3
35,Will DisslySEA,1.5,15.9,0.1,0.0,2.3
36,Josiah DeguaraGB,1.6,14.9,0.1,0.0,2.2
37,Nick VannettNO,1.7,17.4,0.1,0.0,2.2
38,Sean McKeonDAL,1.4,13.9,0.1,0.0,2.2
39,Adam ShaheenMIA,1.2,13.6,0.1,0.0,1.9
40,Jimmy GrahamCHI,1.3,14.5,0.1,0.0,1.9
41,Tommy TrembleCAR,1.4,14.3,0.1,0.0,1.9
42,Harrison BryantCLE,1.1,13.6,0.1,0.0,1.9
43,O.J. HowardTB,1.2,14.5,0.1,0.0,1.9
44,MyCole PruittTEN,1.2,12.9,0.1,0.0,1.8
45,Jesse JamesCHI,1.1,12.0,0.1,0.0,1.8
46,Foster MoreauLV,1.0,11.2,0.1,0.0,1.7
47,Marcedes LewisGB,1.1,12.4,0.1,0.0,1.7
48,Kyle RudolphNYG,1.2,13.0,0.0,0.0,1.6
49,Tommy SweeneyBUF,1.1,10.2,0.1,0.0,1.6
50,Ian ThomasCAR,1.2,11.5,0.1,0.0,1.5
51,Daniel HelmATL,0.7,8.0,0.1,0.0,1.4
52,Sammis ReyesWAS,0.8,8.0,0.1,0.0,1.4
53,Brycen HopkinsLAR,0.7,7.6,0.1,0.0,1.4
54,Kaden SmithNYG,1.1,8.5,0.1,0.0,1.3
55,Dominique DafneyGB,0.7,7.4,0.1,0.0,1.3
56,Nick BoyleBAL,1.0,9.2,0.1,0.0,1.2
