,Player,REC,YDS,TDS,FL,FPTS
0,Travis KelceKC,6.4,79.4,0.6,0.1,11.4
1,Darren WallerLV,6.3,75.7,0.5,0.1,10.6
2,George KittleSF,5.5,68.5,0.5,0.1,9.6
3,Kyle PittsATL,5.2,68.9,0.4,0.0,9.3
4,Mark AndrewsBAL,4.8,59.5,0.5,0.0,8.8
5,Mike GesickiMIA,4.7,55.4,0.5,0.0,8.2
6,Dalton SchultzDAL,4.5,48.5,0.4,0.0,7.5
7,Dan ArnoldJAC,4.1,49.0,0.4,0.0,7.0
8,Hunter HenryNE,3.2,36.1,0.5,0.0,6.7
9,Dawson KnoxBUF,3.1,37.8,0.4,0.0,6.4
10,Rob GronkowskiTB,3.1,37.6,0.3,0.0,5.8
11,C.J. UzomahCIN,2.9,31.4,0.4,0.0,5.7
12,Zach ErtzARI,3.9,41.4,0.2,0.0,5.4
13,Pat FreiermuthPIT,3.7,37.9,0.3,0.0,5.2
14,Cole KmetCHI,3.7,40.7,0.2,0.0,5.2
15,Tyler ConklinMIN,3.7,38.8,0.2,0.0,5.2
16,Jared CookLAC,2.9,37.5,0.2,0.0,5.2
17,Austin HooperCLE,3.1,33.6,0.2,0.0,4.8
18,David NjokuCLE,2.4,33.5,0.2,0.0,4.6
19,Evan EngramNYG,3.7,33.9,0.2,0.0,4.3
20,Adam TrautmanNO,3.2,33.5,0.2,0.1,4.2
21,Gerald EverettSEA,3.0,29.9,0.1,0.0,3.7
22,Anthony FirkserTEN,2.5,25.6,0.1,0.0,3.4
23,Jonnu SmithNE,2.0,20.7,0.2,0.0,3.1
24,John BatesWAS,2.4,23.3,0.1,0.0,2.9
25,Pharaoh BrownHOU,2.0,20.3,0.1,0.0,2.8
26,Mo Alie-CoxIND,1.6,18.5,0.1,0.0,2.6
27,Harrison BryantCLE,1.4,18.1,0.1,0.0,2.6
28,Jack DoyleIND,1.9,18.3,0.1,0.0,2.5
29,MyCole PruittTEN,1.2,13.9,0.2,0.0,2.5
30,O.J. HowardTB,1.6,19.8,0.1,0.0,2.5
31,Cameron BrateTB,1.5,15.3,0.1,0.0,2.4
32,Tommy SweeneyBUF,1.4,13.9,0.2,0.0,2.3
33,Sean McKeonDAL,1.4,15.3,0.1,0.0,2.3
34,Brevin JordanHOU,1.5,15.9,0.1,0.0,2.2
35,Josiah DeguaraGB,1.6,15.5,0.1,0.0,2.2
36,Tommy TrembleCAR,1.4,14.8,0.1,0.0,2.1
37,Durham SmytheMIA,1.4,14.6,0.1,0.0,2.1
38,Will DisslySEA,1.3,14.6,0.1,0.0,2.0
39,Parker HesseATL,1.2,14.0,0.1,0.0,2.0
40,Kyle RudolphNYG,1.5,14.4,0.1,0.0,1.9
41,Marcedes LewisGB,1.3,13.8,0.1,0.0,1.8
42,Eric EbronPIT,1.4,13.7,0.1,0.0,1.8
43,Adam ShaheenMIA,1.2,12.1,0.1,0.0,1.7
44,Tyree JacksonPHI,0.9,11.0,0.1,0.0,1.7
45,Jimmy GrahamCHI,1.0,11.8,0.1,0.0,1.7
46,Jordan AkinsHOU,1.5,16.5,0.0,0.0,1.7
47,Ian ThomasCAR,1.1,12.4,0.1,0.0,1.6
48,Foster MoreauLV,0.9,9.5,0.1,0.0,1.5
49,Jesse JamesCHI,1.0,9.6,0.1,0.0,1.5
50,Daniel HelmATL,0.8,8.1,0.1,0.0,1.4
51,Sammis ReyesWAS,0.9,9.6,0.1,0.0,1.4
52,Dominique DafneyGB,0.7,8.2,0.1,0.0,1.3
53,Nick BoyleBAL,1.0,10.0,0.1,0.0,1.3
54,Chris Herndon IVMIN,0.9,8.6,0.1,0.0,1.3
55,Tommy HudsonTEN,0.7,6.8,0.1,0.0,1.1
56,Nick VannettNO,1.1,9.3,0.0,0.0,1.1
57,Stephen AndersonLAC,0.7,7.3,0.1,0.0,1.1
58,Antony AuclairHOU,0.7,7.3,0.1,0.0,1.0
59,Blake BellKC,0.6,6.4,0.1,0.0,0.9
60,Noah GrayKC,0.6,5.8,0.1,0.0,0.9
61,Brock WrightDET,0.8,7.9,0.0,0.0,0.9
62,Tre' McKittyLAC,0.5,5.9,0.1,0.0,0.9
63,Ross DwelleySF,0.5,5.5,0.1,0.0,0.9
64,Drew SampleCIN,0.7,6.5,0.0,0.0,0.8
65,Chris ManhertzJAC,0.5,4.3,0.1,0.0,0.7
66,Garrett GriffinNO,0.5,5.0,0.0,0.0,0.7
67,Josh OliverBAL,0.6,5.3,0.0,0.0,0.7
68,Zach GentryPIT,0.7,6.5,0.0,0.0,0.6
69,Colin ThompsonCAR,0.3,3.1,0.1,0.0,0.6
70,Luke FarrellJAC,0.7,5.8,0.0,0.0,0.6
71,Charlie WoernerSF,0.6,5.6,0.0,0.0,0.6
72,Kylen GransonIND,0.5,4.6,0.0,0.0,0.5
73,Colby ParkinsonSEA,0.5,4.0,0.0,0.0,0.4
74,Darrell DanielsARI,0.4,3.6,0.0,0.0,0.4
75,J.P. HoltzCHI,0.3,3.4,0.0,0.0,0.3
76,Demetrius HarrisARI,0.3,3.1,0.0,0.0,0.3
77,Kaden SmithNYG,0.4,3.0,0.0,0.0,0.3
78,Trevon WescoNYJ,0.3,3.0,0.0,0.0,0.3
79,Reggie GilliamBUF,0.3,2.6,0.0,0.0,0.3
80,Luke StockerMIN,0.2,2.0,0.0,0.0,0.2
81,Quintin MorrisBUF,0.2,2.0,0.0,0.0,0.2
82,Kenny YeboahNYJ,0.2,2.0,0.0,0.0,0.2
