,Player,REC,YDS,TDS,FL,FPTS
0,George KittleSF,5.8,74.4,0.6,0.1,10.9
1,Travis KelceKC,5.8,70.0,0.6,0.0,10.3
2,Rob GronkowskiTB,4.9,61.6,0.6,0.0,10.0
3,Mark AndrewsBAL,5.4,61.1,0.5,0.0,9.0
4,Mike GesickiMIA,4.5,50.5,0.5,0.0,7.8
5,Zach ErtzARI,4.0,45.6,0.5,0.0,7.8
6,Dawson KnoxBUF,3.8,43.8,0.5,0.0,7.6
7,Pat FreiermuthPIT,4.0,40.5,0.5,0.0,6.8
8,Kyle PittsATL,4.5,55.7,0.2,0.0,6.7
9,Tyler ConklinMIN,3.7,39.8,0.2,0.0,5.3
10,David NjokuCLE,3.1,38.1,0.2,0.0,5.2
11,Noah FantDEN,3.9,40.4,0.2,0.0,5.2
12,Dalton SchultzDAL,3.5,38.9,0.2,0.0,5.1
13,Cole KmetCHI,3.4,36.3,0.2,0.0,4.7
14,Jared CookLAC,2.9,33.4,0.2,0.0,4.6
15,Gerald EverettSEA,3.7,35.1,0.2,0.1,4.5
16,Foster MoreauLV,2.7,30.4,0.2,0.0,4.4
17,Evan EngramNYG,3.3,34.2,0.1,0.0,4.1
18,Hunter HenryNE,2.5,27.5,0.2,0.0,4.0
19,C.J. UzomahCIN,2.8,29.0,0.2,0.0,4.0
20,Albert OkwuegbunamDEN,2.5,25.6,0.2,0.0,3.5
21,Jack DoyleIND,2.4,26.3,0.1,0.0,3.5
22,Jonnu SmithNE,2.4,26.2,0.1,0.0,3.5
23,Brevin JordanHOU,2.5,25.1,0.1,0.0,3.4
24,Josiah DeguaraGB,2.2,22.8,0.2,0.0,3.3
25,Adam TrautmanNO,2.2,23.3,0.2,0.0,3.2
26,Chris ManhertzJAC,1.7,19.6,0.2,0.0,3.2
27,Austin HooperCLE,2.3,19.2,0.2,0.0,3.1
28,Cameron BrateTB,2.0,20.1,0.2,0.0,3.1
29,Geoff SwaimTEN,2.3,22.9,0.1,0.0,3.1
30,Shane ZylstraDET,2.5,23.2,0.1,0.1,3.0
31,Will DisslySEA,1.8,19.6,0.1,0.0,2.6
32,MyCole PruittTEN,1.3,14.5,0.2,0.0,2.6
33,Kendall BlantonLAR,1.7,17.7,0.1,0.0,2.6
34,Nick VannettNO,1.9,20.6,0.1,0.0,2.6
35,Harrison BryantCLE,1.7,18.5,0.1,0.0,2.5
36,Hayden HurstATL,1.9,19.0,0.1,0.0,2.5
37,Brock WrightDET,1.7,19.0,0.1,0.0,2.5
38,Durham SmytheMIA,1.9,19.5,0.1,0.0,2.4
39,Kyle RudolphNYG,1.7,18.7,0.1,0.0,2.4
40,Anthony FirkserTEN,1.9,18.9,0.1,0.0,2.4
41,Marcedes LewisGB,1.5,17.4,0.1,0.0,2.3
42,John BatesWAS,1.8,18.1,0.1,0.0,2.3
43,Jimmy GrahamCHI,1.3,15.6,0.1,0.0,2.3
44,Chris Herndon IVMIN,1.2,13.4,0.2,0.1,2.2
45,Mo Alie-CoxIND,1.4,16.4,0.1,0.0,2.2
