,Player,REC,YDS,TDS,FL,FPTS
0,Travis KelceKC,6.5,77.8,0.6,0.1,11.3
1,Darren WallerLV,6.3,77.5,0.6,0.1,11.0
2,Mark AndrewsBAL,5.0,64.2,0.6,0.0,9.8
3,Mike GesickiMIA,4.9,59.7,0.5,0.0,8.8
4,Kyle PittsATL,5.0,62.9,0.2,0.0,7.7
5,Dalton SchultzDAL,4.4,47.8,0.3,0.0,6.6
6,Hunter HenryNE,3.3,37.0,0.4,0.0,6.2
7,Dan ArnoldJAC,3.7,40.6,0.3,0.0,5.8
8,Jared CookLAC,3.4,41.9,0.3,0.0,5.8
9,George KittleSF,3.7,45.5,0.2,0.0,5.7
10,Zach ErtzARI,4.0,41.2,0.2,0.0,5.6
11,Tyler HigbeeLAR,3.5,37.9,0.3,0.0,5.4
12,Albert OkwuegbunamDEN,4.0,39.4,0.2,0.1,5.1
13,Pat FreiermuthPIT,3.4,37.3,0.2,0.0,5.0
14,Tyler ConklinMIN,3.5,38.4,0.2,0.0,4.9
15,C.J. UzomahCIN,2.5,28.9,0.3,0.0,4.5
16,Evan EngramNYG,3.7,34.8,0.1,0.0,4.3
17,Austin HooperCLE,3.0,31.7,0.2,0.0,4.3
18,Cole KmetCHI,3.2,32.8,0.1,0.0,4.0
19,Tommy SweeneyBUF,2.5,27.4,0.2,0.0,4.0
20,Mo Alie-CoxIND,2.1,25.5,0.2,0.0,3.9
21,David NjokuCLE,2.2,29.4,0.1,0.0,3.7
22,Jordan AkinsHOU,2.7,28.1,0.1,0.0,3.4
23,Nick BoyleBAL,2.0,22.3,0.2,0.0,3.4
24,Adam TrautmanNO,2.2,24.3,0.1,0.0,3.2
25,Jonnu SmithNE,2.3,23.5,0.1,0.0,3.2
26,Hayden HurstATL,2.4,25.1,0.1,0.0,3.2
27,Jack DoyleIND,1.7,17.6,0.2,0.0,2.7
28,Anthony FirkserTEN,1.8,18.2,0.1,0.0,2.3
29,Blake JarwinDAL,2.0,23.0,0.0,0.0,2.3
30,Durham SmytheMIA,1.6,16.7,0.1,0.0,2.2
31,Tommy TrembleCAR,1.6,17.5,0.1,0.0,2.2
32,Brevin JordanHOU,1.4,15.3,0.1,0.0,2.2
33,Tyler KroftNYJ,1.4,13.7,0.1,0.0,2.1
34,MyCole PruittTEN,1.3,14.3,0.1,0.0,2.1
35,Charlie WoernerSF,1.5,15.2,0.1,0.0,2.1
36,Foster MoreauLV,1.4,14.6,0.1,0.0,2.1
37,Marcedes LewisGB,1.5,16.4,0.1,0.0,2.1
38,Geoff SwaimTEN,1.6,14.8,0.1,0.0,2.0
39,Kyle RudolphNYG,1.4,12.9,0.1,0.0,1.9
40,Harrison BryantCLE,1.1,12.8,0.1,0.0,1.8
41,Josiah DeguaraGB,1.4,13.4,0.1,0.0,1.8
42,Adam ShaheenMIA,1.2,12.8,0.1,0.0,1.8
43,Juwan JohnsonNO,0.9,11.7,0.1,0.0,1.6
44,Ian ThomasCAR,1.1,13.0,0.0,0.0,1.6
45,Zach GentryPIT,1.1,11.3,0.1,0.0,1.6
46,Eric SaubertDEN,1.2,11.3,0.1,0.0,1.6
47,Eric EbronPIT,1.3,12.6,0.0,0.0,1.5
48,Richard RodgersPHI,0.7,9.0,0.1,0.0,1.5
49,Dominique DafneyGB,0.8,8.3,0.1,0.0,1.4
50,Brycen HopkinsLAR,0.7,8.2,0.1,0.0,1.4
51,Chris Herndon IVMIN,0.9,9.0,0.1,0.1,1.4
52,Daniel HelmATL,0.7,7.8,0.1,0.0,1.4
53,Jimmy GrahamCHI,0.9,10.4,0.1,0.0,1.3
54,Jesse JamesCHI,1.0,9.4,0.1,0.0,1.3
55,Ross DwelleySF,0.9,9.1,0.1,0.0,1.3
56,Garrett GriffinNO,0.8,8.9,0.1,0.0,1.3
57,Sean McKeonDAL,0.7,6.8,0.1,0.0,1.1
58,Josh OliverBAL,0.8,8.1,0.0,0.0,1.1
59,Kylen GransonIND,0.7,6.6,0.1,0.0,1.1
