,Player,REC,YDS,TDS,FL,FPTS
0,Travis KelceKC,6.3,76.2,0.6,0.1,11.0
1,George KittleSF,5.9,79.2,0.5,0.1,10.8
2,Mark AndrewsBAL,5.2,64.6,0.5,0.0,9.6
3,Rob GronkowskiTB,4.3,52.2,0.6,0.0,8.6
4,Kyle PittsATL,5.0,61.8,0.4,0.0,8.6
5,Dalton SchultzDAL,4.1,45.4,0.4,0.0,7.1
6,Mike GesickiMIA,4.2,46.1,0.4,0.0,7.0
7,Zach ErtzARI,3.9,41.5,0.5,0.0,6.8
8,Dawson KnoxBUF,3.5,41.6,0.4,0.0,6.7
9,Noah FantDEN,4.3,44.5,0.4,0.0,6.7
10,Pat FreiermuthPIT,3.9,41.0,0.4,0.0,6.6
11,Foster MoreauLV,3.2,36.5,0.5,0.0,6.4
12,Tyler HigbeeLAR,3.8,38.8,0.3,0.0,5.4
13,Tyler ConklinMIN,3.6,36.8,0.2,0.0,5.0
14,Cole KmetCHI,3.9,39.4,0.2,0.0,4.9
15,Jared CookLAC,2.8,34.1,0.2,0.0,4.7
16,Evan EngramNYG,4.1,38.1,0.2,0.0,4.7
17,Hunter HenryNE,3.2,33.4,0.2,0.0,4.3
18,Gerald EverettSEA,3.2,32.1,0.2,0.0,4.1
19,C.J. UzomahCIN,2.7,28.2,0.2,0.0,4.1
20,Jack DoyleIND,2.6,27.4,0.2,0.0,3.9
21,Jordan AkinsHOU,3.0,29.0,0.1,0.2,3.1
22,Albert OkwuegbunamDEN,2.3,23.2,0.1,0.0,3.0
23,Jonnu SmithNE,2.2,22.9,0.1,0.0,3.0
24,Brevin JordanHOU,2.1,21.4,0.1,0.0,2.9
25,Durham SmytheMIA,2.1,21.1,0.1,0.0,2.5
26,Pharaoh BrownHOU,1.9,19.8,0.1,0.0,2.5
27,Cameron BrateTB,1.7,16.8,0.1,0.0,2.4
28,Hayden HurstATL,2.0,18.2,0.1,0.1,2.4
29,Mo Alie-CoxIND,1.4,16.6,0.1,0.0,2.3
30,Nick VannettNO,1.8,17.9,0.1,0.0,2.3
31,Daniel HelmATL,1.4,15.7,0.1,0.0,2.2
32,John BatesWAS,1.7,18.3,0.1,0.0,2.2
33,Will DisslySEA,1.3,14.4,0.1,0.0,2.1
34,Tyler KroftNYJ,1.3,14.0,0.1,0.0,2.0
35,Brock WrightDET,1.3,13.1,0.1,0.0,1.9
36,Juwan JohnsonNO,1.3,14.2,0.1,0.0,1.9
37,Jimmy GrahamCHI,1.2,14.3,0.1,0.0,1.9
38,Kyle RudolphNYG,1.4,13.5,0.1,0.0,1.8
39,Parker HesseATL,1.2,12.3,0.1,0.0,1.7
40,O.J. HowardTB,1.1,12.7,0.1,0.0,1.7
41,Chris ManhertzJAC,1.0,10.9,0.1,0.0,1.6
42,Richard RodgersPHI,0.8,8.9,0.1,0.0,1.4
43,Nick BoyleBAL,0.8,7.7,0.1,0.0,1.4
44,Luke FarrellJAC,1.1,10.0,0.1,0.0,1.3
45,David WellsARI,0.7,6.5,0.1,0.0,1.3
46,Sean McKeonDAL,0.8,8.5,0.1,0.0,1.2
47,Stephen AndersonLAC,0.7,7.7,0.1,0.0,1.2
48,Chris Herndon IVMIN,0.7,7.0,0.1,0.0,1.2
49,Jacob HollisterJAC,0.7,5.2,0.1,0.0,1.1
50,Kylen GransonIND,0.7,8.0,0.1,0.0,1.1
51,Jesse JamesCHI,0.8,7.6,0.1,0.0,1.1
52,Tommy SweeneyBUF,0.8,9.5,0.0,0.0,1.1
53,Zach GentryPIT,0.8,8.4,0.0,0.0,1.1
54,Garrett GriffinNO,0.7,6.8,0.1,0.0,1.0
55,Noah GrayKC,0.6,5.9,0.1,0.0,0.9
56,Tre' McKittyLAC,0.6,6.0,0.1,0.0,0.9
57,Blake BellKC,0.6,5.5,0.1,0.0,0.8
58,Eric SaubertDEN,0.6,5.3,0.1,0.0,0.8
59,Ross DwelleySF,0.4,5.3,0.1,0.0,0.8
60,Antony AuclairHOU,0.6,5.2,0.1,0.0,0.8
61,Hunter LongMIA,0.6,6.5,0.0,0.0,0.8
62,Brycen HopkinsLAR,0.5,4.7,0.1,0.0,0.8
63,Chris MyarickCIN,0.8,7.0,0.0,0.0,0.7
64,Drew SampleCIN,0.8,6.0,0.0,0.0,0.7
65,Andrew BeckDEN,0.3,3.5,0.1,0.0,0.6
66,Colby ParkinsonSEA,0.5,5.0,0.0,0.0,0.6
67,Jesper HorstedCHI,0.4,3.4,0.1,0.0,0.6
68,Charlie WoernerSF,0.5,5.8,0.0,0.0,0.6
69,Ben EllefsonMIN,0.5,5.6,0.0,0.0,0.6
70,Tyree JacksonPHI,0.5,5.0,0.0,0.0,0.5
71,Josh OliverBAL,0.5,4.6,0.0,0.0,0.5
72,Kendall BlantonLAR,0.4,3.8,0.0,0.0,0.4
73,Demetrius HarrisARI,0.3,3.4,0.0,0.0,0.3
74,Darrell DanielsARI,0.4,3.2,0.0,0.0,0.3
75,Kevin RaderPIT,0.3,3.0,0.0,0.0,0.3
76,Reggie GilliamBUF,0.4,2.7,0.0,0.0,0.3
77,J.P. HoltzCHI,0.2,2.2,0.0,0.0,0.2
78,Sammis ReyesWAS,0.2,2.0,0.0,0.0,0.2
79,Eric TomlinsonBAL,0.2,2.0,0.0,0.0,0.2
80,Mitchell WilcoxCIN,0.1,1.0,0.0,0.0,0.1
81,Kenny YeboahNYJ,0.1,1.0,0.0,0.0,0.1
82,Daniel BrownNYJ,0.1,1.0,0.0,0.0,0.1
83,Luke StockerMIN,0.1,1.0,0.0,0.0,0.1
84,Cethan CarterMIA,0.0,0.0,0.0,0.0,0.0
85,Jeremy SprinkleDAL,0.0,0.0,0.0,0.0,0.0
