,Rank,Player,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,YDS,Y/R,TD,FL,G,FPTS,FPTS/G,ROST
0,1,Dion Lewis(FA),26,93,3.6,17,0,1,6,7,40,6.7,1,0,1,25.3,25.3,2.0%
1,2,Latavius Murray(BAL),20,111,5.6,22,1,2,1,1,3,3.0,0,0,1,23.4,23.4,22.2%
2,3,Orleans Darkwa(FA),20,154,7.7,75,1,1,0,1,0,0,0,0,1,21.4,21.4,0.0%
3,4,Carlos Hyde(JAC),15,88,5.9,16,0,2,2,4,10,5.0,0,1,1,20.0,20.0,6.9%
4,5,Alvin Kamara(NO),9,44,4.9,19,0,1,6,7,84,14.0,0,0,1,18.8,18.8,100.0%
5,6,Derrick Henry(TEN),28,51,1.8,13,0,0,1,2,66,66.0,1,0,1,17.7,17.7,78.0%
6,7,Devonta Freeman(BAL),11,23,2.1,5,0,0,9,11,85,9.4,1,0,1,16.8,16.8,74.2%
7,8,Alex Collins(SEA),20,78,3.9,17,0,1,2,6,18,9.0,0,0,1,15.6,15.6,18.8%
8,9,Peyton Barber(LV),17,71,4.2,8,0,1,2,4,18,9.0,0,0,1,14.9,14.9,1.2%
9,10,Ezekiel Elliott(DAL),27,103,3.8,25,1,0,3,5,38,12.7,0,0,1,14.1,14.1,99.7%
10,11,Stevan Ridley(FA),17,80,4.7,21,1,1,0,0,0,0,0,0,1,14.0,14.0,0.0%
11,12,Leonard Fournette(TB),19,69,3.6,9,0,0,4,5,67,16.8,0,0,1,13.6,13.6,74.8%
12,13,Alfred Blue(FA),18,39,2.2,8,0,1,4,5,36,9.0,0,0,1,13.5,13.5,0.0%
13,14,Duke Johnson Jr.(MIA),6,20,3.3,10,0,1,6,6,75,12.5,0,1,1,13.5,13.5,7.4%
14,15,Melvin Gordon III(DEN),17,93,5.5,17,0,0,6,7,31,5.2,0,0,1,12.4,12.4,87.8%
15,16,Anthony Sherman(FA),14,40,2.9,9,0,1,3,4,21,7.0,0,0,1,12.1,12.1,0.0%
16,17,Marshawn Lynch(FA),19,101,5.3,19,0,0,2,3,18,9.0,0,0,1,11.9,11.9,0.3%
17,18,Jamaal Williams(DET),22,82,3.7,14,0,0,3,5,31,10.3,0,0,1,11.3,11.3,58.2%
18,19,Frank Gore(FA),24,100,4.2,16,0,0,3,3,11,3.7,0,0,1,11.1,11.1,12.2%
19,20,De'Angelo Henderson Sr.(FA),5,15,3.0,5,0,0,1,1,29,29.0,1,0,1,10.4,10.4,0.0%
20,21,Matt Breida(BUF),12,72,6.0,15,0,0,1,2,32,32.0,0,0,1,10.4,10.4,8.2%
21,22,Kapri Bibbs(FA),12,47,3.9,16,0,0,8,9,53,6.6,0,0,1,10.0,10.0,0.1%
22,23,Elijhaa Penny(NYG),8,39,4.9,11,0,1,0,1,0,0,0,0,1,9.9,9.9,0.1%
23,24,Marlon Mack(IND),7,28,4.0,12,0,1,2,3,10,5.0,0,0,1,9.8,9.8,1.6%
24,25,Kareem Hunt(CLE),1,35,35.0,35,1,1,0,0,0,0,0,0,1,9.5,9.5,82.1%
25,26,Kenyan Drake(LV),14,75,5.4,32,1,0,3,3,15,5.0,0,0,1,9.0,9.0,29.4%
26,27,Wayne Gallman Jr.(MIN),15,89,5.9,24,2,0,0,2,0,0,0,0,1,8.9,8.9,1.0%
27,28,Ameer Abdullah(CAR),8,18,2.3,7,0,1,1,2,11,11.0,0,0,1,8.9,8.9,10.4%
28,29,Lance Dunbar(FA),6,20,3.3,8,0,1,1,2,1,1.0,0,0,1,8.1,8.1,0.0%
29,30,Kerwynn Williams(FA),23,75,3.3,9,0,0,1,1,6,6.0,0,0,1,8.1,8.1,0.0%
30,31,Joe Mixon(CIN),18,96,5.3,17,0,0,1,1,1,1.0,0,1,1,7.7,7.7,98.1%
31,32,Giovani Bernard(TB),10,52,5.2,21,1,0,6,9,18,3.0,0,0,1,7.0,7.0,5.4%
32,33,Zach Line(FA),1,5,5.0,5,0,0,1,1,3,3.0,1,0,1,6.8,6.8,0.0%
33,34,Mike Davis(ATL),10,48,4.8,33,1,0,2,3,16,8.0,0,0,1,6.4,6.4,49.7%
34,35,Malcolm Brown(MIA),14,54,3.9,20,1,0,4,5,7,1.8,0,0,1,6.1,6.1,3.6%
35,36,C.J. Anderson(FA),18,61,3.4,10,0,0,0,1,0,0,0,0,1,6.1,6.1,1.0%
36,37,Bilal Powell(FA),13,46,3.5,24,1,0,1,2,10,10.0,0,0,1,5.6,5.6,0.0%
37,38,Mark Ingram II(NO),13,35,2.7,10,0,0,4,4,19,4.8,0,0,1,5.4,5.4,39.1%
38,39,Christian McCaffrey(CAR),6,14,2.3,8,0,0,5,8,40,8.0,0,0,1,5.4,5.4,47.2%
39,40,Brandon Bolden(NE),9,46,5.1,20,1,0,1,4,7,7.0,0,0,1,5.3,5.3,10.7%
40,41,LeGarrette Blount(FA),9,37,4.1,9,0,0,1,1,11,11.0,0,0,1,4.8,4.8,0.1%
41,42,Marcus Murphy(FA),7,41,5.9,25,1,0,2,2,7,3.5,0,0,1,4.8,4.8,0.0%
42,43,Devontae Booker(NYG),3,21,7.0,14,0,0,1,1,25,25.0,0,0,1,4.6,4.6,23.3%
43,44,Mike Tolbert(FA),7,39,5.6,16,0,0,1,2,6,6.0,0,0,1,4.5,4.5,0.0%
44,45,Jerick McKinnon(KC),12,44,3.7,14,0,0,0,1,0,0,0,0,1,4.4,4.4,0.8%
45,46,Lamar Miller(FA),8,37,4.6,16,0,0,0,0,0,0,0,0,1,3.7,3.7,0.0%
46,47,Javorius Allen(FA),5,37,7.4,19,0,0,0,1,0,0,0,0,1,3.7,3.7,0.1%
47,48,Tevin Coleman(NYJ),11,23,2.1,6,0,0,2,2,14,7.0,0,0,1,3.7,3.7,18.5%
48,49,Tion Green(FA),9,21,2.3,10,0,0,2,2,14,7.0,0,0,1,3.5,3.5,0.0%
49,50,LeSean McCoy(FA),11,10,0.9,5,0,0,2,3,22,11.0,0,0,1,3.2,3.2,2.0%
50,51,Fitzgerald Toussaint(FA),5,22,4.4,7,0,0,2,3,9,4.5,0,0,1,3.1,3.1,0.0%
51,52,Wendell Smallwood(FA),4,6,1.5,5,0,0,3,3,24,8.0,0,0,1,3.0,3.0,0.0%
52,53,Akeem Hunt(FA),4,25,6.3,11,0,0,1,2,4,4.0,0,0,1,2.9,2.9,0.0%
53,54,J.D. McKissic(WAS),4,9,2.3,7,0,0,3,3,20,6.7,0,0,1,2.9,2.9,32.9%
54,55,Thomas Rawls(FA),3,8,2.7,5,0,0,2,3,20,10.0,0,0,1,2.8,2.8,0.1%
55,56,Tarik Cohen(CHI),3,13,4.3,10,0,0,6,8,14,2.3,0,0,1,2.7,2.7,3.0%
56,57,De'Veon Smith(FA),0,0,0,0,0,0,3,3,27,9.0,0,0,1,2.7,2.7,0.0%
57,58,Theo Riddick(FA),4,10,2.5,3,0,0,2,3,12,6.0,0,0,1,2.2,2.2,0.0%
58,59,Isaiah Crowell(FA),15,21,1.4,7,0,0,0,0,0,0,0,0,1,2.1,2.1,0.1%
59,60,Jacquizz Rodgers(FA),0,0,0,0,0,0,2,2,20,10.0,0,0,1,2.0,2.0,0.0%
60,61,D.J. Foster(FA),1,3,3.0,3,0,0,1,3,17,17.0,0,0,1,2.0,2.0,0.0%
61,62,Kyle Juszczyk(SF),0,0,0,0,0,0,4,4,19,4.8,0,0,1,1.9,1.9,1.0%
62,63,Branden Oliver(FA),7,13,1.9,11,0,0,1,1,6,6.0,0,0,1,1.9,1.9,0.0%
63,64,Danny Woodhead(FA),1,3,3.0,3,0,0,4,6,16,4.0,0,0,1,1.9,1.9,20.6%
64,65,Paul Perkins(FA),3,7,2.3,4,0,0,1,1,11,11.0,0,0,1,1.8,1.8,0.0%
65,66,Cameron Artis-Payne(FA),5,16,3.2,12,0,0,0,0,0,0,0,0,1,1.6,1.6,0.0%
66,67,Shane Vereen(FA),3,14,4.7,8,0,0,0,2,0,0,0,0,1,1.4,1.4,0.0%
67,68,Jordan Howard(PHI),9,9,1.0,4,0,0,1,1,5,5.0,0,0,1,1.4,1.4,18.7%
68,69,Kenjon Barner(TB),1,-2,-2.0,0,0,0,1,1,14,14.0,0,0,1,1.2,1.2,0.0%
69,70,Senorise Perry(FA),3,8,2.7,5,0,0,1,1,3,3.0,0,0,1,1.1,1.1,0.0%
70,71,Elijah McGuire(FA),4,-6,-1.5,3,0,0,3,6,16,5.3,0,0,1,1.0,1.0,0.0%
71,72,Fozzy Whittaker(FA),1,0,0.0,0,0,0,1,1,9,9.0,0,0,1,0.9,0.9,0.0%
72,73,Jay Prosch(FA),0,0,0,0,0,0,1,1,9,9.0,0,0,1,0.9,0.9,0.0%
