,Rank,Player,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,YDS,Y/R,TD,FL,G,FPTS,FPTS/G,ROST
0,1,LeSean McCoy(FA),13,114,8.8,37,3,1,1,1,12,12.0,1,0,1,24.6,24.6,2.0%
1,2,Latavius Murray(BAL),15,95,6.3,34,2,2,1,2,1,1.0,0,0,1,21.6,21.6,22.2%
2,3,Mark Ingram II(NO),11,134,12.2,36,3,1,3,4,21,7.0,0,0,1,21.5,21.5,39.1%
3,4,D'Onta Foreman(TEN),10,65,6.5,34,1,2,3,3,15,5.0,0,0,1,20.0,20.0,66.5%
4,5,Alvin Kamara(NO),8,42,5.3,24,1,0,6,9,74,12.3,1,0,1,19.6,19.6,100.0%
5,6,Samaje Perine(CIN),23,117,5.1,30,1,1,1,2,9,9.0,0,0,1,18.6,18.6,15.2%
6,7,Jordan Howard(PHI),15,125,8.3,50,1,1,0,0,0,0,0,0,1,18.5,18.5,18.7%
7,8,Orleans Darkwa(FA),20,74,3.7,14,0,1,2,4,16,8.0,0,0,1,15.0,15.0,0.0%
8,9,Dion Lewis(FA),10,60,6.0,20,1,0,4,4,28,7.0,1,0,1,14.8,14.8,2.0%
9,10,Lamar Miller(FA),22,61,2.8,13,0,0,4,5,22,5.5,1,0,1,14.3,14.3,0.0%
10,11,Melvin Gordon III(DEN),20,80,4.0,20,1,1,0,2,0,0,0,0,1,14.0,14.0,87.8%
11,12,Alex Collins(SEA),20,49,2.5,9,0,1,4,7,22,5.5,0,0,1,13.1,13.1,18.8%
12,13,Corey Clement(DAL),6,50,8.3,17,0,1,0,0,0,0,0,0,1,13.0,13.0,0.8%
13,14,Duke Johnson Jr.(MIA),2,10,5.0,7,0,0,4,6,56,14.0,1,0,1,12.6,12.6,7.4%
14,15,Tarik Cohen(CHI),9,44,4.9,15,0,1,4,6,15,3.8,0,0,1,11.9,11.9,3.0%
15,16,Tevin Coleman(NYJ),20,43,2.2,9,0,1,1,2,15,15.0,0,0,1,11.8,11.8,18.5%
16,17,Austin Ekeler(LAC),6,40,6.7,21,1,1,2,2,18,9.0,0,0,1,11.8,11.8,99.9%
17,18,Leonard Fournette(TB),28,111,4.0,29,1,0,2,3,7,3.5,0,0,1,11.8,11.8,74.8%
18,19,Todd Gurley II(FA),15,37,2.5,8,0,1,3,4,19,6.3,0,0,1,11.6,11.6,0.4%
19,20,Le'Veon Bell(FA),12,46,3.8,7,0,0,9,11,57,6.3,0,0,1,10.3,10.3,5.4%
20,21,Damien Williams(CHI),10,78,7.8,69,1,0,1,1,24,24.0,0,0,1,10.2,10.2,4.4%
21,22,Jay Ajayi(FA),7,91,13.0,71,1,0,1,1,10,10.0,0,0,1,10.1,10.1,7.0%
22,23,Devontae Booker(NYG),14,44,3.1,8,0,0,5,6,54,10.8,0,0,1,9.8,9.8,23.3%
23,24,C.J. Anderson(FA),13,37,2.8,7,0,1,2,3,19,9.5,0,1,1,9.6,9.6,1.0%
24,25,Jamaal Williams(DET),18,57,3.2,8,0,0,4,6,38,9.5,0,0,1,9.5,9.5,58.2%
25,26,Ameer Abdullah(CAR),11,22,2.0,11,0,0,2,2,13,6.5,1,0,1,9.5,9.5,10.4%
26,27,Chris Thompson(FA),4,17,4.3,16,0,0,1,1,16,16.0,1,0,1,9.3,9.3,0.0%
27,28,Alfred Morris(NYG),17,91,5.4,22,2,0,0,0,0,0,0,0,1,9.1,9.1,0.0%
28,29,Kenjon Barner(TB),1,4,4.0,4,0,1,1,1,22,22.0,0,0,1,8.6,8.6,0.0%
29,30,Kareem Hunt(CLE),18,73,4.1,12,0,0,3,4,4,1.3,0,0,1,7.7,7.7,82.1%
30,31,Marshawn Lynch(FA),11,67,6.1,25,1,0,1,1,10,10.0,0,0,1,7.7,7.7,0.3%
31,32,Jerick McKinnon(KC),14,48,3.4,9,0,0,5,7,12,2.4,0,0,1,6.0,6.0,0.8%
32,33,Mike Davis(ATL),6,18,3.0,13,0,0,2,2,41,20.5,0,0,1,5.9,5.9,49.7%
33,34,LeGarrette Blount(FA),13,57,4.4,30,1,0,0,0,0,0,0,0,1,5.7,5.7,0.1%
34,35,Travaris Cadet(FA),3,17,5.7,12,0,0,6,6,39,6.5,0,0,1,5.6,5.6,0.0%
35,36,J.D. McKissic(WAS),7,30,4.3,7,0,0,5,6,23,4.6,0,0,1,5.3,5.3,32.9%
36,37,Joe Mixon(CIN),20,49,2.5,8,0,0,2,2,0,0.0,0,0,1,4.9,4.9,98.1%
37,38,DeMarco Murray(FA),8,10,1.3,5,0,0,5,6,37,7.4,0,0,1,4.7,4.7,0.1%
38,39,Doug Martin(FA),19,38,2.0,13,0,0,2,3,6,3.0,0,0,1,4.4,4.4,0.0%
39,40,Terron Ward(FA),6,31,5.2,17,0,0,1,1,11,11.0,0,0,1,4.2,4.2,0.0%
40,41,Theo Riddick(FA),9,35,3.9,10,0,0,1,2,4,4.0,0,0,1,3.9,3.9,0.0%
41,42,Adrian Peterson(SEA),14,26,1.9,7,0,0,1,1,13,13.0,0,0,1,3.9,3.9,4.9%
42,43,Rex Burkhead(HOU),5,16,3.2,4,0,0,4,6,21,5.3,0,0,1,3.7,3.7,31.5%
43,44,Derrick Henry(TEN),7,32,4.6,16,0,0,0,0,0,0,0,0,1,3.2,3.2,78.0%
44,45,Jalen Richard(LV),4,19,4.8,7,0,0,2,3,9,4.5,0,0,1,2.8,2.8,0.7%
45,46,Charles Sims(FA),1,3,3.0,3,0,0,3,5,25,8.3,0,0,1,2.8,2.8,0.0%
46,47,D.J. Foster(FA),0,0,0,0,0,0,2,2,26,13.0,0,0,1,2.6,2.6,0.0%
47,48,Charcandrick West(FA),4,15,3.8,8,0,0,4,4,9,2.3,0,0,1,2.4,2.4,0.0%
48,49,Danny Woodhead(FA),1,2,2.0,2,0,0,5,6,21,4.2,0,0,1,2.3,2.3,20.6%
49,50,Jamize Olawale(DAL),3,16,5.3,11,0,0,2,2,6,3.0,0,0,1,2.2,2.2,0.0%
50,51,Wayne Gallman Jr.(MIN),6,19,3.2,9,0,0,1,4,3,3.0,0,0,1,2.2,2.2,1.0%
51,52,T.J. Yeldon(FA),5,15,3.0,9,0,0,1,2,5,5.0,0,0,1,2.0,2.0,0.0%
52,53,DeAndre Washington(FA),3,7,2.3,5,0,0,2,3,12,6.0,0,0,1,1.9,1.9,11.0%
53,54,Kerwynn Williams(FA),1,9,9.0,9,0,0,1,2,9,9.0,0,0,1,1.8,1.8,0.0%
54,55,Isaiah Crowell(FA),11,18,1.6,5,0,0,0,0,0,0,0,0,1,1.8,1.8,0.1%
55,56,Benny Cunningham Jr.(FA),0,0,0,0,0,0,1,2,18,18.0,0,0,1,1.8,1.8,0.0%
56,57,Derek Watt(PIT),2,17,8.5,17,0,0,0,0,0,0,0,0,1,1.7,1.7,0.1%
57,58,Javorius Allen(FA),3,8,2.7,5,0,0,1,1,9,9.0,0,0,1,1.7,1.7,0.1%
58,59,Kenyan Drake(LV),7,4,0.6,6,0,0,1,2,10,10.0,0,0,1,1.4,1.4,29.4%
