Team,GP,CMP,ATT,CMP%,YDS,AVG,YDS/G,LNG,TD,INT,SACK,SYL,RTG
San Diego Chargers,16,285,488,58.4,"2,845",6.4,177.8,71,18,16,47,290,76.2
Oakland Raiders,16,249,470,53.0,"3,027",7.1,189.2,57,29,12,47,292,85.6
Buffalo Bills,16,294,473,62.2,"3,072",6.9,192.0,52,28,11,27,181,92.6
New Orleans Saints,16,306,494,61.9,"3,103",6.8,193.9,68,13,9,33,250,83.2
Green Bay Packers,16,296,527,56.2,"3,107",6.5,194.2,85,16,24,47,333,67.2
New York Jets,16,269,531,50.7,"3,210",6.5,200.6,50,24,12,40,244,77.1
Tampa Bay Buccaneers,16,307,521,58.9,"3,216",6.4,201.0,65,23,19,26,143,77.6
Miami Dolphins,16,288,502,57.4,"3,348",7.1,209.3,86,22,11,39,225,85.0
New York Giants,16,308,539,57.1,"3,352",6.8,209.5,87,24,16,46,316,80.5
Minnesota Vikings,16,333,529,62.9,"3,367",6.7,210.4,67,25,15,31,177,86.4
Carolina Panthers,16,326,526,62.0,"3,393",6.9,212.1,56,19,17,31,224,81.0
Pittsburgh Steelers,16,363,593,61.2,"3,425",6.3,214.1,67,15,21,48,319,73.1
Indianapolis Colts,16,356,535,66.5,"3,433",6.8,214.6,61,22,10,30,194,91.7
Cincinnati Bengals,16,326,514,63.4,"3,469",7.1,216.8,54,21,16,27,179,85.2
Philadelphia Eagles,16,309,536,57.6,"3,469",7.0,216.8,80,31,23,39,292,80.8
Detroit Lions,16,330,518,63.7,"3,498",7.3,218.6,89,23,14,44,288,89.2
Kansas City Chiefs,16,319,581,54.9,"3,519",6.5,219.9,87,23,14,39,258,78.1
Cleveland Browns,16,309,507,60.9,"3,531",7.3,220.7,78,26,19,29,178,84.8
St. Louis Rams,16,328,570,57.5,"3,578",6.8,223.6,65,21,14,43,290,80.4
Chicago Bears,16,363,582,62.4,"3,588",6.6,224.3,59,14,21,34,232,74.4
Baltimore Ravens,16,349,596,58.6,"3,599",6.4,224.9,88,22,19,27,190,76.4
Atlanta Falcons,16,364,560,65.0,"3,625",6.9,226.6,83,23,22,31,221,82.2
Arizona Cardinals,16,324,533,60.8,"3,654",7.3,228.4,70,22,17,33,227,83.6
San Francisco 49ers,16,358,550,65.1,"3,697",7.2,231.1,71,25,15,36,244,90.0
Denver Broncos,16,297,502,59.2,"3,780",7.8,236.3,73,26,10,23,156,93.0
Dallas Cowboys,16,348,540,64.4,"3,894",7.7,243.4,91,33,20,35,257,92.8
Seattle Seahawks,16,339,585,57.9,"3,994",7.2,249.6,69,31,12,37,246,89.7
Jacksonville Jaguars,16,329,506,65.0,"4,004",8.3,250.3,67,28,13,26,189,98.5
Tennessee Titans,16,410,625,65.6,"4,032",6.9,252.0,75,23,17,40,272,86.4
New England Patriots,16,388,611,63.5,"4,136",7.1,258.5,66,25,25,36,212,81.2
Washington Redskins,16,367,578,63.5,"4,187",7.5,261.7,92,23,14,29,176,89.6
Houston Texans,16,354,547,64.7,"4,280",8.2,267.5,73,33,13,30,219,100.5
