Team,GP,CMP,ATT,CMP%,YDS,AVG,YDS/G,LNG,TD,INT,SACK,SYL,RTG
Indianapolis Colts,16,450,679,66.3,"4,609",6.9,288.1,73,33,17,16,91,91.9
San Diego Chargers,16,359,544,66.0,"4,519",8.7,282.4,59,30,13,38,227,101.9
New Orleans Saints,16,450,661,68.1,"4,441",7.0,277.6,80,33,22,26,195,90.8
Houston Texans,16,365,574,63.6,"4,144",7.6,259.0,60,24,12,32,226,92.0
Green Bay Packers,16,352,541,65.1,"4,124",8.1,257.8,86,31,13,38,231,98.9
Dallas Cowboys,16,379,576,65.8,"4,042",7.3,252.6,71,29,19,31,166,90.4
Denver Broncos,16,334,580,57.6,"4,038",7.4,252.4,71,25,12,40,269,86.8
Washington Redskins,16,349,605,57.7,"3,913",7.0,244.6,76,21,19,46,348,78.0
Philadelphia Eagles,16,348,561,62.0,"3,906",7.5,244.1,91,28,13,49,309,92.1
New York Giants,16,339,539,62.9,"3,885",7.4,242.8,92,31,25,16,117,85.3
New England Patriots,16,331,507,65.3,"3,847",7.9,240.4,79,37,5,25,175,109.8
Detroit Lions,16,383,633,60.5,"3,810",6.3,238.1,87,26,16,27,191,82.0
Cincinnati Bengals,16,365,590,61.9,"3,767",6.8,235.4,78,26,20,28,221,82.4
Pittsburgh Steelers,16,298,479,62.2,"3,601",8.1,225.1,56,22,9,43,289,95.2
Atlanta Falcons,16,361,577,62.6,"3,567",6.5,222.9,46,28,9,23,158,90.8
Miami Dolphins,16,335,557,60.1,"3,527",6.7,220.4,57,17,21,38,228,74.8
Tampa Bay Buccaneers,16,306,494,61.9,"3,361",7.2,210.1,64,26,6,30,203,96.2
San Francisco 49ers,16,282,500,56.4,"3,356",7.2,209.8,66,19,15,44,257,79.4
Seattle Seahawks,16,324,544,59.6,"3,341",6.5,208.8,87,14,20,35,195,72.1
Baltimore Ravens,16,308,491,62.7,"3,335",7.4,208.4,67,25,10,40,294,93.6
St. Louis Rams,16,354,590,60.0,"3,268",6.0,204.3,49,18,15,34,244,76.5
New York Jets,16,288,525,54.9,"3,242",6.5,202.6,74,20,14,28,178,76.5
Oakland Raiders,16,279,491,56.8,"3,180",7.1,198.8,73,18,16,44,291,77.5
Buffalo Bills,16,296,519,57.0,"3,158",6.5,197.4,65,24,21,34,213,75.2
Tennessee Titans,16,273,474,57.6,"3,107",6.9,194.2,80,24,15,27,171,82.6
Minnesota Vikings,16,305,505,60.4,"3,097",6.6,193.6,53,14,26,36,230,67.6
Jacksonville Jaguars,16,291,469,62.0,"3,065",7.2,191.6,75,26,21,38,291,83.4
Chicago Bears,16,276,466,59.2,"3,015",7.3,188.4,89,23,21,56,382,79.5
Cleveland Browns,16,296,478,61.9,"2,989",6.7,186.8,65,13,18,36,214,75.0
Kansas City Chiefs,16,274,475,57.7,"2,968",6.7,185.5,75,27,8,32,221,90.1
Arizona Cardinals,16,285,561,50.8,"2,921",5.8,182.6,74,10,19,50,343,60.5
Carolina Panthers,16,256,484,52.9,"2,289",5.4,143.1,88,9,21,50,346,57.0
