Team,GP,REC,YDS,AVG,YDS/G,LNG,TD,FUM,LST
San Diego Chargers,16,359,"4,746",13.2,296.6,59,30,5,4
Indianapolis Colts,16,450,"4,700",10.4,293.8,73,33,3,3
New Orleans Saints,16,450,"4,636",10.3,289.8,80,33,2,1
Houston Texans,16,365,"4,370",12.0,273.1,60,24,3,1
Green Bay Packers,16,352,"4,355",12.4,272.2,86,31,9,5
Denver Broncos,16,334,"4,307",12.9,269.2,71,25,5,1
Washington Redskins,16,349,"4,261",12.2,266.3,76,21,8,5
Philadelphia Eagles,16,348,"4,215",12.1,263.4,91,28,6,3
Dallas Cowboys,16,379,"4,208",11.1,263.0,71,29,8,5
New England Patriots,16,331,"4,022",12.2,251.4,79,37,2,2
New York Giants,16,339,"4,002",11.8,250.1,92,31,3,2
Detroit Lions,16,383,"4,001",10.4,250.1,87,26,4,3
Cincinnati Bengals,16,365,"3,988",10.9,249.3,78,26,4,3
Pittsburgh Steelers,16,298,"3,890",13.1,243.1,56,22,3,2
Miami Dolphins,16,335,"3,755",11.2,234.7,57,17,3,2
Atlanta Falcons,16,361,"3,725",10.3,232.8,46,28,3,1
Baltimore Ravens,16,308,"3,629",11.8,226.8,67,25,3,1
San Francisco 49ers,16,282,"3,613",12.8,225.8,66,19,3,2
Tampa Bay Buccaneers,16,306,"3,564",11.6,222.8,64,26,6,3
Seattle Seahawks,16,324,"3,536",10.9,221.0,87,14,3,3
St. Louis Rams,16,354,"3,512",9.9,219.5,49,18,2,1
Oakland Raiders,16,279,"3,471",12.4,216.9,73,18,4,2
New York Jets,16,288,"3,420",11.9,213.8,74,20,3,1
Chicago Bears,16,276,"3,397",12.3,212.3,89,23,7,4
Buffalo Bills,16,296,"3,371",11.4,210.7,65,24,8,5
Jacksonville Jaguars,16,291,"3,356",11.5,209.8,75,26,3,3
Minnesota Vikings,16,305,"3,327",10.9,207.9,53,14,3,3
Tennessee Titans,16,273,"3,278",12.0,204.9,80,24,4,2
Arizona Cardinals,16,285,"3,264",11.5,204.0,74,10,4,1
Cleveland Browns,16,296,"3,203",10.8,200.2,65,13,4,3
Kansas City Chiefs,16,274,"3,189",11.6,199.3,75,27,2,1
Carolina Panthers,16,256,"2,635",10.3,164.7,88,9,2,2
