Team,GP,TOTAL,RUSH,PASS,PEN,MADE,ATT,PCT,MADE,ATT,PCT,TOTAL,YDS
Indianapolis Colts,16,366,87,253,26,91,204,44.6,5,8,62.5,79,709
Houston Texans,16,360,118,222,20,79,192,41.2,9,19,47.4,90,690
San Diego Chargers,16,357,94,236,27,92,205,44.9,5,13,38.5,84,677
Atlanta Falcons,16,353,111,200,42,112,240,46.7,11,15,73.3,58,598
New Orleans Saints,16,351,94,236,21,106,217,48.9,5,11,45.5,90,884
New England Patriots,16,335,119,196,20,95,197,48.2,7,14,50.0,83,766
New York Giants,16,331,112,192,27,74,206,35.9,3,11,27.3,92,777
Jacksonville Jaguars,16,330,148,161,21,81,203,39.9,16,25,64.0,83,675
Dallas Cowboys,16,327,104,201,22,86,211,40.8,13,22,59.1,109,863
Philadelphia Eagles,16,322,116,189,17,85,214,39.7,9,13,69.2,129,"1,101"
Kansas City Chiefs,16,319,129,167,23,83,226,36.7,10,23,43.5,90,771
Cincinnati Bengals,16,317,85,206,26,87,224,38.8,13,19,68.4,90,725
Green Bay Packers,16,312,88,204,20,85,205,41.5,5,13,38.5,78,617
Denver Broncos,16,309,81,204,24,67,207,32.4,6,19,31.6,98,944
New York Jets,16,307,118,171,18,93,235,39.6,5,14,35.7,103,934
Oakland Raiders,16,306,113,159,34,75,220,34.1,8,20,40.0,148,"1,276"
Detroit Lions,16,304,83,199,22,97,242,40.1,10,16,62.5,136,"1,018"
Baltimore Ravens,16,303,97,175,31,82,210,39.1,4,10,40.0,90,673
Miami Dolphins,16,300,91,189,20,92,230,40.0,3,10,30.0,72,595
Pittsburgh Steelers,16,295,106,175,14,94,218,43.1,2,5,40.0,100,903
Washington Redskins,16,295,72,194,29,61,208,29.3,6,12,50.0,90,647
St. Louis Rams,16,292,84,179,29,78,235,33.2,8,15,53.3,102,877
Minnesota Vikings,16,289,104,159,26,71,205,34.6,8,17,47.1,100,769
Tampa Bay Buccaneers,16,288,97,172,19,89,211,42.2,10,14,71.4,100,837
Cleveland Browns,16,265,87,154,24,75,202,37.1,5,7,71.4,78,675
Buffalo Bills,16,263,82,166,15,80,211,37.9,11,24,45.8,82,633
Chicago Bears,16,263,76,163,24,64,195,32.8,2,7,28.6,91,768
Seattle Seahawks,16,260,81,159,20,76,214,35.5,6,17,35.3,101,890
Tennessee Titans,16,252,73,155,24,71,204,34.8,8,14,57.1,128,"1,040"
San Francisco 49ers,16,251,85,149,17,68,213,31.9,8,16,50.0,112,933
Arizona Cardinals,16,241,67,154,20,58,209,27.8,7,18,38.9,108,870
Carolina Panthers,16,225,78,125,22,69,227,30.4,10,23,43.5,106,918
