Team,GP,ATT,YDS,AVG,YDS/G,LNG,TD,FUM,LST
Pittsburgh Steelers,16,333,"1,004",3.0,62.8,24,5,5,2
Chicago Bears,16,386,"1,441",3.7,90.1,45,14,15,6
New York Jets,16,408,"1,454",3.6,90.9,32,11,12,9
San Diego Chargers,16,404,"1,500",3.7,93.8,56,14,2,2
Baltimore Ravens,16,384,"1,503",3.9,93.9,48,5,10,2
San Francisco 49ers,16,447,"1,547",3.5,96.7,43,9,4,3
Miami Dolphins,16,447,"1,601",3.6,100.1,30,8,4,2
New York Giants,16,389,"1,620",4.2,101.3,50,11,5,2
Minnesota Vikings,16,417,"1,635",3.9,102.2,73,10,7,4
Atlanta Falcons,16,366,"1,694",4.6,105.9,80,9,8,6
New England Patriots,16,409,"1,728",4.2,108.0,36,10,9,6
Dallas Cowboys,16,402,"1,734",4.3,108.4,56,11,9,5
Houston Texans,16,433,"1,751",4.0,109.4,42,16,5,2
Kansas City Chiefs,16,408,"1,764",4.3,110.3,38,11,9,4
Philadelphia Eagles,16,423,"1,766",4.2,110.4,61,12,7,5
New Orleans Saints,16,421,"1,797",4.3,112.3,68,13,8,6
St. Louis Rams,16,404,"1,810",4.5,113.1,80,7,5,3
Green Bay Packers,16,395,"1,838",4.7,114.9,40,6,6,4
Cincinnati Bengals,16,416,"1,843",4.4,115.2,61,15,8,5
Tennessee Titans,16,474,"1,851",3.9,115.7,37,7,11,4
Seattle Seahawks,16,452,"1,903",4.2,118.9,53,13,7,2
Jacksonville Jaguars,16,416,"1,945",4.7,121.6,70,19,4,1
Carolina Panthers,16,503,"1,981",3.9,123.8,68,20,9,7
Detroit Lions,16,443,"1,999",4.5,124.9,80,18,8,3
Indianapolis Colts,16,445,"2,032",4.6,127.0,62,14,7,3
Washington Redskins,16,444,"2,041",4.6,127.6,71,15,7,6
Cleveland Browns,16,505,"2,070",4.1,129.4,55,7,4,4
Tampa Bay Buccaneers,16,444,"2,107",4.7,131.7,54,12,7,3
Oakland Raiders,16,474,"2,138",4.5,133.6,76,14,6,4
Arizona Cardinals,16,526,"2,323",4.4,145.2,48,19,10,7
Denver Broncos,16,531,"2,473",4.7,154.6,71,26,13,5
Buffalo Bills,16,571,"2,714",4.8,169.6,43,18,10,5
