Team,GP,TOTAL,RUSH,PASS,PEN,MADE,ATT,PCT,MADE,ATT,PCT,TOTAL,YDS
San Diego Chargers,16,247,77,153,17,70,208,33.7,12,28,42.9,97,769
New York Giants,16,263,88,159,16,66,208,31.7,9,17,52.9,107,899
Miami Dolphins,16,264,84,166,14,84,226,37.2,8,22,36.4,85,730
Green Bay Packers,16,270,82,163,25,77,213,36.2,6,20,30.0,98,758
New York Jets,16,272,70,169,33,81,219,37.0,4,6,66.7,74,679
Pittsburgh Steelers,16,272,61,182,29,70,209,33.5,10,16,62.5,86,716
New Orleans Saints,16,273,94,150,29,70,203,34.5,15,23,65.2,88,701
Minnesota Vikings,16,276,87,178,11,87,213,40.9,5,10,50.0,98,786
Chicago Bears,16,282,88,183,11,75,216,34.7,6,13,46.2,93,790
Atlanta Falcons,16,284,87,183,14,79,201,39.3,9,17,52.9,116,"1,003"
Baltimore Ravens,16,284,79,187,18,87,229,38.0,6,12,50.0,117,984
Cincinnati Bengals,16,290,97,170,23,75,198,37.9,2,7,28.6,95,776
Oakland Raiders,16,292,98,150,44,76,218,34.9,3,11,27.3,117,"1,161"
Kansas City Chiefs,16,293,88,186,19,84,223,37.7,7,20,35.0,111,922
San Francisco 49ers,16,299,86,188,25,84,217,38.7,3,13,23.1,97,839
St. Louis Rams,16,304,88,191,25,74,221,33.5,6,12,50.0,126,"1,008"
Tampa Bay Buccaneers,16,307,118,171,18,92,213,43.2,9,17,52.9,79,676
Dallas Cowboys,16,309,84,200,25,81,204,39.7,4,9,44.4,79,641
Philadelphia Eagles,16,309,91,185,33,80,209,38.3,5,12,41.7,87,724
Seattle Seahawks,16,313,91,206,16,94,238,39.5,8,19,42.1,91,706
Indianapolis Colts,16,314,111,190,13,78,200,39.0,8,18,44.4,95,812
Jacksonville Jaguars,16,316,98,197,21,78,189,41.3,8,18,44.4,85,748
Cleveland Browns,16,317,102,195,20,96,224,42.9,11,15,73.3,85,741
Detroit Lions,16,320,98,187,35,77,198,38.9,5,12,41.7,106,854
Washington Redskins,16,326,106,207,13,75,214,35.1,7,10,70.0,104,839
Carolina Panthers,16,328,121,176,31,81,213,38.0,4,9,44.4,90,765
Denver Broncos,16,334,126,184,24,80,209,38.3,10,16,62.5,98,921
Buffalo Bills,16,335,138,179,18,98,227,43.2,7,10,70.0,85,634
Arizona Cardinals,16,339,123,178,38,87,233,37.3,9,17,52.9,108,894
New England Patriots,16,348,99,226,23,99,210,47.1,12,20,60.0,84,687
Houston Texans,16,352,113,211,28,77,195,39.5,11,13,84.6,105,851
Tennessee Titans,16,356,107,214,35,104,242,43.0,9,22,40.9,114,"1,039"
