Team,GP,ATT,YDS,AVG,YDS/G,LNG,TD,FUM,LST
Kansas City Chiefs,16,556,"2,627",4.7,164.2,80,13,7,3
Oakland Raiders,16,504,"2,494",4.9,155.9,71,19,9,4
Jacksonville Jaguars,16,512,"2,395",4.7,149.7,74,14,8,4
New York Jets,16,534,"2,374",4.4,148.4,53,14,11,5
Philadelphia Eagles,16,428,"2,324",5.4,145.3,62,18,7,3
New York Giants,16,480,"2,200",4.6,137.5,73,17,12,11
Houston Texans,16,423,"2,042",4.8,127.6,74,20,5,2
Tampa Bay Buccaneers,16,431,"2,001",4.6,125.1,61,9,7,6
New England Patriots,16,454,"1,973",4.3,123.3,36,19,2,1
Minnesota Vikings,16,441,"1,942",4.4,121.4,80,16,7,5
Pittsburgh Steelers,16,471,"1,924",4.1,120.3,50,15,9,4
Atlanta Falcons,16,497,"1,891",3.8,118.2,55,14,4,3
Carolina Panthers,16,428,"1,846",4.3,115.4,60,7,16,9
Baltimore Ravens,16,487,"1,831",3.8,114.4,50,11,6,5
San Diego Chargers,16,457,"1,810",4.0,113.1,36,18,13,7
Dallas Cowboys,16,428,"1,786",4.2,111.6,60,10,5,2
Tennessee Titans,16,406,"1,727",4.3,107.9,76,13,7,4
Buffalo Bills,16,401,"1,720",4.3,107.5,39,6,11,5
San Francisco 49ers,16,401,"1,657",4.1,103.6,64,10,6,2
Cleveland Browns,16,413,"1,646",4.0,102.9,68,13,13,6
Miami Dolphins,16,445,"1,643",3.7,102.7,51,8,12,5
Chicago Bears,16,414,"1,616",3.9,101.0,68,10,1,1
Detroit Lions,16,404,"1,613",4.0,100.8,45,11,6,3
Green Bay Packers,16,421,"1,606",3.8,100.4,71,11,4,1
St. Louis Rams,16,429,"1,578",3.7,98.6,42,9,2,1
Denver Broncos,16,398,"1,544",3.9,96.5,40,13,12,8
Cincinnati Bengals,16,428,"1,522",3.6,95.1,42,8,11,7
New Orleans Saints,16,380,"1,519",4.0,94.9,55,9,7,4
Indianapolis Colts,16,393,"1,483",3.8,92.7,49,13,5,3
Washington Redskins,16,351,"1,461",4.2,91.3,54,9,6,2
Seattle Seahawks,16,385,"1,424",3.7,89.0,39,13,3,1
Arizona Cardinals,16,320,"1,388",4.3,86.8,80,9,7,5
