rank,player,sacks,ints,frec,ff,defense_td,sfty,spc_td,games,fantasy_points,fantasy_points_per_game,rost,team,position,year
1.0,New Orleans Saints,35.0,26.0,13.0,12.0,8.0,0.0,1.0,16.0,315.0,19.7,79.3,NO,DST,2009
2.0,Philadelphia Eagles,44.0,25.0,13.0,11.0,4.0,2.0,2.0,16.0,306.0,19.1,52.5,PHI,DST,2009
3.0,Green Bay Packers,37.0,30.0,10.0,10.0,4.0,1.0,0.0,16.0,301.0,18.8,60.6,GB,DST,2009
4.0,San Francisco 49ers,44.0,18.0,15.0,21.0,3.0,0.0,1.0,16.0,293.0,18.3,79.5,SF,DST,2009
5.0,Baltimore Ravens,32.0,22.0,10.0,13.0,3.0,0.0,1.0,16.0,272.0,17.0,51.9,BAL,DST,2009
6.0,Tennessee Titans,32.0,20.0,7.0,14.0,4.0,0.0,0.0,16.0,271.0,16.9,48.4,TEN,DST,2009
7.0,Arizona Cardinals,43.0,21.0,8.0,11.0,1.0,0.0,2.0,16.0,267.0,16.7,60.9,ARI,DST,2009
8.0,Denver Broncos,39.0,17.0,13.0,18.0,2.0,0.0,2.0,16.0,266.0,16.6,48.5,DEN,DST,2009
9.0,New York Jets,32.0,17.0,14.0,11.0,2.0,0.0,2.0,16.0,265.0,16.6,3.3,NYJ,DST,2009
10.0,Tampa Bay Buccaneers,28.0,19.0,10.0,8.0,2.0,0.0,3.0,16.0,264.0,16.5,98.0,TB,DST,2009
11.0,Buffalo Bills,32.0,28.0,5.0,12.0,2.0,0.0,0.0,16.0,262.0,16.4,95.9,BUF,DST,2009
12.0,Kansas City Chiefs,22.0,15.0,13.0,11.0,3.0,1.0,1.0,16.0,262.0,16.4,45.7,KC,DST,2009
13.0,Chicago Bears,35.0,13.0,15.0,21.0,1.0,1.0,2.0,16.0,261.0,16.3,35.9,CHI,DST,2009
14.0,Carolina Panthers,31.0,22.0,15.0,20.0,1.0,2.0,0.0,16.0,261.0,16.3,27.8,CAR,DST,2009
15.0,Pittsburgh Steelers,47.0,12.0,10.0,14.0,3.0,0.0,0.0,16.0,261.0,16.3,44.6,PIT,DST,2009
16.0,Atlanta Falcons,28.0,15.0,13.0,17.0,3.0,0.0,0.0,16.0,259.0,16.2,5.8,ATL,DST,2009
17.0,New York Giants,32.0,13.0,11.0,18.0,3.0,0.0,1.0,16.0,259.0,16.2,4.5,NYG,DST,2009
18.0,Cincinnati Bengals,34.0,19.0,6.0,8.0,3.0,0.0,1.0,16.0,257.0,16.1,14.7,CIN,DST,2009
19.0,Minnesota Vikings,48.0,11.0,13.0,20.0,1.0,1.0,2.0,16.0,256.0,16.0,28.0,MIN,DST,2009
20.0,Miami Dolphins,44.0,15.0,6.0,11.0,2.0,0.0,2.0,16.0,255.0,15.9,60.2,MIA,DST,2009
21.0,New England Patriots,31.0,18.0,10.0,13.0,3.0,0.0,0.0,16.0,253.0,15.8,93.2,NE,DST,2009
22.0,Indianapolis Colts,34.0,16.0,9.0,13.0,2.0,0.0,1.0,16.0,253.0,15.8,66.4,IND,DST,2009
23.0,Houston Texans,30.0,14.0,13.0,12.0,2.0,2.0,1.0,16.0,251.0,15.7,6.4,HOU,DST,2009
24.0,Seattle Seahawks,28.0,13.0,10.0,11.0,3.0,0.0,0.0,16.0,250.0,15.6,39.4,SEA,DST,2009
25.0,Dallas Cowboys,42.0,11.0,10.0,17.0,1.0,0.0,2.0,16.0,249.0,15.6,82.9,DAL,DST,2009
26.0,Detroit Lions,26.0,9.0,13.0,16.0,3.0,2.0,0.0,16.0,245.0,15.3,1.1,DET,DST,2009
27.0,Cleveland Browns,40.0,10.0,9.0,8.0,0.0,1.0,4.0,16.0,231.0,14.4,40.8,CLE,DST,2009
28.0,Washington Commanders,40.0,11.0,6.0,14.0,0.0,0.0,0.0,16.0,219.0,13.7,27.5,WAS,DST,2009
29.0,Jacksonville Jaguars,14.0,15.0,10.0,15.0,0.0,0.0,0.0,16.0,218.0,13.6,6.9,JAC,DST,2009
30.0,Las Vegas Raiders,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.6,LV,DST,2009
31.0,Los Angeles Chargers,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.3,LAC,DST,2009
32.0,Los Angeles Rams,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.5,LAR,DST,2009
